Sentence,Toxicity Level,Tone,Language,Implied Sentiment,Negative Connotations
اانفجار دمر نص بيروت سبب ضحايا و مفقودين تجون تسوون عليه نكت سافله؟ لكم مقا,High,confrontational and accusatory,aggressive and informal,angry and distressed,"سافله, دمر, ضحايا, مفقودين"
إجمع مالاً بقدر ما تستطيع ، لا تكن مِثل أبيك ، فإن كل شيء سهل بالمال يا بُني,Medium,admonishing,advisory and critical,critical,مثل أبيك
إن العالمين أي أهل مكة لا يحتاجون في الآخرة إلى جهلكم بكفركم.,Medium,condescending,judgmental and critical,negative,"جهلكم, بكفركم"
تأكدوا هل لاعب كرة قدم والا كرة قدم أمريكية.. لأنهم يجون قصار زي هذا,Medium,sarcastic,informative with an undertone of mockery,critical,قصار
معلش سامحنا،احنا بنعمل افراح مختلطة من زمان,Low,apologetic,informative and apologetic,apology with justification,none
الناس يموتون و رديت مستمرة في معاملة الضباط في جميع أنحاء العالم بشكل سيء,Medium,critical,informative and opinionated,disapproving,"يموتون, سيء"
الرجاء تضمين كل الأمور التي يفلت منها الحزب الديموقراطي أيضاً.,Low,formal,informative,critical,يفلت
اللي بيقول انت ليه مركز في كلام الناس ، انت متعرفش حاجة شوفت الحتة دي 😂,Medium,informal,conversational and dismissive,sarcastic and defensive,متعرفش
أردوغان عاوز يحط رجله في منطقه بتاعتنا اللي اكتشفناه في البحر الابيض المتوسط بأي طريقة بس حب يجرب القوة لقى جيشنا…,Medium,aggressive,colloquial and confrontational,hostile,"عاوز يحط رجله, بأي طريقة, حب يجرب القوة"
أليس لديك عقل؟,Medium,sarcastic,derogatory,negative,عقل
طيب ليش ضايفني عندك,Low,inquisitive,colloquial,curiosity,none
عمكم ترامب يلي ضربه و ليس انتم 🤣 🤣,Medium,mocking,disparaging,derisive,ضربه
لماذا يهتم الكنديون بالهوكي في حين أن فرقهم ك ليست الأفضل؟,Medium,questioning,critical,negative,ليست الأفضل
ضاعت فلوسك ببلاش,Medium,informal,conversational and critical,negative,"ضاعت, ببلاش"
إن إعادة إجراء هذا الاختبار ومحاولة اجتياز الأفكار يعني أن أي أشخص يمكنه الحصول على أوراق اعتماد لأي مهنة في أي وقت.,Low,informative,formal,critical,none
ليس من الحكمة أن تتصلي بصراحة,Low,advisory,informative,cautious,none
لا يوجد زعيم بالعالم يستخف بالشعوب العربيه مثل اردوغان. ياأردغان بدلاً من ان تسحب سفيرك بالامارات لماذا لاتسحب سفير…,Medium,critical,informative and accusatory,hostile,يستخف
تخيل تقطع وريدك في بانيو الحمام عشان سوسو قالت عليك يا سمينة وهههههههه,High,mocking and insensitive,informal and offensive,harmful,"تقطع, سمينة, هههههههه"
كييف بلنتي ذي يرحم امك ياحكمم,Medium,informal,expressive,angry,يرحم امك
هؤلاء هم جزء من فئة المسلمين الذين هم متطرفون.,High,informal,informative and judgmental,negative,متطرفون
ولا صلعت من كثر ماتحلف ان زيت السلطان يزين الشعر 😂😂 على العموم لو آخر كسرها بنقول له اللحم والعظم لا تبقي لنا شي,Medium,sarcastic,colloquial and informal,negative,"صلعت, كسرها"
ههه واضح مين اللي يبيع ارضه ومين اللي يدافع عن ارضه وحررها من الإيرانيين,Medium,sarcastic,accusatory and divisive,critical,"يبيع ارضه, الإيرانيين"
أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.,Medium,accusatory,confrontational,negative,معادي
قصدك حربكم قتل للمرأة الضعيفة في بيتها وسط أطفالها في محافظة اب,High,accusatory,provocative and inflammatory,hostile,حربكم قتل ضعيفة
استهدوا بالله شباب كلكم فاشلين,High,derogatory,informal and negative,disparaging,فاشلين
غير صحيح لان أردوغان في ورطه,Low,assertive,informative,critical,ورطه
بعض الروائح لا يمكن التخلص منها .,Low,neutral,informative,matter-of-fact,none
لا تثق ابدا في شيخ دخل سياسة,Medium,advisory,informative and skeptical,distrustful,لا تثق ابدا
لبنان مش محتاجه دعم من أمثالكم كفو اذاكم عنها فقط لاغير,Medium,dismissive and confrontational,oppositional and commanding,negative,"أمثالكم, اذاكم"
نعم إذا كان لديك أشخاص آخرين للقيام بذلك.,Low,neutral,informative,conditional,none
نحن بلد من الناس غير الموهوبين.,High,critical,derogatory,negative,غير الموهوبين
مافيه احد يجاوبني,Low,neutral,informative,frustration,none
غير مدرك ذا يحب يثير الجدل على ولا شي,Medium,critical,informative and negative,disapproving,"غير مدرك, يثير الجدل"
ربما نقوم بنسف ذلك حقًا خلال أسبوع.,Medium,aggressive,forceful,threatening,نسف
اي والله اخاف يشله السيل بقوله ينتبه 🥵,Medium,concerned,cautious and warning,anxious,يشله
إذاً، من الشخص غير المطلع الآن؟,Medium,questioning and sarcastic,informative but confrontational,challenging,غير المطلع
من السهل التعرف على تلك الأفراد.,Low,neutral,informative,neutral,none
استغفر الله ربي واتوب اليك 💔 وين ترحون من الله يل السياسين الا حسبي الله عليكم 💔 💔,Medium,critical,emotional and accusatory,anger and disapproval,"السياسين, حسبي الله عليكم"
لا، أنا لست بحاجة إلى عناق منك,Low,assertive,direct and neutral,refusal,none
جماعة السلطة عم تحكي عن شغب وتكسير بالمظاهرة اليوم، شغب وتكسير أكبر من إنفجار ٤ آب؟ سؤال بس 🤷‍♂️,Medium,sarcastic,colloquial,critical,"شغب, تكسير"
قسم بالله اغبى قرار تحكيمي شفته بحياتي,Medium,informal,derogatory and critical,frustration,اغبى
اسكتي ما بيستردوا شي حتى شرفهم,High,hostile,offensive and derogatory,critical,"اسكتي, شرفهم"
هتعدي الخط الأحمر امتئ ي أردوغان مرة 50 يوم,Medium,aggressive,confrontational,challenging,الخط الأحمر
احصل على فكرة قبل أن تقدم تعليقات غير مطلعة.,Medium,advisory,directive and critical,disapproving,غير مطلعة
ليس لديك الصدق ولا النضج لتعترف بأنك قلت شيئا خاطئا,Medium,accusatory,critical,negative,"الصدق, النضج, خاطئا"
الإعلام اللبناني بدّو يروقها شوي كمان... مش إذا واحد سب وعبّر عن غضبو يعملولو درس بالأخلاق..,Medium,critical,informative and neutral,frustrated,"سب, درس بالأخلاق"
وقفي صياح لا أزعل منك,Medium,imperative,commanding,threatening,أزعل
ديانج.....سوليه......قفشه ومهزومين 1/0 سويسري امه كانت بتبيع زبدة في لوزان,Medium,sarcastic,derogatory,negative,"مهزومين, امه كانت بتبيع زبدة"
أنصار درامب يعتقدون أن أي شخص ليس أبيضاً هو بالتأكيد غير قانوني.,High,accusatory,discriminatory and biased,negative,غير قانوني
احكم !!!!!!,Medium,aggressive,commanding and assertive,urgent,none
إنه العمدة غير المناسب على الإطلاق!,Medium,disapproving,assertive,negative,"غير المناسب, على الإطلاق"
كن غير صادق واحصل على مكافأة (أدرج صورة مولروني).,Medium,cynical,derogatory,negative,غير صادق
ليه الستات بقى أغلبهم ساقطات دي بقي حبيبتي,High,derogatory,insulting,negative,ساقطات
جيد، لا تدع الباب يضربك بينما تترك هذه المحادثة يا سيد,Medium,sarcastic,dismissive and disrespectful,negative,يضربك
شخصان غير مناسبين يحاولان إظهار من هو الأفضل,Medium,critical,informative and critical,competitive,غير مناسبين
ازعجونا أنصار العصملي. يقولونا بناها العثمانيون الترك. في القرن ال 20,High,hostile,informative but biased,negative,"ازعجونا أنصار العصملي, العثمانيون الترك"
سمها سذاجة.,Medium,derogatory,informal,dismissive,سذاجة
لهذا تخليت عن التدريس بسبب شخص مثلك,Medium,condescending,informative and critical,negative,"تخليت, شخص مثلك"
كم فلسطيني بياكل من خيرات السعودية اللي مش عاجبك علاقاتها الدولية؟,Medium,sarcastic,colloquial and critical,confrontational,مش عاجبك علاقاتها الدولية
عاش حياة فارغة ومثيرة للشفقة.,Medium,judgmental,critical,negative,"فارغة, مثيرة للشفقة"
خلف كل مصيبه للرجل او شي مولم مرأة.. معوض خير ..,High,offensive,informative and accusatory,negative,"مصيبه, مولم"
مستحيل الشعب الفلسطيني كذا انت لاتمثل الشعب الفلسطيني,Medium,assertive,accusatory,disapproval,"مستحيل, لاتمثل"
مرة أخرى، المزيد من الألعاب الليبرالية السخيفة.,Medium,dismissive,derogatory,negative,السخيفة
الاغتصاب هو اعتداء جنسي بواسطة أي جنس!,High,aggressive,explicit and provocative,disturbing,"الاغتصاب, اعتداء"
وظفوا لكويتيين والبدون ما نبي مصريين,High,discriminatory,derogatory and biased,exclusionary,ما نبي مصريين
ياخوي المدرب ساذج المفروض ملعب نوح الموسى مع فيجسا وفي الأمام مارين مارتيتا فتوحي ورأس الحربة السوم…,Medium,informal,opinionated and critical,frustrated,ساذج
نحن وقعنا ضحية بين ايديكم انت وبقية الاحزاب حسبي الله عليكم,Medium,accusatory and frustrated,emotive and critical,negative,"ضحية, حسبي الله عليكم"
بوجود الڤار الغى الهدف اقسم بالله كذا كفاايه حرام عليك يا حكم,Medium,frustrated,colloquial and critical,angry,حرام عليك
كفايه تقديس للاعبين القدامى والله كانو مبتدئين درجه اولى,Medium,critical,informal and direct,disapproving,"تقديس, مبتدئين"
ذلك الفتى في محظوظ,Low,neutral,informative,positive,none
افهم تراك تعتبر أسمر بينهم,High,accusatory,racially discriminatory,negative,أسمر
هذا هو الذي يضحكون عليه بسبب بساطته.,Medium,mocking,informal,derisive,"يضحكون, بساطته"
ليش انتو تجننولاوماحد يقول سلمو الرواتب سلموهن,Medium,critical,conversational and slightly accusatory,frustrated,"تجننولاو, ماحد"
مشاهير الفلس ينصحون مجتمع كاامل هزلت ورب الكعبة حسبي الله على السوشل ميديا اللي خلت هذي العينات لها صو,Medium,critical,colloquial and judgmental,negative,"الفلس, هزلت, حسبي الله, العينات"
الرجال افعال لا اقوال .حددنا الخط الاحمر وتركنا الكلام لأردوغان.من يتفق مع روسيا هو ا…,Medium,confrontational,assertive and provocative,critical,"حددنا, تركنا, الخط الاحمر"
ربما يجب عليك العودة إلى السجن.,High,aggressive,direct and confrontational,hostile,السجن
أخوي ناصر الاخوان والراعي الرسمي لهم (أردوغان) أصبحوا مكشوفين وتناقضهم أصبح كالشمس في كبد ا…,Medium,critical,informative and judgmental,negative,"مكشوفين, تناقضهم"
من قال لك ايها الرجل ان الصحراويين لا يشبهوننا، من اين اتى المرابطون؟؟ الصحراء كانت ارضا خ…,Medium,confrontational,challenging,defensive,"ايها الرجل (you man), لا يشبهوننا (do not resemble us)"
الديانة النصرانية هي نسخة طبق الأصل عن الديانة الزرادشتية سلمها الإيرانيين للنصارى يداً بيد ومثلاً بمثل!,Medium,informal,assertive and provocative,controversial,none
الله لايوفق كل شخص له يد باللي صار ، حسبي الله عليكم,High,aggressive,hostile,blame,"الله لايوفق, حسبي الله"
أنا حتى أعرف الزهرة الوطنية والأشياء في كايسونغ,Low,informative,neutral,casual,none
جبران باسيل روح طلع حزب اللات والمليشيات الشيعية من بلدنا ليرجعوا النازحين يلي احتليتوا أراضيهم وهجرتون,High,angry and confrontational,accusatory and derogatory,hostile,"حزب اللات, المليشيات الشيعية, احتليتوا, هجرتون"
صيرنا نغلبكم في كل مكان ولو كانت مواجه مباشره لاعطيناكم دروس…,Medium,aggressive,provocative,hostile,"نغلبكم, مواجه مباشره, دروس"
أومج، أنت حتى الآن ذهبت أنها ليست جيدة!,Medium,disapproving,informative and judgmental,negative,ليست جيدة
حسبي الله بعتم الأرض والعرض لليهود كيف ستقفون أمام الله,High,accusatory and aggressive,emotional and condemning,negative and hostile,"حسبي الله, بعتم, الأرض والعرض لليهود, كيف ستقفون أمام الله"
بعض الناس وضعوا ذلك لحجب الحرب.,Low,neutral,informative,neutral,none
إن أقرباء ميامي أي أهل مكة وهافانا الصغير أي أهل مكة يستطيعون ذلك أي جزاءه.,Low,neutral,informative,neutral,none
انت يلا مش متزحلق والكورة ف ال 6 ياردة ؟,Medium,informal,colloquial and confrontational,negative,"يلا, مش متزحلق"
بس اذا كان إفريقي لا تزوجه القبائل لعدم تكافوء النسب,High,discriminatory,exclusive and prejudiced,negative,"إفريقي, عدم تكافوء النسب"
والاستعاضة عن ذلك بتوافق آخر في الآراء.,Low,formal,neutral and diplomatic,constructive,none
ومن قالك انه مكنش عندنا ثقه ببلدنا 😏,Low,sarcastic,informative and playful,defensive,none
ليبيا وتركيا يد وحدة وموتو بغيظكم يا مصريين يا متهزئين من اتيوبيا وباذن الله العلم اللليبي ح يرفع فوق…,High,hostile,provocative and confrontational,aggressive,"موتو بغيظكم, يا مصريين يا متهزئين"
أقرأ، ببطء، mcmasters إهمال الواجب حول حرب فيتنام.,Low,neutral,informative,critical,إهمال
اقسم بالله تعبتنا ياميسي ما اقواك ياخي 💙 💙,Low,informal,expressive and emotional,admiring,تعبتنا
ما رأيك بإهانة تيلرسون لرئيسه؟,Medium,inquisitive,informative and casual,negative,"إهانة, لرئيسه"
اذا الدوري البرتغالي دوري مبتدئين دوريك وش ؟,Medium,sarcastic,colloquial,derogatory,مبتدئين
يالييييييييل نادي مبتدئ ادفعوله ال٥ مليون وفكوا امنا لازم كل موسم قبل مباراه الهلال تخربونهااااا,Medium,informal,"complaint, aggressive","frustration, irritation","تخربونها, فكوا امنا"
يجب أن تكون جمهورياً تعتقد أن الناس غير قادرين على إدارة حياتهم بأنفسهم.,Medium,critical,assertive,negative,غير قادرين
خرج شخص آخر لا فائدة له من المجتمع.,High,derogatory,dismissive,negative,لا فائدة له
النقر على الرابط لهذه القصة يجعلني أشعر بالسوء,Low,informal,neutral,negative,بالسوء
بوجود الڤار الغى الهدف اقسم بالله كذا كفاااايه با حكم,Medium,frustrated,expressive and emotional,anger,كفاااايه با حكم
أي شخص سيكون قادراً على فهم ذلك.,Low,neutral,informative,positive,none
مع اني متحمسة اشوفه حالق ولابس عسكري و تحت الشمس,Low,casual,expressive and colloquial,excited,none
صباح الخير أي سلام؟,Medium,sarcastic,colloquial,dismissive,أي سلام
دعه يستمر في هذا النهج حتى يكون لديه ما يكفي ليظهر نتائج أفعاله.,Medium,advisory,direct,consequential,none
لدي عملي الخاص لأقوم به,Low,neutral,informative,assertive,none
الف مرة قلتلك .. لا قلت مقدر! قصدي مقدر احيا يا فهيم بلاك 💙,Low,informal,colloquial,frustration,None
هذا يكفر الناس . ويأتون بآثار مكذوبه ويتركون الاحاديث الصِحاح التي يفهمها البل…,High,accusatory,critical,hostile,"يكفر, مكذوبه, يتركون"
يمكنك دائماً الاعتماد علىdil لعرض جهلهم.,Medium,sarcastic,informative and critical,negative,جهلهم
لن نرغب في مشاهدة ذلك مجددا أبدا,Low,firm,assertive,annoyance,لن نرغب، أبدا
هل قرأت المقال على الإطلاق، أم لا؟,Low,inquisitive,informative,neutral,none
ردوا مصريات الناس وشوفوا كيف الميلاد بيصير مجيد والعام الجديد بيصير سعيد،,Low,advisory,cautionary and constructive,hopeful,none
خرجناك من اسيا وغلبناكم اكثر من مرا حرمناك من اسيا وصياحكم كان طرب واخذنا من…,High,aggressive,boastful and dismissive,hostile,"خرجناك, غلبناكم, حرمناك, صياحكم"
تدورون الاتنشن من أي مكان,Medium,dismissive,informal and critical,negative,تدورون الاتنشن
اشوف بوكاكو بعده كين ثم ليفا لانه بدوري مبتدئين,Low,informal,casual,neutral,none
دانتو شوية بنات اقسم بالله ي بتوع الفول,High,derogatory,informal and aggressive,disrespectful,"شوية بنات, بتوع الفول"
ياحسوفه تربية امك وابوك -😂 😂,High,sarcastic,derogatory and disrespectful,condescending,ياحسوفه
اذا انت نحفت بشر امك لان محد بيفرح لك غيرها اما انّا ترى والله محد مهتم,Medium,informal,dismissive and sarcastic,indifferent,محد مهتم
ياصاحب الحساب تراك زودتها واضح انك تبي تسوي اثارة جدل بين الشعب الفلسطيني و الشعب السعودي اركد,Medium,accusatory,informative and slightly aggressive,critical,"زودتها, اثارة جدل, اركد"
افضل تعليق شفته للمقطع كلام واحدة سمينة💔,Medium,disrespectful,informal and critical,negative,سمينة (fat)
لأنك انسان غير سوي لو انت رجال ما تذكر العار لكن خذ لك رد شافي وتحياتي لما تقعون رجال وتعتمدو,High,aggressive,offensive,disrespectful,"غير سوي, العار"
إنهم معادون للمثليين مثلي,Medium,accusatory,informal and emotive,negative,معادون
أتمنى ان كل واحد يمسك جوال حقه يعرف ايش قاعد يشوف او ايش قاعد يكتب…,Low,informal,concerned and informal,advisory,none
مش فاهمة شو عم بتحكي,Low,confused,informal,perplexed,none
ألبرت أراكلين: لا يمكنني معرفة إذا كان منشورك ساخراً أو غير مدروس.,Medium,skeptical,informative and critical,disapproval,"ساخراً, غير مدروس"
ركز زين بالسؤال... قال توقعاتكم باللعبة ما قال رايكم,Medium,directive,instructional and corrective,frustrated,none
انسان سطحي وردوك مفهاش احترام للى قدامك ومعرفش مستحمل تبقى كدا ازاى .,High,aggressive,disparaging and confrontational,disdainful,"سطحي, مفهاش احترام, مستحمل"
ترامب ليس صادق.,Medium,critical,assertive,negative,ليس صادق
هئ يؤبر عضامي قولة الشاميات.. يسكتلياه هو وانا أكمل نومي هههههه بس المشكلة إنو موو هون,Low,humorous,colloquial and informal,frustration mixed with humor,يسكتلياه
ميسي ظُلم بادارة كارثية ومدرب ساذج، لن يبقى ميسي في البرسا بهذا الطموح والعشوائيه !! #برشلونه_بايرن_ميونخ,Medium,critical,expressive and negative,disappointment,"ظُلم, كارثية, ساذج, العشوائيه"
ثلاثة أرباع الناخبين الذين لم يصوتوا لهؤلاء الأشخاص؟,Low,neutral,informative,neutral,none
الناس مثل بيلوسي ليسوا جيدين,Medium,informal,critical,negative,ليسوا جيدين
مائة ألف شخص دفعوا المال لمشاهدة هذا المحتوى,Low,neutral,informative,neutral,none
الله ابدع بالدوري تأخذ افضل لاعب علطول وعندنا اي لاعب يبدع قالو دوري مبتدئين ههههههههههههههههههههه…,Low,sarcastic,informal,frustration,مبتدئين
هههههه وانا بقول حل يا رجل انت مو قد النقاش ولا السجال تتكلم وتتهم قيادتي وانت ما انت إلا…,Medium,derogatory,colloquial and confrontational,negative,"مو قد النقاش, تتهم"
وكان انتخاب فان دير بيلين بمثابة انتصار للانتحار الثقافي .,High,critical,pejorative,negative,"انتحار, ثقافي"
مدري مين جاب سيرة اليهود. يمكن تعتقد إني تكلمت عن اليهود. ويمك…,Medium,ambiguous,defensive and vague,defensive,none
سبحان الله كأنك تتكلم عن نفسك فيه احد ما أحتل مصر وشارع الهرم يشه…,Medium,sarcastic,conversational and expressive,negative,"أحتل, يشه"
عزيزي آلاكسيس ، هذا الفتى لا يفهم.,Medium,dismissive,informative,frustrated,لا يفهم
رحمة الله عليكم من مدافع وحارس,Low,formal,neutral,respectful,none
صحيح، لأن المجرم الحقيقي هو الشخص الذي يغادر العمل مبكرًا، وليس السارق المسلح أو المغتصب المتسلسل.,High,sarcastic,provocative,critical,"مجرم, السارق المسلح, المغتصب المتسلسل"
من يهتم كيف يتم الصيد واللعبة بين الحين والآخر؟,Low,casual,inquisitive and neutral,indifferent,none
آمل أن يجدوهم ويضعوهم في العدالة,Medium,assertive,neutral and direct,retributive,none
لويس الآن يرتدي قبعة صغيرة على رأسه,Low,neutral,descriptive,neutral,none
بيكيه ماعليه ياعمري صح انك مو ذكي بس عادي اهم شيء اشوفك ياعمري,Medium,sarcastic,demeaning,condescending,مو ذكي
بكل القهر الظاهر في عينيها بكل الانكسار البادي عل محياها ألا حسابكم عند الله فاظلم كما شئت لا نرجوك مرحمةً إنّا…,Medium,serious,expressive and accusatory,angry,"القهر, الانكسار, فاظلم, لا نرجوك مرحمةً"
ظننت أن هذا التعليق هو الضجيج المعتاد,Low,dismissive,colloquial,negative,الضجيج
سيدي الحكم هههههه,Low,mocking,informal and playful,casual,none
هذا ما يحدث عندما ترسل فتى ليقوم بعمل رجل,Medium,critical,derogatory,dismissive,"فتى, عمل رجل"
هي قصيرة وأنا أقصر شنو بنجيب غير أولاد قصار شوف لي وحدة طولها يكون ٣ متر وعشرين سنتيمتر،، 🥺,Medium,sarcastic,informal and humorous,self-deprecating,"قصيرة, أقصر, قصار"
في كثير من الأحيان يريدون فقط أن يصادقوا على أفعالهم.,Low,neutral,informative,neutral,none
أنا أكثر احتمالا للعودة إلى المحافظين من التصويت لهؤلاء الرجال,Low,political,expressive,discontent,none
بعض الناس الذين يدعون أنهم يحبون الحياة البرية إما يكذبون حول ذلك أو أنهم مجرد سهلون.,Medium,accusatory,informative and critical,negative,"يكذبون, سهلون"
انا ما استغرب لو فتحتيه الحين اصبري كم ساعه,Low,neutral,conversational,impatient,none
فين مصر من المساعدات لضحايا تفجير بيروت؟ ولا احنا بس نبعت لايطاليا وامريكا وبريطانيا والصين؟,Medium,accusatory,critical,frustration,تفجير
أنا أقرأ الإعلانات من المشتبه بهم في الجناح الأيمن,Medium,neutral,formal,suspicious,المشتبه بهم
( ولا تركنوا إلى الذين ظلموا فتمسكم النار ومالكم من دون الله من أولياء ثم لا تنصرون) فهولاء الشيعة…,High,hostile,incendiary and provocative,antagonistic,"الذين ظلموا, النار, فهولاء الشيعة"
مسكين 😂😂😂 وتراه مليان ياكل وجبتين برقر، من القهر حتى معدته كبرت 🤣🤣🤣,Medium,mocking,informal and derogatory,negative,"مسكين, مليان, من القهر, معدته كبرت"
كان العرب جسداً واحداً، جاء المستعمر وقسّمهم,Medium,informative,descriptive,nostalgic and accusatory,"قسّمهم, المستعمر"
انا لا احب الضرب باللكم,Low,informal,informative and neutral,dislike,"الضرب, اللكم"
وشنو يعني جواز وفيزا انت سطحي تروح تطبع مع يهود بكره يسوون كنيس يهودي و…,High,derogatory,informative and critical,negative,"سطحي, يهود, بكره, كنيس يهودي"
التبرير هو ان ممارسات الموظف في حياته الشخصية تنعكس على ملائمته لبيئة العمل مثلا اذا كان شيخ ما ينفع لان…,Medium,judgmental,informative yet biased,discriminatory,ما ينفع
مثل ويلي مارتينز أنت لست على حق,Medium,accusatory,informative and judgmental,disapproving,لست على حق
هندسه لو بتتكلم كانت سبتلكوا يا شوية مساكين,Medium,informal,conversational and condescending,dismissive,مساكين
أجده غالبا ما يكون غير محترم,Medium,critical,negative and judgmental,disapproving,غير محترم
الأخبار التي تنشأ من قبل سي إن إن وغيرها من وكالات الأنباء أمر شائن.,Medium,critical,informative and subjective,negative,شائن
اي سلم و هم بيهدموا بيوت المسلمين و هم بيوقعوا، سلم تعال,High,aggressive,emotional and provocative,hostile,"بيهدموا, بيوقعوا"
فاشلين زي بعض ملناش دعوة,Medium,dismissive,derogatory,negative,فاشلين
أنا كنت احسب اني تخطيت مرحلة ابكي عليهم وانحرق لكن لا والله قعدت ابكي بذمة الله حسبي الله ياحكم,Medium,emotional and distressed,expressive and emotional,frustration and sadness,"انحرق, حسبي الله"
اقسم بالله فريق بدون شخصيه رحمة الله عليكم,Medium,angry,informative and emotive,critical,"بدون شخصيه, رحمة الله عليكم"
ادعو الى اعتقال مذيعات ام تي في وتسليمهم لداعش,High,hostile,aggressive,violent,"اعتقال,داعش"
ما مفهوم العلمانيه عندك حتى انك لا تعرف معنى هذه الكلمه,Medium,accusatory,informative and confrontational,challenging,لا تعرف
يخي الدكاترة اللي بتفهم ف التكنولوجيا أذكياء والله,Low,positive,colloquial,admiration,none
الريال مشارك كيف تفتقده ؟,Low,questioning,inquisitive and neutral,curiosity,none
بتسوين مثلها على نهاية رمضان بإذن الله 🤭😁 مسويه روووحج قطوه 😁,Low,casual,informal and playful,teasing,none
نمد لكم حبل الوصل وانتم بالجفا تقطعونه .,Medium,accusatory,emotional,disappointment,"الجفا, تقطعونه"
مش شرط عشان انا بكتب بوستات هزار ابقى مبسوط مانتو بتكتبو بوستات كلها اخلاق وانتو غير ذلك🤙🔥,Medium,sarcastic and defensive,colloquial and confrontational,frustration and accusation,غير ذلك
هدفهم كله يضرون بالنادي احسبي الله عليك من صحيفةوعلى من يعملون فيك,High,aggressive,informative and critical,hostile,"يضرون, احسبي الله عليك, يعملون فيك"
بياخد منحة الصحة العالمية يحطهم في العاصمة الإدارية,Medium,critical,informative and critical,disapproving,none
يرجال ماعرف لكود بطلت بعد ماهذاك شتمني,Medium,informal,conversational,frustrated,شَتَمَني
واحد ساذج معانا في الشغل كان مخالط لحال مشتبه فيها كورونا وجهه الشغل وهو قاعد حد اتصل بيه وقاله انه عمل مسحة و الن…,Medium,disparaging,informative and critical,negative,"ساذج, مخالط, مشتبه"
سينظرون إليه كشخص طفولي يجب التعامل معه بحذر.,Medium,cautionary,judgmental,negative,"طفولي, بحذر"
كيف بدك تحررها بمزيد من التطبيع مع الصهاينة والمباركة لذلك ..,Medium,critical,informative and biased,hostile,"التطبيع, الصهاينة, المباركة"
كل من على الأرض سوف يأتي يومة المقدر له حتى انت سوف تموت يوما ما,Medium,serious,informative and direct,grim,تموت
ويعامل الميكرونيزيون معاملة سيئة.,Medium,negative,informative,critical,سيئة
لما نقول فلسطيني فنحن نقصد الفلسطيني الذنب لإيران، وفلسطين لها كل الحب والتقدير وعندما تحدثت عن الاذناب…,Medium,critical,informative and critical,negative,"الذنب, الأذناب"
الحديث عن تعليق جاهل,Medium,informal,disparaging,negative,جاهل
أستغفر الله حاله اشتباه كرونا بي نسبه بالميه 😭 💔,Low,concerned,informal,worried,none
كعادة الإخوان يهاجمون الفعل اذا شافوه من غيرهم وبس يطلع منهم تبدا حفلة التبرير المشكله…,Medium,accusatory,colloquial and critical,negative,"يهاجمون, حفلة التبرير"
اذا انتي هيك فـ معه حق وبالنهايه لمصلحتك عشان صحتك. بس يمدح فلانه وعلانه ما معه حق,Medium,mixed,judgmental,critical,"فلانه, علانه"
يا له من عذر سيء لسبب ما,Low,critical,expressive and subjective,negative,سيء
يا شراميط شفنا استماعكم لشعبكم,High,offensive,insulting and derogatory,hostile,شراميط
الحكومه ستؤدي قسمها الجمهوري في البلد الملكي خزيتو بنا,Medium,sarcastic,informative with sarcasm,disapproving,خزيتو
بتحب اذكرك بكلامي عليك وقتها ولا عارفه ي فلسطيني ؟,Medium,provocative,challenging and confrontational,antagonistic,فلسطيني
لا، ولكن الشرطة لا تزال في نهاية المطاف تبدو مثل الأشرار.,Medium,critical,assertive and evaluative,negative,"الشرطة, الأشرار"
للاسف مغرر وملعوب عليهم واخرته كنب وسرير وزواج من إفريقي وغسيل حمامات وانتي بكرامه. اللهم عافانا,High,sarcastic and derogatory,offensive and condescending,disdainful,"مغرر, ملعوب عليهم, إفريقي, غسيل حمامات"
ي رخصك ورخص تربيت ابوك بنتك تطلع نفسها,High,insulting,aggressive and disrespectful,condescending,"رخصك, رخص تربيت ابوك"
إذا قام رجل بضربي بقوة، يجب أن يكون لي كل الحق في الرد عليه.,Medium,assertive,defensive and expressing self-defense,justified retaliation,"ضربي, الرد"
الناس غير الأخلاقيين يجب طردهم من مناصبهم في أسرع وقت ممكن,Medium,assertive,directive,negative,"غير الأخلاقيين, طردهم"
لا تصير ساذج ياسعد لو كان في اياب كان تراجع برشلونه ومافتح ملعبه,Medium,critical,colloquial and informal,disapproving,ساذج
اشد انواع الرعب بنت سمينة تقول ل حبيبها انا طفلتك●,Medium,negative,derogatory,offensive,"اشد, الرعب, سمينة"
ايه الطرد ده وايه البلنتي دييا لك من حكم كرهتني فالكورة,Medium,angry,informal and accusatory,frustrated,كرهتني
هودي ساقطات متل اللي عم يدافع عنن,High,derogatory,informal and offensive,contemptuous,ساقطات
طفلة من ونازحه مع اهـلهـا تبكي من شدة البرد 💔 جماعة قائدنا الحلبوسي وينكم ما تشوفوها,Low,concerned and critical,emotive and descriptive,empathetic and accusatory,ما تشوفوها
وش فيهم الافريقين طيب يا زينهم، و غلط تكوني عنصريه.,Medium,conversational,casual and somewhat critical,mixed,"الافريقين, عنصريه"
تأخذ واحد ضائع وتصور معه مقطع على انها سعيدة وحياتها ممتازة مثل المسكينه رهف وغيرها ما يق…,Medium,critical,informal,disapproving,"ضائع, المسكينه"
إنه سؤال بسيط من البداية !,Low,neutral,informative,casual,none
