Sentence,Toxicity Level,Tone,Language,Implied Sentiment,Negative Connotations
Можно хоть один тред без политикот? давай лучше про фигуристок говорим.,Low,informal,colloquial,frustration,none
"Ненавижу, презираю, никогда врагам не верила и не доверяла.",High,hostile,emotive and aggressive,negative,"Ненавижу, презираю, врагам, не верила, не доверяла"
"чтобы ещё раз все убедились, в творческой среде гомосексуальность в порядке вещей",Medium,informal,informative but potentially provocative,controversial,none
"лично я сейчас за дальневосточную республику,как 1918-1922г,сибирь,алтай,и др.проживут без москвичей,а вот они?",Medium,informal,conversational and divisive,critical,москвичей
Начните с себя и своих детей.,Low,encouraging,directive,motivational,none
"тебя нужно вывести за грань , ешь с рук этих учителей и рабочего класса и их -же угнетаешь.",High,accusatory,informal and hostile,critical,"вывести за грань, ешь с рук, угнетаешь"
"В России только предлагают, но ничего не делают.",Medium,critical,informative and neutral,frustration,ничего не делают
люди салатом делятся она про косточку,Low,informal,informative and casual,neutral,none
Эти польские люди надоели. Везде они,Medium,informal,negative and dismissive,irritation,надоели
"Та иди отсюда, очевидно что ты упрямец",Medium,dismissive,informal and confrontational,negative,"иди отсюда, упрямец"
тебя бы в первых рядах на эту войну погнали,Medium,aggressive,colloquial,hostile,"войну, погнали"
"явная цензура, 100% заказ людей с газпрома, плохая контора",Medium,critical,informal,negative,"цензура, заказ, плохая"
"напишите нормально, вы, что не нашли что-ли?",Medium,demanding,colloquial,frustration,"не нашли, что-ли"
"Такую резонансную точку и я могу поставить на любой конбер. Автор, ты редкосный человек.",Low,informal,neutral and slightly sarcastic,casual,редкосный
Я глупый и не понял шутки или это спам?,Low,casual,informative,self-deprecating,"глупый, спам"
"везде бабушки и дедушки: бабушка ездит к внукам, а дед работает, но она всегда хорошая, а дедушка плохой. Парадокс!",Medium,informal,conversational,judgmental,плохой
этим странам необходимо признать а то деньги не получат от российских налогоплательщиков,Medium,assertive,coercive,conditional,не получат
"спецназ мог так поступить, в одном случае-им не дали бить протестующих - как положено!!!",Medium,aggressive,informative,critical,"бить, протестующих"
Таких людей заграницу их отправить и что бы не возвращались сюда не когда больше...,High,aggressive,derogatory and assertive,hostile,"отправить, не возвращались"
почему не кто не видит плохой фотошоп,Low,inquiring,informal and critical,frustrated,плохой
"Желаю всем, кто так считает на себе испытать все прелести болезни с последствиями",High,hostile,derogatory and aggressive,vindictive,"болезни, последствиями"
А работники магазинов не хорошие люди им все аукнется,Medium,informal,derogatory,negative,"не хорошие люди, аукнется"
Что ты тогда тут делаешь? Читай ресурсы в другом месте,Medium,dismissive,informal,unwelcoming,none
"Я вас поддерживаю, плохие люди на передачу приходят, трудно не кричать. И Гордон и Барановская очень хорошие ведущие.",Medium,mixed,semi-formal,supportive yet critical,плохие
"Работать нужно, а не лайки ставить.",Low,advisory,informative,productive,none
Такие неучи как я берегут тебя с автоматом,High,aggressive,informal and confrontational,hostile,"неучи, автоматом"
Ну так из-за этого человека большинство постов не в теме,Medium,informal,critical,frustration,"этого человека, не в теме"
у нас есть Путин,Low,neutral,informative,neutral,none
его бы так трясти,Medium,aggressive,colloquial,threatening,трясти
"Это мошенничество, не верьте, обманывает, деньги ложишь, а она блокирует",Medium,accusatory,informative and cautionary,negative,"мошенничество, обманывает, блокирует"
этот человек опять истину глаголет....,Low,sarcastic,colloquial,mocking,none
Что за люди?Наказывать таких,Medium,judgmental,critical,disapproving,"наказывать, таких"
"Хорошо, блокируй, но что ты хочешь от меня?",Medium,confrontational,informal and assertive,frustration,блокируй
"Ну, посмотрел я комментарии к твоим постам, процент плохих ниже средней отметки.",Low,informal,neutral and casual,neutral,плохих
Коммунисты всегда игнорируют такие неприятные треды,Medium,critical,informative and opinionated,negative,"неприятные, игнорируют"
а нашим безответственным людям на верху не объяснить такое.,Medium,critical,colloquial,disapproval,"безответственным, не объяснить"
Плохие люди,Medium,assertive,negative and generalized,disapproving,Плохие (bad)
"А рядом просит мясников не поднимать цену на газ, а то поголовье просто падёт.",Low,informative,informal and colloquial,concerned,падёт
Его посадить без суда и следствия,Medium,authoritative,directive and accusatory,critical,"посадить, без суда и следствия"
"Я бы тоже не пускал, больной человек принесёт в школу туберкулёз и заразят нормальных детей",High,hostile,discriminatory and alarmist,exclusionary,"больной, заразят, туберкулёз, нормальных"
так ты просто обманываешь людей,Medium,accusatory,informal,negative,обманываешь
"откуда ,,, дровишки ,,,? кто тебе дал неоспоримый факт ,что россияне презирают путина ???! откуда ты такой?",Medium,hostile,colloquial and confrontational,aggressive,презирают
"Гена, не ври... все знают, что ты в доле",Medium,accusatory,informal,critical,не ври
"При чем дальше не читал РНЕшника глупого. Мне не стыдно, для меня быть русским не значит быть расистом",Medium,informal,assertive and defensive,defensive,"глупого, расистом"
Придёт время отвечать придётся перед народом,Medium,admonitory,informative and formal,warning,отвечать придётся
"примолкли все, кто батькой восхищался!поняли теперь, что это за человек!",Medium,sarcastic,conversational and critical,disapproving,примолкли
"вот если бы наказывал за воровство подчиненных, цены бы ему не было",Medium,critical,informative,disapproving,воровство
убил человека надо посадить пожизненно,High,severe,judicial and assertive,punitive,"убил, посадить пожизненно"
"ты где пдд учил,который фонари хотел побить,сядь на фуру и проедь.",Medium,accusatory,informal and hostile,disrespectful,"учил, побить, сядь"
"откуда столько в 21 веке религиозных людей, удивляюсь просто просто",Low,curious,informal and neutral,surprise,none
философ интеллектуал не любит взрослые фильмы смотреть. О вкусах не спорят же.,Low,informal,conversational,neutral,none
Среди умных людей - безусловно. Но стреляют в основном не такие.,Medium,sarcastic,informative and critical,dismissive,"стреляют, не такие"
С чего это ему легче? Бери телегу и кати до машины,Low,informal,directive,dismissive,none
"а ты покажи свои накопления, наверняка не 10 тысяч рублей",Medium,challenging,colloquial,antagonistic,навсегда не 10 тысяч рублей
Кто вам дал право распоряжаться народным достоянием,Medium,accusatory,formal and direct,discontent,"распоряжаться, народным достоянием"
ну может тебя вместо лукашенко?!,Medium,sarcastic,colloquial,disdainful,none
"Администратор, кто тебя за порядком поставил следить?",Medium,confrontational,direct and informal,critical,"порядком, следить"
Надеюсь ей все вернётся,Medium,cynical,colloquial,negative,вернётся
отстань,Medium,dismissive,direct and colloquial,negative,отстань
Этой забаве лет больше чем тебе,Low,informal,colloquial,dismissive,none
"Говоришь все правильно, но мне кажется что это вранье.",Medium,sceptical,informative and neutral,doubtful,вранье
Не показывал бы свое видео никому,Medium,dismissive,assertive,negative,никому
этой бабке каждый месяц исполняется 100 лет. смените фотку!!!,Medium,dismissive,informal and disrespectful,negative,"бабке, смените фотку"
"лёха из озинок, который под другую ориентацию косит",Medium,informal,colloquial and derogatory,negative,косит
Это фото надоело,Low,informal,casual,negative,надоело
Им ничего не платят,Low,informative,straightforward and neutral,negative,ничего не платят
"Если мы им не скажем нет, то так и будет",Low,neutral,informative,determinative,none
Сам такой. Драпанул из страны за лучшим куском,Medium,dismissive,colloquial,critical,драпанул
"зачем делать добро и спрашивать хорошо или нет ,что это такое. пишут всякие",Medium,sarcastic,informal,critical,всякие
"Так обьясняла, ещё когда беременная была, толк есть? Он опять привёз дите и уехал до ночи на работу",High,accusatory,colloquial and critical,frustrated,"толк, опять, уехал до ночи"
Мало их обижали в армии,Medium,judgmental,colloquial and negative,sarcastic,обижают (insult)
значит у этого дяди есть что терять? наворовал со школы у детишек..,High,sarcastic,accusatory and informal,negative,"воровать, у детей"
"У меня вопрос, почему те кто этого некомпетентного человека выбирал не отзовут его полномочия обратно? Или он депутатское кресло купил?",Medium,critical,inquisitive and skeptical,negative,"некомпетентного, купил"
благодаря ему ты щас пишешь ас эти коментарии,Low,informal,conversational and colloquial,neutral,none
не надо учить меня культуре,Medium,dismissive,informative and authoritative,defensive,"не надо, учить"
когда ты перестанешь изворачиваться,Medium,accusatory,conversational and negative,confrontational,изворачиваться
"Ему невозможно объяснить, он как робот, которым управляют с пульта",Medium,frustrated,expressive,negative,"невозможно, робот, управляют"
Людей Путинских больше чем вдвешников,Medium,comparative,informative,divisive,"Путинских, вдвешников"
Ты что игрушек нашёл,Low,casual,conversational,neutral,none
Всей толпой в церковь и свечки за его здравие. Или успокоится или у вас пропадет интерес.,Medium,sarcastic,colloquial,disrespectful,"толпой, пропадет интерес"
"вам бы жить на этот минимум и посмотреть на вас ,как будете жить вместе с нами",Medium,sarcastic,conversational and somewhat confrontational,frustration,"минимум, посмотреть"
"Откуда они берутся , это же надо себя на посмешище выставлять",Medium,critical,informal and expressive,negative,посмешище
"Нужно работать, что бы получить деньги. А судьбы Белорусов не интересуют.",Medium,dismissive,informative but disregarding,negative,не интересуют
вот пускай себе её и колит,Medium,dismissive,colloquial and aggressive,resentful,колит
"Знаете, порой думаешь, какие злые люди среди нас живут. А ведь сказано, зло излученное тобой, к тебе назад вернуться!!!",Medium,reflective and admonishing,conversational,negative and cautionary,"злые, зло"
развалили такую часть помню как прибыл в неё в 2005 с начало шмс а потом 4 бат,Low,reminiscent,informative and neutral,nostalgic,развалили
"Молодец мужик, надо было и подраться с ним",Medium,informal,colloquial and aggressive,encouraging violent behavior,подраться
Потому что эти люди уже трубопровод туда планируют протянуть,Low,neutral,informative,neutral,none
"Для людей, кто ходят в масках и перчатках нужно закупить скафандры",Medium,sarcastic,informative and critical,negative,скафандры
А как ты их лайками будить будешь,Low,inquisitive,conversational,neutral,none
Ещё называются спортсмены,Medium,sarcastic,colloquial,critical,none
Народ России снимает видео и нападает. Русский бунт.,Medium,aggressive,emotive and provocative,hostile,"нападает, бунт"
"Лукашенко просит помощи у России, а сам поступает плохо. Нам такой друг не нужен",Medium,critical,informative and judgmental,negative,"плохо, не нужен"
"Разницу чуешь, или мне снова разжевать? Так что нечего пытаться обелить то, что было",Medium,condescending,informative and aggressive,critical,"разжевать, обелить"
"Единственное, что мне не нравится - надоели с ВОВ, как будто больше войн не было",Low,informal,frustrated and dismissive,annoyance,надоели
А это её раздражает и она устраивает скандалы,Medium,dismissive,informal and critical,frustrated,"раздражает, скандалы"
Откуда у пьющих людей оружие? Ведь даже слабым людям оружие не дают,Medium,critical,informative and judgmental,negative,"пьющих, слабым"
а вот при нынешнем образовании молодежь слаба в знаниях.,Low,critical,informative,negative,слаба
Какие же это плохие люди!!! Они заслуживают того же.,High,aggressive,derogatory,hostile,"плохие, заслуживают"
"я лебедя знал лично ещё в приднестровье, он там хорошо придавил местную группировку людей из Гос.Безопасности",Medium,informal,informative and narrative,negative,"придавил, группировку"
ПРОПУСТИЛА ГОДОВЩИНУ ПОБЕДЫ ЛИТЛ МИКС НА ИКС ФАКТОРЕ:(((( ТОЛЬКО Я ТАК МОГ,Low,informal,emotional and expressive,regretful,none
А белоснежка не нужна? У меня их уже 3. Бэлль тоже хочу,Low,casual,conversational and informal,neutral to positive,none
Офигеть. Они совсем в правительстве чокнулись,Medium,informal,colloquial and emotional,frustration,чокнулись
"опять его кормить пожизненно, надоели своим мараторием от ельцина",Medium,irritated,colloquial and critical,frustration,"кормить пожизненно, надоели, своим мараторием"
если вы не вышли замуж то уже и нечего пытаться,Medium,dismissive,colloquial and discouraging,negative,нечего пытаться
А какие то девушки из них шубы покупают,Low,informal,neutral,casual,none
"о рабочих профессиях надо фильмы снимать и везде агитировать, а не о предателях по всем программам",Medium,directive,critical and assertive,disapproving,предателях
Все ты помнишь,Low,neutral,informative,neutral,none
С квадратиками на лице тяжело жить,Low,neutral,informative,empathetic,тяжело
"а вы упрямые, не хочу, не буду",Medium,informal,reactive and defiant,frustrated,"упрямые, не хочу, не буду"
не позорься тут лучше.,Medium,derogatory,informal,negative,позорься
И от такой штуки можно много до чего договориться,Low,neutral,informative,neutral,none
"Ааа ну конечно, деньги то в Москву не попадут, останется в регионе, не порядок.",Medium,sarcastic,informal and critical,discontent,не порядок
"Не культурный человек,два слова связать не может...",Medium,disparaging,colloquial and critical,derogatory,"не культурный, не может"
"Вот пусть он и объясняет глупцам, ведь живёт то он по соседству, чего они к Европе и России обращаются",Medium,informal,derogatory and dismissive,critical,глупцам
есть такая вещь называется интернет !,Low,informal,informative,neutral,none
"Да ускакали деревянные лошадки, пароходики бумажные уплыли",Low,nostalgic,descriptive and poetic,melancholic,none
"звонок в три часа ночи: - алло, ты спишь? - да, сплю",Low,casual,informative and neutral,neutral,none
Его статус был понижен из-за доклада правоохранительным органам,Medium,formal,informative and neutral,negative,"понижен, доклада правоохранительным органам"
"продают машины, Россия не может. Не может я говорю.",Medium,assertive,emphatic and critical,frustration,не может
"Модер почисти от негатива тред, его смысл теряется в дебатах",Low,requesting,neutral,concerned,негатива
"Если бы был, такую чушь не писал бы",Medium,dismissive,colloquial,negative,чушь
"говорит--моя жена предложила прогуляться к метро, посмотреть",Low,neutral,informative,positive,none
а то название напишешь так сразу какой то человек модера позовет,Low,conversational,informal and cautious,warning,модера
"кто проедет первым, не знаю, но если ученик вбубенится в маз, то инструктор учебной машины точно получит премию года!",Medium,casual,informal and humorous,sarcastic,вбубенится
Это же последователи президента Д. Трампа сделали.,Medium,accusatory,informative,negative,последователи
Это кто? Несёт какую-то ерунду,Medium,dismissive,colloquial and informal,disapproving,ерунду
Они до сих пор живы,Low,neutral,informative,neutral,none
"покажи мне хоть одного чеченца, который моет туалеты",High,offensive,derogatory and sarcastic,discriminatory,"чеченца, моет туалеты"
что перестали прятаться,Low,informal,casual and neutral,neutral,none
Он мог долго заниматься любовью,Low,neutral,informative,positive,none
"Сталина преступником объявляют фашисты, власовцы и их потомки",High,aggressive,informative and biased,condemnatory,"преступником, фашисты, власовцы"
Для тебя любой человек который ухаживает за собой не такой,Medium,dismissive,judgmental,negative,не такой
Это не мать,Medium,judgmental,informative,negative,not
Он в каждой бочке затычка. Где мы его ещё увидим,Low,casual,colloquial and informal,derogatory,затычка
"Тебе послышалось. Полицейские орали моритури те салютант, а не стой.",Medium,aggressive,informative and confrontational,dismissive,орали
все равно что много на земле ? брошенные женщины,Medium,critical,informal,disparaging,брошенные
Очередной развод ! Сейчас скачками побегу и куплю ящик,Medium,sarcastic,colloquial and ironic,negative,развод
"Плохо отношусь к тем, кто пытается себя превознести. Знайте, это флаг Казахстана.",Medium,critical,informative,disapproving,"Плохо относусь, пытается себя превознести"
"Та, что пишет, даже лицо не показывает. Все понятно",Medium,sarcastic,informal,critical,даже лицо не показывает
Кому сказки рассказывает человек? Израиль с турками сегодня в любовь играют против Армении. Кого пытаетесь обмануть?,Medium,accusatory,emotional and confrontational,suspicious,обмануть
мужики не обращайте внимания на этого человека,Medium,dismissive,informal and directive,disregard,человека
Опять какую-то глупость нам толкают,Medium,frustrated,informal and colloquial,negative,"глупость, толкают"
"А я узнаю, бойтесь",Medium,threatening,informative and aggressive,menacing,бойтесь
Юрий на первом месте все деньги потерял глупый человек так и лезет на 1 место,Medium,critical,informal and dismissive,disapproving,"глупый, потерял, лезет"
С вас я просто в шоке,Low,informal,expressive,displeased,шоке
"Не надо указывать русским, что им делать",Medium,assertive,informative,defensive,"указывать, что им делать"
Тебя сократили за пьянку и не надо ля ля что что-то закрывают,Medium,dismissive and accusatory,colloquial,hostile,"сократили, пьянку, не надо ля ля"
"Только в отставку, вместе с правительством, одевайтесь в робу и на работу, хватит посидели",Medium,commanding,colloquial and critical,discontent,"отставку, хватит посидели"
Че за глупец это придумал? и самое интересное под каким он психотропом был?,High,sarcastic and confrontational,informal and accusative,negative,"глупец, психотропом"
"будь по проще,и не грей голову ответом...!!!",Medium,informal,directive,dismissive,не грей голову
"Зачем ему ставить лайк, я с трудом даже ответил в комментариях",Low,frustrated,informal,negative,с трудом
"не подменяйте понятия,тебя в 90 без работы ,умник",High,confrontational,informative and derogatory,negative,"не подменяйте, без работы, умник"
Хватит нас грабить,High,aggressive,confrontational,hostile,грабить
кто придумал эту группу,Low,informal,neutral,casual,none
"Отойдите от моряков, не чего же плохого не сделали",Low,formal,informative and neutral,neutral,none
Да они все здесь врут.,Medium,accusatory,colloquial,negative,врут
Администраторы не справедливо отключили интернет ссылаясь на обрыв связи,Medium,accusatory,informative and critical,frustration,"не справедливо, отключили"
"мой котяра садиться какать во время моего завтрака.... стукнула бы, но люблю эту животинку!",Low,casual,informal and emotive,playful,стукнула
У кого-то есть его домашний адрес? Опубликуйте..,Medium,informal,informative and neutral,hostile,none
"Почему бы этого человека, который выставляет себя журналистом, не закрыть?",Medium,aggressive,confrontational and accusatory,hostile,закрыть
что хотел?,Low,informal,direct and neutral,neutral,none
Не трать нервы на них они этого не стоят,Medium,informal,colloquial and dismissive,critical,не стоят
Кто бы говорил!,Medium,sarcastic,informal,disapproving,none
ну какие же люди жестокие. пусть и с вами также поступят,High,accusatory,colloquial,vindictive,"жестокие, поступят"
как он надоел уже. когда посадят за решетку. .,Medium,frustrated,colloquial and informal,negative,"надоел, посадят за решетку"
"хозяйка чем народ кормить собирается. умные люди учатся на чужих ошибках, а они на своих....",Medium,sarcastic,informal and critical,disapproving,ошибках
Чтоб костями не колола!,Medium,aggressive,informal and harsh,hostile,колола
Нет вы не правы она у меня очень достойная девочка моя только всяких нехороших людей слушает,Medium,informal,defensive,protective,нехороших
Умник такое впечатление что сейчас вся полиция похожа на этого красавца,Medium,sarcastic,colloquial,negative,"умник, красавца"
Гетте самый известный человек в группе,Low,neutral,informative,positive,none
"Писать научись правильно, тогда и лайкать будет не стыдно.",Medium,sarcastic,colloquial and critical,disapproving,не стыдно
я бы сказал так: надо гнать всех депутатов,Medium,aggressive,informative and hostile,critical,гнать
надейся и верь! это все что тебе осталось!,Medium,imperative,direct and emotional,despair,осталось
"Они поддерживали свой народ, они националисты, ты забыл? Путина они не поддерживали",Medium,informal,accusatory and assertive,defensive,"националисты, не поддерживали"
кто придумал-это глупость....того надо наказать!,Medium,aggressive,disparaging,hostile,"глупость, наказать"
С которым через час расстанешься и встретишь другого?,Medium,cynical,colloquial and insinuating,disapproving,расстанешься
К своей башке приставил бы,High,aggressive,colloquial and hostile,violent,приставил
Договоритесь до того что россия отвернётся и вас съедят,Medium,aggressive,informative and cautionary,threatening,"отвернётся, съедят"
И что это ? скажем так то что твориться в россии просто ужас!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Medium,frustrated and critical,informative and expressive,negative,ужас
"Мне без разницы, как и что ты называешь",Low,informal,neutral,indifferent,none
девушка за рулём ну да мы же забыли папина дочь за рулём им же всё можно....,Medium,sarcastic,colloquial and mocking,disapproving,"забыли, папина дочь, им же всё можно"
да и пусть идет туда,Low,casual,informal,dismissive,none
"Весь мир видел, много свидетелей, а он сервер изнашивает, ну не надо из людей таких же делать каким сам является",Medium,accusatory,informative and critical,disapproving,"изнашивает, делать каким сам является"
Не нужно портить города ненужным старьём.,Low,directive,informative and neutral,disapproval,"портить, ненужным старьём"
"эх ты, получается это я бухал и не появлялся дома по две недели.",Medium,informal,colloquial and emotional,guilty,бухал
"Не уважаю мужиков, которые обещают и не выполняют, одним словом не мужик",Medium,disapproving,judgemental,critical,"Не уважаю, не выполняют, не мужик"
"Если этот человек ничего не помнит, то это его не освобождает от ответственности",Low,formal,informative and assertive,neutral,none
"Ужас какой то.Дети без матери, отец глупый в тюрьме",Medium,informal,expressive and emotional,negative,"ужас, глупый, тюрьме"
почему он до сих пор не в бане?,Medium,inquisitive,informal and slightly aggressive,frustration,"бан, до сих пор"
Американцы считают себя хозяевами земли,Medium,disparaging,judgmental and accusatory,critical,хозяевами
Не наглейте!!! Я сейчас еще в службу поддержки напишу на вас не хорошие люди,Medium,aggressive,colloquial and confrontational,hostile,"наглейте, не хорошие люди"
Самое глупое - это невозможность удалить все оставленные где то комментарии,Low,frustrated,informative,negative,"глупое, невозможность"
"Сейчас так говорит. До власти добираются,другие люди становятся",Medium,critical,informative and opinionated,skeptical,"добираются, другие люди становятся"
"американцы не успокоятся, пока Россию не развалят.",High,hostile,informative and biased,negative,"американцы, не успокоятся, развалят"
По себе не надо судить.,Medium,informal,direct and admonishing,disapproval,не надо
И на этом закончить с тобой беседу...... Видно не человек,High,dismissive,hostile,negative,не человек
да потому что по телефону разговаривают когда едут! своими глазами вижу каждую неделю мотаюсь по облостям,Medium,frustrated,informal and colloquial,disapproving,"разговаривают когда едут (talking on the phone while driving), мотаюсь (slang for traveling, suggesting annoyance)"
Посадить бы на наши пенсии,Medium,accusatory,colloquial,resentful,посадить
какой человек придумал неделю досрочных выборов ?,Low,questioning,neutral,curiosity,none
Да всем всё равно на этого человека,Medium,dismissive,colloquial,negative,всё равно
"Я уже не знают, как обратить на себя внимание, зачем нам это все показывать",Low,frustrated,conversational,negative,"не знают, обратить, зачем, все"
"Речь идет о поступке настоящих мужиков, про других речь не шла",Medium,informal,informative and assertive,exclusive,других
уровень 7139 плохой! всем тем кто до него дойдет желаю великой удачи-а тем кто его придумал-наоборот!,Medium,emotional and critical,informal and expressive,negative,"плохой, наоборот"
"так этот акимат только себе в карман кладет деньги. а для людей они нечего делать не будут. ни дорог, ни парка. полное разочарование",Medium,critical,informative and emotional,disappointment,"кладет деньги, полное разочарование"
"правильно, дальше эти люди маньяками станут!!",High,sarcastic,informal and offensive,hostile,маньяками
И я буду этому!!! Путинская власть в деле,Medium,aggressive,conversational and emotionally charged,negative,Путинская власть
очистите страну от всех плохих вещей,Medium,imperative,directive,negative,плохих
"Ловко обманул - значит молодец, понятия подлость и честь отсутствуют нацело",Medium,sarcastic,colloquial and critical,disapproving,"обманул, подлость, отсутствуют"
"Какие-то интересные сайты? Ты там сидишь? Пойду тоже схожу, спасибо за подсказку.",Low,informal,casual,neutral,none
из подтишка умеют бить,Medium,accusatory,colloquial,negative,"бить, подтишка"
На телевидение и в газетах один обман.,Medium,critical,informative and assertive,negative,обман
"позорит доброе имя олега ефремова,нет слов",Medium,disapproving,informative and emotional,negative,позорит
"Велком это вообще полная ерунда, а по внешнему виду даже и не подумаешь",Medium,critical,informal and dismissive,negative,ерунда
"Таких хулиганов нужно наказывать сразу, чтоб другим не повадно было",Medium,authoritative,directive,disapproving,"хулиганов, наказывать"
"Ну,Александр,представляющий в комментариях мужское мнение,насколько я поняла,был окружен запросами женщин.",Low,neutral,informative,neutral,none
"ты можешь сказать что-то со смыслом, парень?",Medium,informal,conversational and critical,disapproving,none
"Дело не в религии ,кто вы если не евреи и не кавказцы?",Medium,interrogative and accusatory,provocative,confrontational,"евреи, кавказцы"
"Кстати, плохая шутка про коран Кому как",Medium,casual,informal and judgmental,dismissive,плохая
"В настройках поставил дваче капчу, а у меня опять это странная гугловская иконка появляется",Low,informal,neutral and descriptive,frustration,странная
"других учит, та сама личную жизнь не устроила",Medium,sarcastic,colloquial and critical,negative,не устроила
оставьте свои мысли при себе,Medium,dismissive,informal and directive,hostile,оставьте при себе
Что хватило? Что добавить?,Low,inquisitive,informative and neutral,neutral,none
"Потому что тебе сказать нечего, сидишь и не знаешь кому угодить.",Medium,hostile,conversational and antagonistic,critical,"нечего, угодить"
а что то не так?,Low,neutral,informative and inquisitive,neutral,none
Читай историю своей страны внимательно,Low,formal,informative and neutral,encouraging,none
ефремов один негатив вызывает,Medium,critical,direct,negative,негатив
Ты зачем обманываешь людей?,Medium,accusatory,colloquial,negative,обманываешь
"Такая группа о Самарканде, и этих рекламируете, вот зачем?????",Medium,frustrated,informative with a hint of sarcasm,negative,"рекламируете, зачем"
Сколько неприятного было на меня вылито,Medium,emotional,informative and emotional,negative,"неприятного, вылито"
"За ер? Много ли людей проголосуют, хотя фанатов в любой секте хватает",Medium,provocative,critical and questioning,skeptical,"фанатов, секте"
Что скажут то и говорит в своем эфире,Low,informal,opinionated,neutral,none
"выучи сначала русский язык, или белорусский а потом говори",Medium,condescending,directive,dismissive,"выучи, а потом говори"
Кто даёт разрешение на вырубку - наказывать невзирая на ранг,Medium,imperative,authoritative,punitive,наказывать
Это не современные девушки. Современные нормальные. Не путайте.,Medium,dismissive,informative and critical,negative,не нормальные
Что это за поток обвинений? ответить на вопрос не в состоянии!,Medium,accusatory,confrontational,critical,"поток обвинений, не в состоянии"
Просто такого у нас даже к проверке Путина не было,Low,informal,informative and neutral,frustration,none
"Дай бог, чтобы ты испытала тоже самое, вот от таких плохих и рождаются плохие",High,hostile,derogatory and accusatory,malicious,плохих
уезжай за любую границу и там прояви себя.,Medium,dismissive,informal,negative,уезжай
ты рф живешь и грязью россию полеваеш.,High,aggressive,colloquial,accusatory,"грязью, полеваеш"
"Россия, да забудь ты этого Фургала и Хабаровск",Medium,dismissive,informal,disapproving,забудь
"И так во всем, все 20 лет , одни обещания! Всей планеты!",Medium,frustrated,critical and negative,disappointment,обещания
"матери не виноваты что такой сын вырос, но наказать его надо",Medium,judgmental,colloquial,critical,"виноваты, наказать"
"Браслетов нет в продаже,они запретили",Low,neutral,informative,neutral,запретили
Надо его наказать,Medium,assertive,directive,negative,наказать
полностью солидарен. всё уважение к карелину как к великому спортсмену пропало после его высказываний,Medium,critical,casual and expressive,negative,пропало
"Взрослые мужчины всё лезут к молодым, их не устраивает своя жена, значит пусть отвечает за свои поступки, раз мало ему было",Medium,critical,informative and accusatory,disapproving,"лезут, не устраивает, пусть отвечает"
"Бедные дети, а тех кто над ними издевается - наказывать",Medium,serious,directive,protective,"издевается, наказывать"
Некрасивые губы,Medium,disparaging,subjective and informal,negative,некрасивые
Это ты слишком стараешься.,Low,informal,colloquial,sarcasm,слишком
Что испугался за себя. В тюрьму тебя,High,aggressive,accusatory and threatening,hostile,"испугался, тюрьму"
Как земля таких людей носит,Medium,disparaging,colloquial,disdainful,таких людей
как же я люблю свою родину!!!,Low,enthusiastic,expressive and emotional,positive,none
"Нормальные люди от юмора смеются, а ты тут разводишь скандал. Может тебе не здесь?",Medium,critical,informal and confrontational,disparaging,"разводишь скандал, тебе не здесь"
"Родители виноваты , что детей не научили все вернётся",Medium,accusatory,informative and judgmental,critical,виноваты
А это не хороший человек,Medium,informal,disapproving,negative,не хороший
Рано или поздно все закончится и мы придём за каждым,High,threatening,aggressive,menacing,придём за каждым
"Фу, как некрасиво хейтить за внешность. Слова не мужа, а подростка.",Medium,critical,informal,disparaging,"Фу, некрасиво, хейтить"
Он и показал на руке все им не так,Medium,critical,informative,disapproving,не так
им бабушкина квартира нужна вот и хотят свести в могилу и остаться не причём,High,accusatory,emotional and informal,hostile,свести в могилу
Теперь я точно не стану досматривать этот сериал!,Low,firm,conversational,disappointment,none
Что за люди в рваных штанах,Medium,dismissive,colloquial and judgmental,disapproving,рваных
"Они вторую волну начинают! чувствуют, что им приходит!",Medium,aggressive,informal and emotional,threatening,приходит
"Покажи свой митинг,может ты обманываешь",Medium,accusatory,informative and direct,suspicious,обманываешь
"Вообще нет, у меня татарское лицо, а это типикал латыш или бульбаш",Medium,informal,dismissive and pejorative,derogatory,"типикал, латыш, бульбаш"
"Много людей, не разбирающихся в теме.",Medium,informal,neutral,critical,none
Ничего себе честный разговор. Фу!Такой же льстец.,Medium,derisive,colloquial and emotive,negative,"Фу, льстец"
У Пескова есть гражданство.,Low,neutral,informative,neutral,none
"Эх, как можно так? это дже твой ребёнок. маленький человечек. ужас просто",Medium,disapproving,conversational and emotional,critical,ужас
я считаю Ельцин всю страну развалил,Medium,critical,opinionated and dismissive,negative,развалил
все деньги хотят загребсти.а люди страдают.,Medium,critical,informative and emotional,negative,"загребсти, страдают"
"как передает общую атмосферу. Очень тонкий подтекст. И очень толсто передал все, что нужно.",Low,neutral,informative,neutral,толсто
вы бы ещк сделали узнайте актера по пятой точке! совсем с катушек съехали,Medium,informal,sarcastic and critical,negative,с катушек съехали
Арестуйте этого человека,Medium,commanding,direct and imperative,authoritative,"арестуйте, человека"
"готовься к санкциям Не проецируй. Разрыва контракта не будет, Россия, платит - значит всё хорошо.",Medium,commanding,informative,reassuring yet warning,"санкциям, разрыва"
Зачем в приколы эту картинку поставили не понятно,Low,neutral,informal and neutral,confusion,none
