Sentence,Toxicity Level,Tone,Language,Implied Sentiment,Negative Connotations
"-ЦЕ ТИ МЕНЕ ЩА ТОВСТИМ ОБІЗВАЛА, ТА?!",Medium,confrontational,colloquial and accusatory,offended,ЩА ТОВСТИМ ОБІЗВАЛА
"Ранок почався з мамчиних нарікань на укргазбанк-поганий укргаз, негарні - и тебе хорошего дня",Low,casual,informative and narrative,mild dissatisfaction with a touch of sarcasm,"поганий, негарні"
"несчатье тим людям, які розвивали рейшинал чойс теорію, ВОІСТІНУ.",Medium,derisive,sarcastic and pejorative,disdainful,несчатье
"Хтіли ""паставіть падножку Порошєнка"", а вийшло наоборот тільки.",Medium,accusatory,colloquial,critical,паставіть падножку
Мій ентузіазм підриває погане самопочуття,Low,positive,personal and motivational,optimistic,погане
"Нічого осбливого, просто новий пляж в Тернополі*НЕЙМОВIРНО*",Low,excited,informative,positive,none
"Навіщо хлопу дівчина яка вміє рахувати дискримінант, та ще й вишивати, що він з нею буде робити?",Medium,sarcastic,colloquial,dismissive,none
"навіщо я сюди ходив – науці не відомо. замкнутий круг, нєбо вокруг.",Low,reflective,informative and neutral,confused,замкнутий
У французьких блогерів відчувається напруга.,Low,neutral,informative,tense,напруга
"Ви звертали увагу, на скільки багато повилазило циніків?",Medium,question,informative and neutral,critical,цініків
От вам моя експертна думка:ніфіга англійці не розуміють в революціях.,Medium,dismissive,assertive and informal,critical,ніфіга
"Ти шо куриш, а я досі про то не знала",Medium,informal,conversational,surprised,куриш
Я знаю дякую ще чоловіка забула...ну і послати мене далеко,Medium,disrespectful,conversational and emotional,frustrated,послати мене далеко
#Неважливо #якою # мовою # головне # шоб #купа #хештегів #беззмістовних # було,Low,informal,casual and conversational,critical,"купа, беззмістовних"
"Ці поганi люди, які постять оголошення про кімнати, а потім не відписують",Medium,informal,conversational and critical,frustration,поганi
"Хочеться насильно змушувати кохаися усіх, хто ниє.",High,aggressive,threatening and hostile,malicious,"насильно, змушувати, ниє"
"Спитав пан Богдан, які ми знаємо три єврейські свята, і я сказав РАМАДАН",Low,neutral,informative,casual,none
"блін, хотіла від когось відписацця, погортала подивилась, а всі такі коти ідіть звідси",Medium,frustrated and dismissive,colloquial and informal,negative,"блін, ідіть звідси"
"Якийсь трошки  проблеми з цим розслідуванням голаднців, ні?",Low,informal,informative and neutral,casual,проблеми
"'Шо за фігня Вже тиждень ниють м''язи в ногах (верх литки), і я ледве стою на ногах'",Low,informal,casual and frustrated,negative,фігня
"Підходить промоутер на Волині, парить фiгню, відповідь жіночки:- Сонечко немаю часу тебе послухати, там дитя мене жде",Low,informal,colloquial and dismissive,dismissive,фiгню
"І рибку, і на ще дещо, та?",Low,questioning or casual,colloquial,curiosity or informal,none
"І там тебе знайду, в мене віза на всі страни",Low,determined,informative,confident,none
"набити орган, щоб хоч десь він у мене був",High,aggressive,colloquial and confrontational,hostile,набити
"'Тому взяла і посмажила м''ясо собі,можна в пиві перед тим вимочити,але не саме пиво пити..............'",Low,informal,casual and conversational,neutral,none
Треба просто напросто не зв’язуватись з ними,Low,informal,conversational,advisory,з ними
"Боже як скучно, нормальна людина вже пішла б спать, но нет, віка ж спала півдня і тепер не засне",Low,casual,conversational and informal,frustration,"скучно, нормальна людина"
Перестаньте бути такими хоч на день,Low,directive,informative and neutral,admonishing,none
"ох, львівські ранкові затори.не люблю, не скучила, идите в баню",Medium,dismissive,informal and colloquial,frustration,"не люблю, идите в баню"
"Відстань, це обідно :(",Low,sad,informal,negative,обідно
Шей мамі 300грн віддав.,Low,neutral,informative,neutral,none
Всім все одно на вашу думку.,Medium,dismissive,informal,negative,все одно
І тут доїхало бгг.,Low,casual,informal,amused,none
"Сидиш собі, і раптом як починає всяке марення думатися.",Low,casual,colloquial and neutral,neutral,марення
Як сенс життя,Low,contemplative,informative and neutral,philosophical,none
"зважаючи на мою погану поведінку - ті хто не поїхали і можуть товаришувати - вони пройшли ценз, бггг",Medium,sarcastic,colloquial,negative,"погану поведінку, пройшли ценз"
"Так от, може за #ЛяВорк я і скучила, але ніяк не за ранковими підйомами.",None,casual,informative,neutral,none
З 'українськими' ЗМІ боротись з утисками свободи слова і давати за рублі,Medium,"sarcastic, critical",informative,negative,"'утиск', 'давати за рублі'"
На скільки справ ще не забито!,Low,informative,casual,neutral,none
то я богато того вчивщо вже не знав що вчити но треба було,Low,neutral,informative,overwhelmed,none
"Що це твоя хата, а отже ти можеш хоч і бомжа привести.",Medium,informal,colloquial,derogatory,бомжа
йдіть в вк ті дєла обговорювати,Low,informal,direct and casual,dismissive,none
а я от думаю для кого яськів постила картінку,Low,conversational,informal,curious,none
Я вже 2 тижні не можу провести необхідні мені операції,Low,frustrated,informative,dissatisfaction,не можу
"Мої одногрупники, що сидять попереду мене, жруть мандарини, зефір та сир.",Medium,informal,conversational,disdainful,жруть
"Дивлячись на те, як воно з іскрою в очах спорожнилося в пюре, поганий із нього Рататуй",Low,humorous,colloquial,light-hearted,спорожнилося
але ж він не переплутав дні!,Low,neutral,casual,neutral,none
"Якщо ми будем так цілий рік салати по трохи їсти, то йди ти далеко",Medium,aggressive,colloquial,negative,йди ти далеко
як же мене всі бісять,Medium,aggressive,colloquial,frustration,бісять
"Взяла сир-косичку, крабові палички, зробила Кривавої Мері та послала усе, що тільки можна.",Medium,informal,colloquial and expressive,frustrated,послала
мама: тобі б не мішало похудать і зайнятися коханням: мааам,Low,casual,informative and non-neutral,casual,похудать
"Отже, те, що одним під силу, іншим все одно.",Low,neutral,informative,indifferent,none
"Анатомка, я тебе обожнюю.",Low,affectionate,informal,positive,none
"Якби за кожну твою брехню я дарувала тобі по одній повітряній кульці, ти б давно полетів #думки_вголос",Medium,sarcastic,colloquial,negative,брехня
'я дуже здивована і як тепер видалити пам''ять',Low,expressive,informative,confused,none
"Пилипишин-здивувався, всі здивувалися",Low,neutral,informative,neutral,none
"Хвала небесам, що менi все одно на укладку",Low,casual,informal,indifferent,none
#ЯкщоДніпроВиграє я перестану робити маячьню...,Low,informal,casual,playful,маячьню
Займатися коханням- це як рання весна,Low,romantic,metaphorical and expressive,positive,none
"Я хочу вивчити ще багато мов, але ж..",Low,aspirational,neutral,optimistic,none
"Так шо, то ваші проблеми",Low,informal,conversational,dismissive,проблеми
Аа там пеперва під час пари погана.,Medium,informal,negative,disparaging,погана
"'Викликайте екзорциста, я з розуму з''їхав.'",Low,informal,informative and expressive,humorous,none
"Мам, мені поганоі ржу.",Low,informal,colloquial,casual,none
Мо спраглих за Вітєю тра просто налупити до сцяк?,High,aggressive,colloquial,violent,"налупити, сцяк"
"Або викладач умник мене одногрупник достал, зошит за лекцію закінчився скоро сесія, за шооооо????",Medium,frustrated,colloquial,negative,"умник, достал"
"Поки я спала та купалася в морі, ви базікали про айфон.",Low,casual,informative and neutral,slightly dismissive,базікали
"Там у слові була не та літера, і ніхто не здогадався, що це просто опечатка.",Low,neutral,informative and neutral,casual,none
"якось стрьомно, коли п'яна людина спершу вимагає пустити його в під'їзд, а тоді називає тебе поганим словом та погрожує",Medium,concerned,informative and negative,anxious,"стрьомно, п'яна, поганим словом, погрожує"
"Тому погане залишається в КП, а я вирушаю в дорогу.",Low,neutral,informative,detached,погане
"Холодно стало, дєвок нє сталоПтічкі вапно перєсталі клєватьНе комфортно курити на балконі",Medium,sarcastic,colloquial,frustration,"дєвок, вапно"
"Набридли гуманітарії,набридли технарі, усі набридли , ідіть звідси.",Medium,aggressive,colloquial,frustration,"набридли, ідіть звідси"
аххххах :D даішники :D,Low,humorous,colloquial,positive,none
"Пацани що таксують в Über, не намагайтесь обдурити",Medium,informal,conversation-like,disapproving,обдурити
"Тобто професори тримаються бодрячком, але всі розуміють, що це кінець?",Low,casual,informative and neutral,concern,кінець
'Або завжди можна воз''єднатися з самотньою жінкою за 40',Medium,sarcastic,casual,negative,самотньою
"Нє, я в кєдах поїду.",Low,informal,casual,neutral,none
тіки не кажи що та ж фигня?)),Medium,informal,colloquial,dismissive,фигня
Собаки з усього району почали вити.,Low,neutral,descriptive,neutral,none
"А йде лише, той, який у дорозі добу, цілу добу",Low,neutral,informative,reflective,none
"не пам'ятаю де в мене пара, а в розкладі неправильний кабінет",Low,neutral,informative,frustration,неправильний
І живи тепер з цим,Low,informal,colloquial,resigned,none
"Ну то що, жінко, там і тридцятник недалеко.",Low,informal,colloquial,casual,none
"Дуже часто це навіть необхідно, бо таких терпіти зась, а вони ж знають, що ти наче зобов'язана",Medium,frustrated,colloquial and informal,negative,"необхідно, терпіти зась, зобов'язана"
"Кидає мені, а я ж невміха.",Medium,informal,colloquial and slightly derogatory,negative,невміха
"Тому що, там починаєш вводити назву, а воно не знаходить.",Low,neutral,informative,frustration,не знаходить
Як тільки зайшов почали стукати і кричать мол чому так довго говориш,Medium,aggressive,colloquial and impolite,frustrated,"стукати, кричать"
"Загалом агітація набридла вже - папірці сують,листи надсилають,додому телефонують(!).",Low,frustrated,colloquial,annoyance,набридла
я б так взула *___*,Medium,aggressive,colloquial and suggestive,hostile,взула
"я вражений. не знаю, чи зможу я з цим далі жити, ага.",Low,emotional,expressive,distressed,жити (in the context it implies difficulty)
"Коли деякі люди знову говорять, як добре жилося при сср, то нагадуєш їм, що 3джі з мемасиками, з'явилися саме при укровласті! Замовкают",Medium,dismissive,colloquial and sarcastic,critical,"укровласті, замовкают"
"'Якщо бажання нагодувати передує бажанню займатися любов''ю - це всьо, пиши пропало.'",Low,colloquial,informal,humorous,пиши пропало
"Бандеролька в Америку йде майже два місяці, блін",Low,informal,informative and colloquial,frustrated,блін
"так, де вічний двигун",Low,neutral,informative,neutral,none
"Кажіть, що я можу більше, ніж те, що я зараз роблю.",Low,motivational,assertive,positive,none
"А вобше мені потрібна людина, котра битиме мене щоразу по кривих руках, примовляючи: «Бачиш?",Medium,critical,informative and negative,self-deprecating,"битиме, кривих"
"Навіщо засмічувати тві своїми поганими фотками, в той час коли ти вважаєш себе негарним?",Medium,derogatory,colloquial,judgmental,"засмічувати, поганими, негарним"
"Не зря, ой не зря зробив шенген на 5 років",Low,casual,conversational,positive,none
"всю велику родину дають в нарузку, всю ненавість",High,aggressive,emotional and accusatory,negative,"нарузку, ненавість"
Може кинути все і вступити на театральний?,Low,contemplative,colloquial,inquisitive,none
"все нісенітниця, вже втретє чую)",Medium,dismissive,casual,frustrated,нісенітниця
"Але обережно - захопившись, можна послати в баню взагалі всіх, і лишитись соціально непристосованим і самотнім.",Medium,cautionary,informal and colloquial,warning,послати в баню; соціально непристосованим; самотнім
Та ну їх =),Low,informal,colloquial and expressive,dismissive,none
мене і так ніхто не хоче,Low,emotional,informal,negative,"ніхто, не хоче"
"Типовий твіт українського початківця цієї соціалки: вакарчук, укрправда, мустафа, Тимчук, аваков, сальцова і кілька поганих міст.",Low,informal,colloquial and descriptive,slightly critical,поганих
Або просто бесіда з Натою і Владом.,Low,informal,conversational,positive,none
Рєбята сорі за то шо я погана,Low,apologetic,informal,self-critical,погана
та бо рілу багато всьогго,Low,neutral,informal,neutral,none
"ну шо, без розчарувань взагалі ніяк?",Low,informal,conversational and slightly sarcastic,negative,розчарувань
"З трудом, але я вже це зробила, тепер мені все рівно і це прекрасно",Low,neutral,conversational,satisfied,none
"Молюсь, шоб та штука в мому рюкзаку не розлилася.",Low,neutral,informal,anxious,none
опять дежавю вже третє за два дні,Low,descriptive,informative,frustration,none
вже весь твіттер знає шо ми живем як буржуї,Medium,informal,colloquial,defensive,буржуї
"Є така нісенітниця, яку важко пояснити",Low,informal,conversational,neutral,нісенітниця
"Рев'ю з ейчаром і тімлідом перетворилося на шквал компліментів і теплих слів, від яких я розчервонілася.",Low,positive,informative,appreciative,none
Ну тепер треба терміново поїсти сиру.,Low,informal,neutral and conversational,urgency,none
'який умник засунув пакетик фруктового чая до м''ятного?',Medium,sarcastic,colloquial,frustrated,умник
які ж всі погани,Medium,critical,colloquial and informal,negative,погани
"*збирається у важливу путь*- ти повинен сказати щось, що надихне. - просто іди.",Low,encouraging,motivational and directive,positive,none
'Чай з м'ятою і медом трошки кориці додай і спати',Low,calm,informative and neutral,soothing,none
"таваріщі, ну який порошенко.",Low,conversational,informal,dismissive,none
"тьфу блін, отак одним махом все перепортити. ну зачєм?",Medium,disrespectful,colloquial and informal,frustrated,"тьфу, блін, перепортити"
"Я тебе кохала день у день,А ти як себе ведеш",Low,frustrated,accusatory,disappointment,ведеш
ну вот...індустрія гумових баб досягла досконалості!,Medium,sarcastic,colloquial and critical,critical,гумових баб
І от хотілось би скоріше прокинутися.,Low,neutral,informative and neutral,hopeful,none
Він в ексклюзиві для блумберг стільки наговорив.,Low,informal,casual,neutral,none
"байдуже на всіх, але Севілья забила.",Low,casual,informative and neutral,dismissive,байдуже
"я от зробила тотуху літачка, а тепер думаю 'ну і навiщо?'",Low,informal,conversational,regretful,навiщо
"#hipster_love RT : у мене бажання з кимось переспати , але інет тупить(((",Medium,informal,conversational and colloquial,frustration,тупить
"Знай, коли я тебе побачу, тобі кінець.",High,threatening,aggressive and confrontational,hostile,кінець
"Та нє, вона пошле",Medium,dismissive,informal,negative,пошле
зранку краще заходить,Low,neutral,informative and neutral,positive,none
Ей ю сі кей.,Low,informal,colloquial,neutral,none
'Я ше під під''їздом сиджу і всіх розпусними називаю',Medium,confrontational,colloquial,judgmental,розпусними
"попа ти, катя, - сказала мама і пішла робити мені каву)",Low,colloquial,informal,playful,попа
"будьте обережні з поганими бажаннями, вони мають срану властивість збуватися",Medium,cautionary,informal and vulgar,negative,срану
Але на справді Богуслав безсердечна людина,Medium,judgmental,derogatory,negative,безсердечна
"йди спати, бо подзвоню в 5 і чому ти ващж не виспишся",Medium,informal,directive,authoritative,none
послам все одно на Україну,Medium,dismissive,informal,indifferent,все одно
Хочу дви роботи та жодной хвилини думати про непотриб.,Medium,frustrated,informal,negative,непотриб
"Ні, не розумієте(Відсилка до неякісної реклами)",Low,dismissive,informative and neutral,critical,неякісної
Любіть Україну!,Low,encouraging,imperative,positive,none
"Замовила, відправили....ну чого ж в найкращих забирають життя...",Low,sad,informative,somber,забирають життя
"Зара ще ягодицiобмотаю, красиво, здурiти!",Medium,casual,informal and expressive,excited,здуріти
"Та всеодно, вони знають, що є",Low,informal,conversational,neutral,none
Шо там учити - бери та роби,Low,informal,informative and neutral,pragmatic,none
ви такі кумедні.,Low,lighthearted,informal,positive,none
"Гірше за все прикидатися, шо тобі байдуже.",Low,reflective,informative,concerned,прикидатися
знімай стрес правильно -иди в магазин!,Low,casual,conversational,encouraging,none
"та будь ласка, те що я поганий то не секрет:)",Low,informal,conversational and neutral,self-deprecating,поганий
Потягів без кричущих дітей не існує.,Medium,frustrated,informative and slightly negative,annoyance,кричущих
предмет не важливий,Low,neutral,informative,dismissive,none
Згадав свій сон і це кiнець.,Low,neutral,informative,reflective,none
Вдягала ліфчик - відірвала бретельку разом зі шматком чашки.,Low,informal,descriptive,frustration,відірвала
"Я знаю, що ти це читаеш, Т. Я його НЕ  ПIКАПЛЮ. -.",Low,informal,colloquial,assertive,none
Просто бінго-****40-річний співробітник відділу оперативного супроводження адміністрування ПДВ...,Medium,informal,sarcastic and critical,negative,бінго-****
"По перше, більшість стоків і секондів перебільшують з цінами",Low,informal,informative,critical,перебільшують
Вмій визнавати свої помилки і вчитися.,Low,encouraging,motivational,positive,none
"Ну що, чувствую себе як дитина яка накосячила і її приперли до стєнкі",Low,informal,expressive,regretful,"накосячила, приперли"
"мала бути*та блін, я замахалась вже виправляти помилки, кіл мі",Low,frustrated,informal and irritated,annoyance,"блін, замахалась"
"Може коли ти стоїш біля людини, вона хоче тебе вдарити, а стоматолог тебе захищаєПОДУМОЙ",Medium,aggressive,colloquial and direct,threatening,вдарити
"не варто стріматись,якщо не поводити себе неправильно, то все ок буде.",Low,informal,conversational,neutral,неправильно
"знатно я впав, якраз перед канцом Еполетс всі ноги болять, БЛІН!",Low,informal,expressive,frustration,БЛІН
"Я дуже рада, що вам подобається моя попа, але чи не могли б ви, будь ласка, лайкати і мою душу???",Medium,sarcastic,colloquial,frustration,попа
"ота завжди з вами, не поймеш що в голові",Medium,judgmental,colloquial,negative,не поймеш
Єдиний спосіб мати відстань між ляхами - цілодобово займатися коханням.,Medium,provocative,colloquial,sarcastic,ляхи
навіть коли несеш несенитницю,Low,casual,conversational,dismissive,несенитницю
До твого списку все не зрозумій хто,Low,confused,informative,neutral,none
Кусок живота з-під задертого светра - ух секс!,Medium,informal,sexual and casual,objectifying,none
"Уся сіль у тому, що в цього чоловіка МЕДИЧНА, ОСВІТА",Low,neutral,informative,neutral,none
Бо це теж та ще помийка,Medium,contemptuous,derogatory,negative,помийка
"Боженька оточує тебе поганцями, щоб перевірити наскільки ти готовий до пекла.",High,aggressive,colloquial,malicious,"поганцями, пекла"
"Доки не пізно, сповідайся, якшо спав з кимось із фоловерів.",Medium,imperative,informative and aggressive,accusatory,спав з кимось із фоловерів
"Понароблюють фігні, котра рветься після першого ж разу.",Medium,informal,disapproving and casual,negative,"фігні, рветься"
"Вкладники Привата напилися настоянки глоду, і потім російських послів стріляють.",High,aggressive,informative,hostile,стріляють
Дайте мені машину часу і йдіть геть,Medium,demanding,imperative,dismissive,йдіть геть
"'Боже, чому просто не можна зобов''язати вчити англійську всіх людей, які так чи інакше контактують з іноземцями.'",Medium,frustrated,informal,critical,зобов'язати
"капелюх обов'язково треба надіти, всё равно шо зима і вуха мерзнуть, капелюх і окуляри, без окуляр читати взагалі нема сенсу",Low,informal,casual and conversational,practical,мерзнуть
"Цікаво,а якщо він підірве щось в Лондоні,Брюселі,Парижі,Берліні і т.д.",High,speculative,informal,threatening,підірве
"Перший снігопад сезону, за півтори доби до його завершення#миздобули",Low,neutral,informative,positive,none
В яких ти зараз йдеш далеко,Low,neutral,informative,curious,none
"тікі виставлю історію вк,  сразу її дивляться деякі люди, нагадуючи про себе,  а мені потім страдай",Low,informal,conversational,frustration,страдай
"А ти потім ходи і думай, шо за дурниця відбувається навколо",Low,informal,casual and neutral,frustration,дурниця
НитиА не бути дурною жінкою,Medium,informal,derogatory,negative,дурною
вже третій день поспіль про члени/груди/секс і т.п. говорю.,Medium,informal,expressive and somewhat provocative,casual,"члени, груди, секс"
пройшов вже через цю ситуацію просто,Low,neutral,informative,resigned,none
"Не висипалась уже не знаю скільки, і ніяк не можу.",Low,frustrated,colloquial,negative,ніяк
Зараз би за віндоус докопатися.,Low,informal,casual,critical,докопатися
"Підвозиш людину, а вона починає безглузді поради під руку роздавати.",Low,informal,conversational,annoyance,безглузді
"олсо, фан факт: до 85 в Уругваї була діктатура і діка інфляція.",Low,informative,casual and factual,neutral,"діктатура, діка інфляція"
"та халепа))) я не очікувала, що прям так одразу це навчання почнеться з першого повідомлення))",Low,informal,colloquial,surprised,халепа
"Боже, наші люди всьо фільтрують божими законами",Low,exasperated,emotive,critical,none
"от все вказує на те, що треба пити, і чому я ще досі не п'ю??????",Low,informal,casual and colloquial,frustrated,none
"Я нікого не тримаю, уходиш то й йди",Low,informal,direct and casual,indifferent,none
"Я не хочу, щоб він закінчувався :(",Low,informal,expressive,negative,none
Я бачила гоблінський переклад цього,Low,informal,informative,neutral,гоблінський
Його б я розділа і віддалася б йому,Medium,intense,casual,intimate,none
"Нашо, можна ж тебе вдарить",High,aggressive,casual,threatening,вдарить
"Зрозуміла, що коли немає особистого життя нізя сідати біля гарних хлопців.",Low,informal,informative,cautionary,нізя
"Навіть коли такий жах, як зараз :(",Low,informal,emotive and subjective,negative,жах
"які плювали на всіх, від гаїшника до прокурора.",Medium,critical,colloquial,disrespectful,плювали
"Та ну, я сьогодні навіть вдягнена пристойно, шо знову не так?",Low,conversational,informal,frustration,знову не так
Довелося 15 хвилин чекати ту жінку.,Low,neutral,informative,mildly frustrated,none
"Скільки не корми, все одно йде якнайдалі",Medium,dismissive,colloquial and informal,negative,йде якнайдалі
"Та звідки рендомному чуваку або чувісі з інтернетів знати, чим я займаюсь?",Medium,informal,colloquial and dismissive,skeptical,"рендомному чуваку, чувісі"
Дике бажання взагалi забрати документи.,Low,matter-of-fact,neutral,urgent,none
"Не хочу я ваш Новий рік, то не свято, а фiгня якась",Medium,informal,colloquial and dismissive,negative,фiгня
В тебе забув спитати,Medium,sarcastic,informal,dismissive,забув
ща на одних дівок наброшу,Medium,informal,colloquial,aggressive,наброшу
Тіко альтернативно обдарований чекає 'націоналізації' що зачепить сусіда і не зачепить його,Medium,sarcastic,informal and critical,negative,"альтернативно обдарований, зачепить"
"І ПОШУКОВІ ЗАПИТИ, там повний треш)",Medium,informal,slang,negative,треш
Відколи я така совісна я не можу зі спокойною душею звалити з пари,Low,conversational,informal and expressive,frustrated,звалити
"Вот...все таки обдурили мене... обманули,а кажуть люди погані,а тут і голуби ще аферисти",Medium,frustrated,informal,negative,"обдурили, обманули, погані, аферисти"
В мене завтра свіданка,Low,neutral,informative and neutral,positive,none
"Сірожа, віддай мамі семсят тищ!",Low,commanding,informal,urgent,none
"благаю, скажіть що робити, щоб припинити гризти собі  губи та щоки",Low,pleading,informative,distressed,гризти
"Пробачте мені таке нахабство, але Сократ дискутує погано",Low,"apologetic, critical",conversational,negative,"нахабство, погано"
"Оце діалог з Трампом, ок.",Low,casual,informal and neutral,neutral,none
Про перекладацтво і дурнощі | стрнґ,Medium,ironic,colloquial,critical,дурнощі
"Люди, що виступають за спасітєлєй страньі по типу Вакарчука, Садового, Гриценка, Міхо – вас мало обманювали?",Medium,sarcastic,informal and critical,derisive,обманювали
Це логіка чи шо це взагалі,Low,neutral,colloquial,slightly confused,none
"це якісь диваки, які свої копійки в кишені порахувати не можуть.",Medium,derogatory,informal,negative,"диваки, не можуть"
ТО ШО ТАК ВАЖКО НАПИСАТИ ПАРУ РЕЧЕНЬ? чи послати якомога далі і не агрити своїми нормальниками. бісить.,High,aggressive,colloquial and informal,frustrated,"послати, агрити, бісить"
Де м'який знак,Low,neutral,informative,neutral,none
"Не бійтесь посилати на три літери людей, яким ви не потрібні.",High,aggressive,colloquial and offensive,dismissive,посилати на три літери
Дід Мороз подаруй мені роботу,Low,polite,simple and direct,hopeful,none
"Санта, я погано поводилась, тож принеси наркотіків плєз.",Medium,informal,colloquial and casual,playful,наркотіків
да доколє ж мені всілякі збоченці вк писатимуть? ._.,Medium,frustrated,informal and emotional,negative,збоченці
Я сюди лаяти всіх прийшла.,High,aggressive,informal and confrontational,hostile,лаяти
крала в магазині та кричала про статеві органи на вулиці,Medium,aggressive,informative,judgmental,"крала, кричала, статеві органи"
"Рус, шо ти вже там напрацював",Low,informal,casual,inquiring,none
"В періоди коли я пишу всіляку дурість в твітер, мені соромно писати дм-ки  мені здається, що вона мене засуджує",Low,informal,reflective and personal,self-critical,"дурість, соромно, засуджує"
"От навіщо починати казати те, що ти не збираєшся завершувати?!",Medium,frustrated,informal and conversational,negative,збараєшся завершувати
"Не знаю, як інші, але я не ображаюсь, а злюся Жартувати з себе маю право тільки я",Low,defensive,colloquial,assertive,злюся
"та бо, молоко хоче гречку, а гречка не дає.",Low,informal,colloquial and humorous,light-hearted,none
І всі на один час(,Low,neutral,colloquial,neutral,none
"А щоб тобi,ану іді сюда, думал ко мнє лесть,",Medium,aggressive,colloquial,angry,"А щоб тобi, іді сюда"
"Все пішло у тартарари, як тільки мені здалося, що все добре.",Low,informal,colloquial,negative,тартарари
"– Нєа, кінець року, люди!",Low,casual,informal,neutral,none
"Нє, мав людям ногами гривку поправляти.",Medium,sarcastic,colloquial,disdainful,мав ногами поправляти
"не гуляща, а комунікабельна, але в цьому випадку, так, ТАСЯ гуляща.",Medium,judgmental,colloquial,negative,гуляща
"'Сам чувак із Харкова, цього року з''їздив до Києва на канікули, розказує мені, який класний Київ.'",Low,informal,conversational,positive,none
"Тим і погані шлюби: якщо один з подружжя купує шось на власні кошти, другий рахує це повноправно своїм.",Low,analytical,informative,critical,погані
сиджу і думаю: непогано ти так виглядала в 10 років......,Medium,casual,conversational,potentially inappropriate,none
"Пардон, що влажу, але  ти десь недалеко від мене, і мені це не дає спокою.",Low,apologetic,conversational,concerned,влажу
ви або ставайте в стороні або не лізьте серед дороги/проходу зі швидкістю підбитого равлика,Medium,directive/instructive,colloquial,frustration/irritation,"лізьте, підбитого равлика"
"всім іззя, а їй можна, бо вона нємношк і це німецький фонд? серйозно?",Medium,sarcastic,informal and colloquial,resentful,нємношк
"То мені психічна травма, блін і згадати не хочу",Medium,frustrated,colloquial and informal,negative,"психічна травма, блін"
Я не говорила про іншу стать.,Low,neutral,informative,neutral,none
"І краде, і краде собі.",Medium,critical,informal,disapproving,краде
"Краще синиця в руках, ніж ти.",Medium,disparaging,colloquial,negative,none
"Хочеться випити, читати нісенітниці і писати нісенітниці.",Low,casual,colloquial,neutral,нісенітниці
"Починай вчити, атвічаю, там ще багато чудових слів",Low,informal,encouraging and motivational,positive,none
"Та коли я вже висплюся, без прокидань о 3й ночі та без ворочання по дві години",Low,conversational,informative and neutral,frustration,none
Мозок: Я не дам тобі спати всю нiч!!,Low,informal,conversational and casual,frustration,none
"Якщо трохи пошкрябати тих, хто підриває людей у ​​Європі, обов'язково з'явиться російська сутність.",High,hostile,accusatory and provocative,suspicious,"підриває, російська сутність"
"А тепер випускники обступили мій падік і передають колом сігу миру, позаду йде вчителька, їй уже на все пофіг",Medium,informal,colloquial and descriptive,casual,пофіг
"ну значить буду мити ввечері, коли повернуся, не можу ж повністю проігнорувати",None,casual,informative,responsible,none
"Мені здається, я рухаюсь не в тому напрямку і, здається, мені навіть норм.",Low,casual,colloquial,neutral,не в тому напрямку
О так спасіба щедрим богам за маршутку,Low,sarcastic,informal,grateful,none
#ДОВЕЛИ МОГИЛЯНКУ RT : Ми поднімєм Магілянку с калєн!,Medium,emotive,colloquial and motivational,determined,none
'там уся м'якотка в коментах під цим висловлюванням бгг. з експертом здійснили статевий акт& опломбували (анально).',High,sarcastic and vulgar,informal and offensive,disrespectful,"здійснили статевий акт, опломбували (анально)"
Хто рано встає - той більше нісенітниці встигає натвітити.,Medium,sarcastic,colloquial and critical,negative,нісенітниці
"Тепер неясно, чи то малолітня, яка в 14 родила, чи просто турботлива сестра.",Medium,informal,informative,judgmental,"малолітня, родила"
"як мені це набридло, відчепись від мене з цим!",Medium,aggressive,colloquial,frustration,"набридло, відчепись"
і хтось це я бо я не краду чуже,Low,defensive,informative and neutral,defensive,краду
Поїду в в Острог і не вертаюсь.,Low,informal,neutral,determined,none
"Спочатку ти обіцяєш їй забити цвях, а потім забиаєш інше.",Low,neutral,conversational,disapproving,none
А ідіть мимо канєшно,Medium,dismissive,informal and colloquial,negative,ідіть мимо
Сиджу ржу з фотки волохатого пінгвіна.,Low,informal,conversational and humorous,casual,none
"це ж релігієзнавство, ти ще до політології десятки джерел читай",Low,informal,informative,slightly condescending,none
"Він так вірував, він же був прихильником Савонароли",Low,neutral,informative,neutral,none
"Я ще вічно могла б нити, але нi",Low,reflective,colloquial,resigned,нити
кляті дощі в Конотопі сплав переноситься на вихідні -_-,Low,informal,frustrated and colloquial,irritated,кляті
"Ідіть геть, не затягнете мене в свою цукрову секту.",Medium,dismissive,confrontational,negative,"Ідіть геть, секту"
"не нада, отож бо й воно)",Low,casual,colloquial,dismissive,none
"бухати, займатися сексом, читати Кафку і Кортасара, танцювати на столах, аж доки не помрете ;)",Medium,provocative,colloquial and expressive,hedonistic,"бухати, аж доки не помрете"
- ми про щось забулипро дитину #НічІзКевіном,Low,casual,informative and neutral,concerned,none
Бо поки доберешся з одного краю Києва в інший то півдня пройде,Low,neutral,informative and casual,frustration,none
Ну я божевільнийНо не на стільки,Low,conversational,informal,self-deprecating,божевільний
ну шо за питання взагалі,Low,informal,colloquial,mild frustration,none
Ну я таки пішов І тобі раджу,Low,informal,conversational,neutral,none
