Sentence,Negative Connotations
ሰው ጥራ ቢሉት ራሱ መጣ አሉ በፈጠረህ  ወይም  አንድ ቀን እውነት አውርተው ያውቃሉ? እኔ ነፍስ ካወኩ ጊዜ አንስቶ ፋ,"ጥራ, አንድ ቀን, አውኩ"
ይሄን ሁላ ነገር በእንግሊዝኛ ስላልተናገረችው እና ሰብሰብ ብለን እንደምንጠላት ማወቄን ስነግራችሁ በደስታ ነው።,እንጠላት
አንገትህ ድንጋይ ተሸክሞ መዞሩ ብቻ ነው የሚያሳዝነኝ። ሌላውስ እዳው ገብስ ነው። ቆማጣ,ቆማጣ
አዲስ ስድብ አመንጪ እንጂ አዲስ ሃሳብ አመንጪ አይደለክም:: በደም የጨቀይህ ውሸታም አስመሳይ ሰው ነህ::,"ስድብ, ውሸታም, አስመሳይ"
ግም 0 የሽግግር መንግስት ማለት ምን ማለት እንደሆነ ብታውቀው እንደዚህ አትለፋደድም ነበር ግም 0 ጌታህ የቦንገር ልጅ አብይ ያሻግረናል ታከለ ያሻግረና,"ግም, የቦንገር, ያሻግረናል, ያሻግረና"
መልዕክቱ ለባለጌው ሹመኛና ከፈራ እንኳን እኔ ውቃቢዬ የኢትዮጵያን ሰንደቅ ነው ይበልጥ የሚወድ እሱን ስጡኝ ማለት ላልቻለው ሾካካ ነው።,"ሹመኛ, ከፈራ, ሾካካ"
በጣም የማዝነው ያንተ ድክትርና ለዚህች ወልዳ ላሣደገችህ ሀገር ይህ ከሆነ አንተ የመጨረሻ ደደብ ወራዳ ሠው ነህ,"የማዝነው, ደደብ, ወራዳ"
እነደግም ሰው መስለከኝ ለካ ሳር የሚበላ የሰው እሰሳ ነክ ካድሬ ጠላሁ,"እሰሳ,ጠላሁ"
Knock3who is there?Do uve anything to say . አማራ ጨዎ ህዝብ ነው። መድፈር በዘሩም የለ። ያንቺ አይነት የ360ውሾች አይነት የህዎት ዲቃላ,"ዌሾች,ድቃላ"
መተማ የአማራ ገበሬ ነው ድንበር ሲያስከብር የኖረው በወያኔ ዘመን ሱዳኖቹን ጥርሳቸውን እያለ እስካሁን አለ። የወያኔ ባንዳዎች ለሱዳን አግዘው ገበሬውን ሲገሉ፣ ክልሉን ሊሸጡ መረባረ,"ጥርሳቸውን, ባንዳዎች, ሊሸጡ"
ምድነው ችግርህ? ?? ህይወታቸውን እየግበሩ በየቦታው እየረገፉ ያሉ አንድ አለን የምንለው መከታችን መከላከያ ነው። ስንት ምታወራው የውሻ ወሬ እያለ ስለመከላ,"ምድነው ችግርህ, የውሻ ወሬ"
መድፍ ይሁን ሪችት ያስተኮስከው ሰውዬ ግን የቀን ጅብ ነህ። በዚህ ጩኸት ሳቢያ በጊዮን በኩል መጠነኛ መገፋፋት ተፈጥሮ ነበረ። ሰው እንዳልተጎዳ ተሰወፋ አደርጋለሁ።,ጅብ
እንዳንተ ለሆዱ አድሮ ኢትዮጵያን ለውጭ የሚዲያ ሀብታም የሚሸ ጥንብ የለም ጥንብ ብቻ።,"ሆዱ, አድሮ, ጥንብ"
በደንብ ስለማውቃት ነው፡፡ ጥሩ የሆነ የፅሁፍ ችሎታ ስላላት አሁን ያበደው አናኒ ሶሪ የሚባል ገልቱ መፅሔት (ስሙን ለጊዜው ዘንግቼዋለው) ላይ ይ,"ችሎታ ስላላት, አናኒ"
አንተ ደንቆሮ የጠንቋይ ልጅ ጠላታችን እንደሆንክ ኣስተምረን እንነቃቸዋለን።,"ደንቆሮ, ጠላታችን"
እኔን ጨምሮ ሰዉ ሽመልስን ማየት አይፈልግም ግን ለዓይናችን የበዛው እሱ ነው,አይፈልግም
?? ኧረ ኡኡኡኡኡኡኡኡ አንች ክፉ ገመናዬን ገመናዬን ሌላ ነገር ነው የሚመስለው ??,ክፉ
መረጃው ካለህ ለምን አትለቀውም አንተ ቀዳዳ ወዲ ሸርሙጣ,"ቀዳዳ, ሸርሙጣ"
እንስሳ ልልህ ፈልጌ በጣም ጠቃሚ እንስሳት አሉ እና ስሙ ይበዛብሃል።ቆሻሻም ልልህ ነበር ቆሻሻም ሪሳይክል ተደርጎ ለመልካም ይውላል።በቃ ህሊና ቢስ የሆንክ ሰይጣን በ,"ቆሻሻ,ህሊና ቢስ,ሰይጣን"
በዳንኤል ብርሃኔ ቁንጥጫ እና ግልምጫ በእንክብካቤ ያደገዉ የበፊቱ የhorn affair አምደኛ እና ተላላኪ፤ የዘንድሮዉ ሁሉን አዋቂ ተንታኝ አቶ ስዩም ተሾመ ወጥ አረገጠም ወይ??,"ቁንጥጫ, ግልምጫ, አምደኛ, ተላላኪ, ተንታኝ, ወጥ አረገጠም"
የሚሰድበኝና የሚያዋርደኝ መሪ ናፈቀኝ እያለ ይመስላል ፖርቱጋላዊው ዴኮ,"የሚሰድበኝ, የሚያዋርደኝ"
በአገሪቱ እየመጡ ያሉ ለውጦችን ለማደናቀፍ እየተሰሩ ያሉ ሴራዎችን የሚመረምሩ ኮሚቴዎች ተቋቋሙ,
Nati fake ጎንደሬ ነች ወይ ወያኔን እና አስተሳሰቧን አያወግዝ ዝም ብላ በአዴን ላይ ፊጥ ትላለች ወያኔ እና ዘመዶቹ እንደፍለጉ ሲያረጉት የነበረውን ከአማራ ግዛት ጥቅም ስለቀራ,"fake, ጎንደሬ, ፊጥ, ወያኔ"
አንተ አህያ ደደብ በገዛ መሬታችን ምናባህ አገባህ ??,"አህያ, ደደብ"
አገር ወዳድ ለመምሰል ነው እንዴ?ምክንያቱም ምን አይነት ዘረኛ አንደሆንሽ በደንብ እናውቅሻለህ ስለዚህ አትላላጪ።እንደዛ ባይሆን ኖሮ አንቺ በሰራሽው ወንጀል,"ዘረኛ, ወንጀል"
ችግር ውስጥ ነን ብዬ ከማንም ኢንጌጅ አላደርግም ሰሞኑን ታውቃለህ መቼስ። ቀን ይቅርታ ሲጠይቅ ውሎ ማታ ልገንጠል ይላል? ነውር አይደለም?,"ችግር, ነውር"
አሳፋሪ፡ አሳዛኝ፡ የአውሬ ተግባር  ዶክተር አብይ ደህና መሆናቸው መልካሙ ዜና ነው፡፡ እግዚአብሔር ሆይ እርዳን,"አሳፋሪ, አሳዛኝ, የአውሬ ተግባር"
ዛሬ የኛ ሰፈር መብራት ሃይል ብራች የምሽት ተረኛ ሰራተኛው ህፃን ልጁን ይዞ ነው መሰለኝ ስራ የሄደው ፣ መብራቱን ብልጭ ድርግም እያረገው ነው።,
ገና ከአንከሊስ ትክትክ የልጅነት ልምሻ እና መንጋጋ ቆልፍ ሳያመልጡ ፖለቲካው ውስጥ ገቡ?,"ትክትክ, መንጋጋ, ቆልፍ"
በሁለት ቀን ልዩነት የተለያየ ነገር መናገሩ ልያስገርመን አይገባም.ከመሀይምነቱ የተነሳ በአንድ አረፍተ ነገር ላይ ሁሉት ተቃራኒ ነገሮችን ይናገራ . ጌታቸው ረዳ በTMH,"መናገሩ, አይገባም, አረፍተ, ተቃራኒ"
የሄ ተረት ተረት ለማያውቅ ጅል ሄደህ ንገረው የኢትዮጵያ ፖለቲክስ በደምብ ኣውቀዋለው:: ያልኩህን ብቻ ኣትርሳ::,ጅል
ከተወሰኑ ዓመታት በፊት ጨካኝ ተች ነበርኩ ምክንያታዊም አልነበርኩም ከዚያ የመንግስት ሰራተኛ ሆንኩ አገሪቱን ዞሬ አየሁ ማህበረሰቡን ቀርቤ አደመጥኩ ችግራችን ቀላ,ጨካኝ
የት አባቱ ይደርሳል ይሄ የድንጋይ ዘመን ፋራ:: ብሎክ በማድረግ ማሳፈር ነው:: መልስ አያስፈልግም,"የድንጋይ ዘመን, ፋራ, ብሎክ"
ሐሳቡን ማሸነፍ ሲያቅታቸው አሳቢን ለማጥፋት ተነሱ፣አእምሮ ሲጎድላቸው ባለአእምሮውን ለማጨናገፍ ቆረጡ፣ ሀገር ወደ ዘመነ አብርሆት ስትጓዝ እነሱ ተቃራኒውን መረጡ፣,"ማጥፋት, ማጨናገፍ, ማሸነፍ"
የጀግናው ጄነራል አሳምነው ጽጌ የቀብር ስነ ስርዓት  ጀግና አይሞትም  ሞት በምላሳቸው ለሚደልሉን ባንዳዎች,"ሞት, ባንዳዎች"
ወንጀል አሰራር እንደ ምግብ ስራ አይደል እንዴ አቀላጥፈህ ምታሰተምር,"ወንጀል,አቀላጥፈህ"
አንተ አውሻ ልጅ ገረድ አፍህን ዝጋና እዞው እንደለምድከው እግር እጠብ አንተ ቆሻሽ,"አውሻ,ገረድ,ቆሻሽ"
ታዲያ አንተ ተጋሩ ፕጅ ላይ ምን ታደርጋለህ???,ተጋሩ
ለዚኖራል በሬየን ያረድኩት አለአበው ከቅሌትጋር መያዙ ላይቀር በልቶ ያልጠገበውን ያገሬውን ሰው ያስጨረሰው በዛምላሱ ምን ያወራ ይሆን?,"ቅሌት, ላይቀር, ያልጠገበ, ያስጨረሰ"
በህል አለም ነው ያለሀው አቶ ሾርት ሚሞሪ የምታወራውን እንኮን ለሰው ለራስህም አትድገመው መቼስ ጅል አይሙት ኢሳያስ የአሽከር አሽከር,"ሾርት, እንኮን, ጅል, አይሙት, የአሽከር አሽከር"
አሁን ጥያቄው ሰውየው ተይዞ ቂሊንጦ ሲገባ የሻማ ነው ወይስ የሮኬት ነው ሚጠየቀው የሚለው ነው,ቂሊንጦ
እኔም አላስጨፈጨፈንም አላልኩም.ነገር ግን አንተ ፍሪኩን እንዳቆለጳጰስከው መልአክ አላረኩትም.ቢያቅርህም ዋጠው የመቀሌው,"ፍሪኩን, ተከቀለጳጰስ, ዋጠው"
አንተ የጠንቃይ ልጁ ደም መጣጭ የምት ፈርድ የምታገኝበት ሩቅ ኣይደለም አንተ ዲቃላ,"ደም መጣጭ, ዲቃላ"
አስመሳይ ህዝብ ሲታረድ በእሳት ሲቃጠል ሲፈናቀል መግለጫ ያልሰጠህ እንኳን አደረሳችሁ አይዋጥልንም,"አስመሳይ,ታረድ,ሲቃጠል,ሲፈናቀል,አደረሳችሁ"
እዩት እሄን ጅል.አሁን በዚህ ሰአት ማምለክ ይሻላል ወይስ ስሙ ይቀየርልኝ ብሎ ማላዘን ??,ጅል
ዶ/ር ዐቢይን በመግደል ጠ/ርነትን ለመቆናጠጥ የሚያልም የቀን ጅብ እንዴት ጅል ነው ወዳጆቼ,"መግደል, ጅብ, ጅል"
አንች ዲቃላ ሞናሊዛ ላይ የደረሰው ግፍ ባንቺ እና በልጆችሽ ፤በእህትሽ ፤ቤተሰቦችሽ ይድረስሽ ቢያንስ አንቺ ሴት ነሽ ቆሻሻ።,"ዲቃላ, ግፍ, ቆሻሻ"
ውሻታም ነሽ ማለት ነው። በህይወት ዋጋ በደኖ፣ አርባጉጉ፣ ጉራፈርዳ፣ ቤንቺ ማጂ፣ መተከል፣ መንግስት ባመነው በድምሩ ከ5ሺ ያለነሱ ሰ,"ውሻታም, ዋጋ, በህይወት"
በመጀመሪያ ደደብ አንተ ነህ ሲቀጥል ደግሞ ምን አባህ አገባህ መች እንደከፈትኩት አርፈህ እዛዉ በለስህን ብላ ቀለዋጭ።,"ደደብ,ቀለዋጭ"
እኔ እያሰብኩ ያለሁት እንደ መንጌ ሽሉክ ብለህ እንዳታመልጥብን ብቻ ነው::,ሽሉክ
አብይ ነበልባል የሆነውን የማይጠፋ ፍም እሳት ኢትዮጵያዊነቴ ላይ: ጋዝ ጨመረበት እንጂ: ያው እሳት እሳት ነው?? የፓርላማውሎ Ethioጵia,"ነበልባል, ፍም, ጋዝ"
አስመሳይ አብይ አሕመድ ትግራይ ለመርዳት እቅድ ኑሮህ አያቅም።,"አስመሳይ,አሕመድ,አያቅም"
ሴትኮ ሁሉም ነገር ናት ሰለዚህ የተሳደብክ ከመሰለህ ተሳስተሀል ውሻ ደግም ታማኝ ነው ያሳደገውን ያውቃል ይልቅ የአንተ ባዶ ጭንቅላት ገረመኝ እርሲ ሀምሐም በለት ለታይ,"ውሻ,ባዶ ጭንቅላት,ገረመኝ,ሀምሐም"
የዚህ ሰውዬ የጅልነት ደረጃ በየጊዜው እያደገ ነው፣ እሱም በርትቶ እየሰራበት ነው፣ ቀጥል ቀጥል። ሚኪ ማይኮ ቢሰራው አይገርመኝም ነበር በዚህ እድሜው ይጃጃጃላል እንዴ።,"ሰውዬ, የጅልነት, ይጃጃጃላል"
አቤት ከተቀደዱ አይቀር እንደ አሉላ ነው። ምንድነው የሚያጨሰው በማርያም,"እንደ አሉላ, የሚያጨሰው"
ለምን ሄደሽ አትፈልግም አንቺ? የ360 አርበኞች አባል አይደለሽም,"አትፈልግም, አይደለሽም"
ምን ቀረብኝ ብለህ ነው???የውሻ የድመት እና የእባብ ጥብስ ነው እኮ ይቀረብህ ብቻ ከአማረህ መከልከል የለበትም ባይ ነኝ የሚመለከተው ሁሉ ክትትል ማድረግ ይኖርበታል,"ውሻ,ድመት,እባብ"
ቀበሌን ቀበሌ ቆማጣን ቆማጣ ስተለው ለምንድን ነው የሚከፋው?? ደሞ ከባድ የቀበሌ ዋጋ ምንድን ነው?? ዘይት መስረቅ ነው,"ከባድ, መስረቅ"
እከክ ነገር ነህ ልበል አንተ ይህ ፍራሽ ይመቸኛል ይህ አልተወቸኝም ብለህ ስታንኮራፋ አነሱ ራሳቸውን በተፈጥሮ እና በሰው ሰራሽ ችግር ሁሌ ይባክናሉ እንዳንተ አይነት ደነዝ ሊተርባቸው አይገባም ዶማ,"እከክ, አንኮራፋ, ችግር, ደነዝ, ዶማ"
አንተስ የማን ዶንቆሮ ነህ መሃይም. የመናገር መብቴን ተጠቅሜ እንደተናገርኩ አላረፍሽውም.የሆንክ ጥጃ ፊት??,"ዶንቆሮ, ጥጃ"
ማፈሪያ ነህ ከምግባራቸ ስለሚናገር ነዋ እንዳንተ አይነት ሰዎችን መፅሀፉም ስለሚል 4.,ማፈሪያ
ይሄ በህዝብ ሲያዝ ፖሊስ ነኝ ፖሊስ ነኝ እያለ ሢለምን የነበረው ሲቪል መስሎ ቦምብ ለመጣል ሢያደባ የታየዘና እውነትም ፖሊስ ሆኖ ተገኝቷል ያውም ዋና ኤኒስፔክተር -,ቦምብ
ለእነዚህ አይነቱ የታሪክም የስብእናም አተላ ሃሳቡን ማጋራትም መመለስም ስህተት ነው። እኔም ሃሳቡ የሽንት ቤት ወረቀት ስለሆም ወደ መፀዳጃ ተላልፏል።,"ስህተት, ሽንት ቤት ወረቀት, መፀዳጃ"
በትግራይ ክልል ስለተፈጠረው የማህበራዊ ቀውስ ትንፍሽ የማይል፣ በአንፃሩ ስለማዳጋስካር የረሃብ ክስተት ትንታኔና ዲስኩር የሚሰጥ ብሔራዊ ቴሌቭዥን ያለን አሳዛኝ ህዝቦች እኮ ነን EBC ማፈሪያ_ሚዲያ,"ቀውስ, የረሃብ ክስተት, አሳዛኝ, EBC ማፈሪያ_ሚዲያ"
አማራ ክልል የሚሰበሰበው ባለስልጣን ለምን ይሆን ተላላኪና ንክ የሆነው። አበረ የሚሉት የፓሊስ ኮሚሽነር የቀረው እኮ ክላሽ ይዞ ስቲዲዮ ውስጥ አሳምነው ገዳይ ብሎ መሸለል ነው። ስንት ከብት አለ።,"ተላላኪና, ንክ, ክላሽ, ገዳይ, መሸለል"
አይ አንተ አህያ ሜዳ ላይ ምን እየተሰራ እነዳለ በደንብ ስለምታቅ ለግዜው ዝምህ ሸፈጥ ስራ,"አህያ, እየተሰራ, ምታቅ, ሸፈጥ"
ኮሽ? ምን ዓይነት ርካሽ ስብዕና ነው ያለህ? የኔ ወንድም እህት ጭፍጨፋ . የእናቶቼ ለቅሶ ላንተ ከሆነ ኮሽ . ደህና ቀንህን ጠ,"ርካሽ, ጭፍጨፋ, ለቅሶ"
ደነዝ። ሁሉም እንደናንተ በገንዘብ የሚገዛ ይመስላችኋል,"ደነዝ, በገንዘብ የሚገዛ"
እንደ አንተ አይነቱን ከሀዲ ገጠመው ምን ያድርግ ብለህ ነው,"ከሀዲ,ገጠመው"
Egotistic ብሬንለስ ደደብ ብቻ ነው አገሩን ሚመራው,"ብሬንለስ, ደደብ"
አንተ ውሻ እግዚአብሔር ግፍህን በቤትህ ያሳጭድህ።,"ውሻ,ግፍህን"
በፆታዊ ትንኮሳ enjoy ከሚያደርጉት አንዱ ነህ እንዴ? ምንም የሚያበሳጭ ነገር አልሰሩም,"ፆታዊ, ትንኮሳ"
DW ናችሁ ወይም ግንዛቤ የላችሁም ካልክ ወዲያ የምን ሊል አስቦ ነው? የምን ጥሩና መጥፎ ነው? እንዲህ ካመናችሁ እንዲህ ናችሁ እያልከን አይደል? ??,"ግንዛቤ የላችሁም, መጥፎ"
Haha ቦቅቧቃ እና መሬትህን እስኪወረር ምን እየጠበቅ ነው,ቦቅቧቃ
አሁን በዚህ ሪፖርት ምኑ ነው ዋዜማን የወያኔ አፍ የሚያስብለው? የጠቅላዩን ስብከት ብቻ መስማት ለሚፈልግ ዋልታ፣ ፋና፣ ኢቢሲ . አሉ።,"ወያኔ, አፍ"
መቼም የካድሬ ልማድ ጨርሶ አይልቀም - ስንት ተለቆበት ይሆን እንዲህ ጭራውን የሚቆላው? I wonder?,ጭራ
ስዩም ተሾመ እና ናትናኤል መኮንን በልጅነታቸው ያመለጣቸው ክትባት መኖሩ ተረጋግጧል,
ጦርነት ሲያልቅ ነው የሚታወቀው ።ከዛ በፊት ግን ሙሉ ሠው ለመሆን ሞክር ።ፈጣሪ ይርዳክ,ጦርነት
ከሀዲ ሌባ የእናት ጡት ነካሽ ዘረኛ የአንተ ድረጅት የጨፈጨው ሳይታይህ አሁን እሪ ትላለህ አምላክ የእጅህን ይሰጠሀል።ኢትዮጲያ እንደ አንተ አይነቱን ርኩስ አትፈልግም,"ከሀዲ, ሌባ, የእናት ጡት ነካሽ, ዘረኛ, ርኩስ"
አንተ ደደብ ጀግንነት ሲቪል ሰው በማጥቃት ነው እንዴ አንተ ማትረባ አጋሰስ,"ደደብ, በማጥቃት, ማትረባ, አጋሰስ"
ድሮም ጉራ ብቻ ሆና ነው እንጂ እዚሁ ብትቀመጥ ኖሮ፣ ይሄ ሁላ አይደርስባትን ነበር።,ጉራ
የደርግ ልጅ ደርጋዊነትን ስትሰብክ.ምን ታድርግ? ሕግ የሚባል ነገር እንዳለ ያ አረመኔ አባቷ አላስተማራትማ,"የደርግ, አረመኔ"
ደንቆሮ አንተ ገባህ አልገባህ ምን አገባን ለምን ገደል አትገባ,ደንቆሮ
ልደቱ እንኳን ታሰረ ነዉ የምለዉ ከዚህ በኋላ ንቅናቄ እና ግንባር አያስፈልግም via,"ታሰረ,አያስፈልግም"
ቦምብ በሻንጣ የጫነችው የፖሊስ መኪና (ፖሊስ ኢት 0384 ET) ሆን ተብሎ እንድትቃጠል ተደርጋለች።,"ቦምብ, ቃጠል, ተደርጋለች"
ከፓፓ ውጪ የሚታይሽ ነገር የለም አይደል? ዳይፐር ተወደደብሽ መሰለኝ አሮጊቷ,"ዳይፐር, አሮጊቷ"
አይ እስከሚቀጥለው ክሪስትማስ ይቆያል እንጂ ለምን ይነሳል ልበልህ? ዱቄታም??????,ዱቄታም
ሁሉ ግጭት ፈጣሪ ከተደመሰሰ ዘንዳ፣ ካሁን በኃላ ግጭት ብኖር ተጠያቂው ብቻ ነው??? ??,"ግጭት,ተጠያቂ"
ቆሻሻ ውሻ ሸርሙጣ በእጅ ያለ ወርቅ እንደመዳብ ይቆጠራል,"ቆሻሻ, ውሻ, ሸርሙጣ"
?? የሱ ነገር አንደ ውሻ አብይን ነክሶ እኝኝኝኝኝኝኝኝኝ ማለት ብቻ ሆኗል። በዚህ ከቀጠለ መገርጀፉ ነው።,"ውሻ, ነክሶ"
አንተ ሽንታም መጀመሪያ አርፈህ አትቀመጥም ነካክተህ ስትኮረኮም እዬዬ አይሰራም። ከብት,"ሽንታም,ነካክተህ,እዬዬ,አይሰራም"
ማኅበረ ቅዱሳን እንቅልፍ ነሳህ አይደል? ወያኔም በጊዜው አልቻለውም። መሰረቱ አለት ነው አሸዋ አይደለም።,"ነሳህ, አልቻለውም, አሸዋ"
እራሱ ዛሬ ጠዋት ያየናትን ቀምሶ እንደማያወራ በምን እርግጠኛ መሆን ይቻላል???,ቀምሶ
ሀቅ ነው፣ ሰውየው አንድ ነገር ቢሆን ወይዘሮዋ በየቦታው እየዞሩ ትምህርት ቤት አይመርቁም ነበር፣ ግን ስዪም ተሾመ በፊት ወሬ እንለቡ የአገኝ ነበር አሁን ስለተከለከለ በግምት መቀባጠር ጀመረ።,"እንለቡ, በግምት መቀባጠር"
ከታላቅ ወንድሜ ጆ ባይደን እንዲሁም ከእህቴ ካሚላ ኣሪስ ውጤታማ የስልክ ውይይት ኣድርገናል።ባካየድነው ህግ የማስከበር ሂደት ድጋፋቸው ችረውናል ይል ይሆናል እኮ ያቱልቱላ መሽረፈት።,"ችረውናል, ይሆናል እኮ ያቱልቱላ, መሽረፈት"
አንተ ደንቆሮ የሸርሙጣ ልጅ አህያ ቦዶ ጭንቅላት ዘረኛ የሴት ልጅ አቅምህን እውቅ እንዳ አንተ አይነቱ ተላላኪ ነው አገራችን እንዳትረጋጋ ያደረጋት ቆሻሻ,"ደንቆሮ, የሸርሙጣ ልጅ, አህያ, ቦዶ, ጭንቅላት, ዘረኛ, ተላላኪ, ቆሻሻ"
ግባና ታገላ እዛ ያለን የገበሬ ልጅ መቆመሪያ ማድረግ ሳይሆን ገብተህ መታገል ነው። ያ ነው ጀግነት። ጥግ ላይ ቆሞ መሞጣሞጥ አያስፈልግም ይሄ የፍቅር ክሊኒክ አይደለም ገብተህ ተጋፈጥ።,"ታገላ, መታገል, መሞጣሞጥ"
በምን ኢሳብ ነው ይንን ወራዳ ባንዳ (ካድሬ) አባት ብለህ የምትጠራው,"ባንዳ, ካድሬ"
ምላስህ ጆሮህ እና ጭንቅላት የከብት እንደሆነ የሚታወቀው ከሰው ልጅ የማይጠበቅ ወሬ ስለምታወራ ነው። ደንቆሮ,"ወሬ, ደንቆሮ"
መንግስቱን/ደርግን እንደ reference/benchmark መጠቀም መቼ ነው የተጀመረው?ከተጀመረስ ለሷ ብቻ ለምን ይሰራል?እንደውም ስለአባቷ ሰው በላነት ሳይሆን ለምን አትደግፈውም ይቺ,በላነት
እየህ አንተ የፕሮፖጋንዳ ሰለባ ነህ የፕሮፖጋንዳ ሰለባ ለመሆን ደሞ እንዳንተ ደደብ እና ደንቆሮ መሆን ብቻ ነው ሚጠበቅብህ ለማንኛውም ጀግኖ,"ፕሮፖጋንዳ ሰለባ, ደደብ, ደንቆሮ"
አሁን ይህ ምኑ ይነገራል?ምኑስ ይጠቅማል ኧረ ወዲያ? በተራ የሰፈር ጠብ እንኳ ሰው ይጠነቀቀቃል የምር አትውረድ,"በተራ,ጠብ"
ኣየ ኣንተ ደደብ ሽንታም አገር መቐጠል የሚጭለው በፍቅር ዕንጂ በመፎከር ህፃናት በምግደል ሰለማውያን ኣዛውንት በኣየር በመደብደብ ኣይደለም። ካኣሁን,"ደደብ, ሽንታም"
እዚያው እየተላላክ ዳቦህን ብላ። ምነው ሠፊ ነው ካልክ ሀገር ቤት ሂደህ የወትሮ ሥራህን አልሰራህ ታዲያ?,"እየተላላክ, ሠፊ"
አንተ የሸርሙጣ ልጅ ጠብቅ አንተም አብይም ዋጋችሁን ታኛላችሁ,የሸርሙጣ
እርግጠኛ ነኝ ክሊፑን ያየ ያለቅሳል ያዝናል:: ታዲያ ኢትዮጲያውያንን እንዲህ እንደ እስስት የሚያለዋውጠንንና በተመሳሳይ ሰዓት በእ/ብሔርም በሰይጣንም የምናምን ፍጡር,"እስስት, ሰይጣን"
ቱልቱላ ከፍታን የሚገለፀው በስራ እንጂ በወሬ አይደለም ሙሉ ከተማ እያቃጠልክ ፣የሰው ልጅ በምታስተዳድረው ክልል ዘቅዝቀህ እየሰቀልከ ፣ሰው ቆጥቦ የሰራው,"እያቃጠልክ, ዘቅዝቀህ, እየሰቀልከ"
Dani ለግዜው በህይወት አለን ለማለት ከተደበቀበት ምሽግ ፎቶውን ልኳል::,ተደበቀበት
ኤዲያ ዐቢይን አንድ አንተ ብትጠላው ምን ታመጣለህ?,ትጠላው
ጅል ሁሉ ቀነኒሳ ሆቴል ያረፈው ሮጦ ለማምለጥ ነው ???,"ጅል, ሮጦ"
Lol ሰላማዊ ሰው እና ንብረት ማውደም ነው ላንተ ውለታ የታለ አንድ ሰው የያዙት ወይም የያዛችሁት ቱልቱላ ውጤቱን ታየዋለህ አገር አል,ማውደም
ይሄንንም እንዳላረገውና የሙከራ ስርጭት እንዳላካሂድብህ,"አላረገ, አላካሂድ"
አትቀባጥር። አንተ ስትዘርፍ ስለኖርክ ሰው ሁሉ ሌባ አይምሰልህ።,ሌባ
እንዳንተ አይነቱ ነው የታሪክ አተላ የሚባል አውቃችሁ ሞታችዋል,አተላ
የፍርድ ጊዜ አይደርስ መስሏት ትደነፋች ከፋፈልኩ ብላ ልቧ ዉልቅ ብሏል፤ገመድ አፍ ነገር,"ከፋፈልኩ, ገመድ"
ፍርፋሪ ጣይ ብቶንማ አፈር በልተህ ነበር።እከክ ነገር ነህ አንተን ብሎ ተሳዳቢ ደደብ።,"ፍርፋሪ,እከክ,ተሳዳቢ,ደደብ"
ቀባጣሪ ቆሻሻ ለስልጣንና ለገንዘብ አይንሽ የታዉረ ቆሻሻ የኤርሚያስ ገሰ ታናሽ እህት መቸም እንዳንች አይነቱ ገልቱ በጭብጨባ የሚሰክር ሰው ቦታ የላትም,"ቀባጣሪ, ቆሻሻ, አይንሽ, የታዉረ, ቆሻሻ, በጭብጨባ"
ቆሻሻ ባንዳ ጊዜ የሰጠህ መስሎህ በአምኒስቲ ጭምብል ታቀረሻለህ አደል።የጊዜ ጉዳይ ነው.,"ቆሻሻ, ባንዳ"
አሉላ እንደ አንተ ዐይነቱ ህሊና ቢስ ለምስኪኑ ትግረዋይ ግድ የሌለው ትዳር አፍርሱ ኢትዮጵያዊ አይደለንም የሚል ኢሚንት ስለ ኢትዮጵያዊው ትግረዋይ ለመናገር,"ህሊና ቢስ, ምስኪን, ግድ የሌለው, ኢትዮጵያዊ አይደለንም"
መስሪያ ቤት ስለ ኔዮ ሊብራሊዝም ሰይጣንነት ስንት እንዳላስተማሩን ??,ሰይጣንነት
አንተ ዶማ የሚያሳዝነው ሌላ የትግራይና የሀገራችን ትውልድ ለናንተ ዐይነቱ ውሻ ብሎ መሞቱና አካሉን ማጣቱ ነው የሚያሳዝነው።,"ዶማ, ውሻ"
ለበግም አልበጀም እያሉ ዲስፕሩፍ ሊያረጉት ይፈልጋሉ,"አልበጀም, ዲስፕሩፍ"
ተባረክ ለትርጉሙ ማስጠንቀቂያ መሰጠቷ ተገቢ ነው አሳማው ዲና ሙፊቲህ አፍንጫ ከተነካ ምን ቀረ እኛ ደግሞ አንገታቸውን እንቆርጠዋለን እያለ ጉራው አሰቸገረን በነካ,"አሳማው, አፍንጫ ከተነካ ምን ቀረ, አንገታቸውን እንቆርጠዋለን"
ከናንተ እንካን ጥሩ አንጠብቅም ግን ሰው ከሆንክ ትንሽ ሰብኣዊነት ካለህ ድምጽ እንካን ባትሆነን አፍህ,"እንካን ጥሩ አንጠብቅም, እንካን ባትሆነን አፍህ"
jerry Tigray እንዴው ለአፍህ አይከብድህም ቦቅቧቃ ብለህ ስትሳደብ አንተ ቀፎ አንተም ታውቀዋለሀሸ ጀግናነቱን በየጉድጓዱ ውስጥ የሸጎጠህን ጀግና በግሙ አፍህ,"አይከብድህም, ቦቅቧቃ, ቀፎ, የሸጎጠህ"
እውነት ጋዜጠኛ ብትሆን መሳሪያ ለጥፋ ለምን እንደዛተች ትጠይቅ ነበር ይቅርታ ለምን እንዳልጠየቀች ትጠይቅ ነበር,ጥፋ
ጥሎብሽ እኔ መስማት ሴራ መስሎ ታይቶሽ ነበራ ????,ጥሎብሽ
