Sentence,Negative Connotations
"Был о якутах лучшего мнение, а оказалось это какие-то дикие чурки. Возможно, тюрская кровь культура играет свою роль. Буряты якуты.","дикие,чурки"
"ой бля ,нашелся тут интеллигент !",бля
надоели эти пидарасы уже пора про них забыть,"надоели,пидарасы"
этому долбаебу так и надо до игрался придурок,"долбаебу, придурок"
"чем бы дитя не тешилось, лишь бы не плакало! дегтярев-пидармон, куда ты полез?! народ недураки, все вам вылезет едросам-митингами!","пидармон, недураки"
", оскорбление чести матери,за такое можно и по е6алу дать !","оскорбление, е6алу"
ещё одним театром пидары завладели.,пидары
зачем с таким жить тварь. расстрелять,"тварь, расстрелять"
"не голосуйте за них,всю страну распродали,уроды",уроды
такой пи -ж я читаю впервые ! на кого рассчитана эта хренатень ???,"пи -ж, хренатень"
зизу пусть монако или марсель сделает чемпионом...пиздешь ребят..,пиздешь
а кто-то за токих далбаебов жизни отдовал,далбаебов
"2)Это что стих про них что-ли? Это они диванные бойцы,которые в интернете пишут?Вы там кукухой поехали?","диванные бойцы, кукухой поехали"
Он же официально беженец в гейропке,гейропке
"Сами превращаете интернет в помойку, сами же за это и получаете.",помойку
"проблядь, выйди из группы чтож вы все профессию родителя переняли",проблядь
"эти пидарасы бы ловили преступников, как и дед сказал",пидарасы
главный долбоеб года уханя повар из полицейский из миннеаполиса сварщик из бейрута президент минска из d,долбоеб
бездари только и прутся на эстраду,"бездари, прутся"
сука она и есть сука недумает что однажды и к ней так же отнесутся,сука
мразь эту за такое выступление казнить нужн,"мразь, казнить"
пиздуйте с хабаровска со всего дальнего востока.,пиздуйте
"нагуляется, припрется, вспомнит что есть муж и дети .таким извените шалавам хватает совести на все","нагуляется, припрется, шалавам"
"блять, ты это ещё 20 раз напиши !!!",блять
а это стадо олигархов в думе знают что в стране есть детские дома и дома престарелых?! или уже все уничтожили?!....,"стадо, уничтожили"
вспомним самые светлые годы ссср и противостояние с пендосами,пендосами
ну долбоёб нахрена таких вообще на застолье приглашать,"долбоёб,нахрена"
Самых парашных их студентов отправляли работать с русскими,парашных
трое таких ебланов меня (думаю) до сих пор клянут.,ебланов
и причем ваша форма ребята то что полицаи творят это касается только этих уебков которые поднимают руку на народ.моральных уродов..,"полицаи, уебков, моральных уродов"
"Ну да, нищебродам в Москве не место.",нищебродам
да как носит таких козлов на земле.,козлов
это у нас китайцы всё пиздили и за своё выдавали,пиздили
набить ему морду и не допускать близко судить матчи вообще!!!,набить ему морду
козёл позорит честь настоящих мужчин,"козёл, позорит"
"Во-вторых, мой маленький дегенерат, то, что покупается - это в основном капитальные вложения, и на прайс конечного товара влияет постольку-поскольку",дегенерат
таких как он сейчас дохуя!!! и ни одного придателем не называют всю сторону растощили,"дохуя, придателем, растощили"
пидрилу на прожиточный минимум посадить,пидрилу
"согласен, они уроды, но тогда кто наши министры здравоохранения, врачи, власть, которая идёт на поводу этих уродов?",уроды
молодые говнюки ищут на свою жопу приключений все порулить хотят безмозглые бездельники,"говнюки, жопу, безмозглые, бездельники"
так с блядьми продажными и надобно поступать!,"блядьми, продажными"
"всё, мне в падлу с тобой бакланить","падлу,бакланить"
"в городе должно быть чисто и спокойно, пидаров на кичман",пидаров
В такой ситуации виноваты пидарасы из Ростелекома у которых даже кошка может купить фильм с пульта. Дебилы блять.,"пидарасы, дебилы, блять"
такие же твари и привели этих тварей,твари
дайте уже пожить создать семью отдал 35 лет жизни кормил уёбков власти 30 лет мой отец 60 лет хватит,уёбков
дятлы ёб.утые несмотрят в зеркала.,"дятлы, ёб.утые"
а судью пидора бог накажет. все возвращается бумерангом.,пидора
не отвечай на провокации этого дебила всё и так ясно,дебила
и как земля таких уродов носит?,уродов
"да какое нахер поколение,спиздили машину у тех кто войну проиграл.стыдно должно быть.","нахер, спиздили, стыдно"
"о таких тварях я даже не знаю,что писать!!!!",тварях
где они бляди такие зарплаты нашли?,бляди
можно подумать конкуренты хотят народу помочь. все говно во власть лезет. а этого упыря просто кто-то тащит в депутаты!,"говно, упыря"
просрали не мы а твари из провительства ебаные господа,"просрали, твари, ебаные"
у курки ебаные не оболщатесь это миф,ебаные
ебилы взять что с них,ебилы
нахрена кино снимать!? лизнул... и тебе медалька и премия!,"нахрена, лизнул"
"РФ готова поддерживать хоть черта лысого, если это поднимет цену на нефть.",черта лысого
"с прискорбием сообщаю тебе - ты простой пиздобол, коля! *-)",пиздобол
бля было.))).20 лет в браке.ушла.оставила семью бомжами.)))и еще условия поставила.))).все равно эту мразь люблю.но простить не могу да и ...,"бля, бомжами, мразь"
"ибать дебилы, кто это постит. :d","ибать, дебилы"
"Только хотел спросить, что за завалы. Ебать хреновые в Рашке плотники","ебать, хреновые, Рашке"
вас кинули... как лохов... но они обязуются все это выполнить к 2030 году...,"кинули, лохов"
"ни хрена себе, сколько дебилов его смотрели и подозиеваю, что еще присоеденяться","ни хрена себе, дебилов"
"даа.страна нуждается в героях,пизда рожает дураков","пизда, дураков"
вы у себя пидары разберитесь сначало,пидары
вот это правильно. а не ебанутых из дома 2 показывать.,ебанутых
пидор блядь всем привет из российского крыма,"пидор,блядь"
"козлина! может, он их еще в сбу передаст??",козлина
называется - веди себя как придурок перед камерой на потеху толпе,придурок
своих увидела и голосок прорезался ? мыышь серогорбая)))),мыышь серогорбая
"это им, блядям не стариков да студенток метелить.","блядям, метелить"
от одной ебанашки избавились:d :d,ебанашки
"его не зря построили, собирается вся шваль, предатели.","шваль, предатели"
хочется поинтересоваться психическим состоянии данногошедевраты долбаёб?,долбаёб
"может хватит, иуд и пидоров светить?","иуд, пидоров"
"ага,прямо таки наблюдатели это всё пропустили ...эк как пидорам поправки не по нутру",пидорам
"Кстати, непереносимость этого мерзкого и гадкого тиканья часов - нормальный такой симптом неврастении. В медицинском смысле.","мерзкого, гадкого"
тупорылое ебло и боец он петушиный позорник,"тупорылое, ебло, петушиный, позорник"
"должен получить срок 12 лет, он убил человека. пьянь, моральный урод!!!","пьянь, моральный урод"
ебанутый на всю голову ребёнок.,ебанутый
пидары! что с них взять?!,пидары
"да пиздобол он, форма флора, а кепки с какого ларька?:d",пиздобол
"а что, канделака опять апл прое**ла?",прое**ла
"пидорасы родители ,за счет детей падля пьют","пидорасы,падля"
хомячки вышли размяться! дебилы блть!,"дебилы, блть"
да кто ты такая сука!!! и так врачей не хватает тварь вонючая (((,"сука,тварь,вонючая"
обоих посадить нужно. за преступление и непрофессионализм. два придурка,"посадить,преступление,непрофессионализм,придурка"
крым всегда был и будет российским!!! всем блядям назло !!!!,блядям
"Идеальный анонимус: изобличает, тралит, давит на больное и делает это со вкусом. У пидорах нехило подгорает, just is planned, лалки.","пидорах, подгорает, лалки"
"глупое видео, да и ребенок не пристегнут, а блин такой ,,умный,,-,,пиздюк,,","глупое, не пристегнут, блин, пиздюк"
"чтобы у тебя пидара руки отсохли за такие надписи ... иуда , иногда головой думай что пишешь!","пидара, отсохли, иуда"
сука... маникюр лучше чем у меня,сука
ты сук обломанный ещё на сайте? никто не заткнул твой поганый рот? догавкаешся!,"сук обломанный, заткнул, поганый рот, догавкаешся"
"Модераторы, отвечайте, блядь! Почему демонеток удалили, а педофильские танцульки на месте?","блядь, педофильские"
"а ты урод,если не поноаеш о чём говорт,тогда,молчи урод!!!","урод,молчи"
он понятия не имеет о чём ты. ему что говорят его пидарасы отцы и деды он в это и верит:d,пидарасы
"от плохой жизни, от голода, сучонок распух!!!!","сучонок,распух"
"бедный ребёнок, родители долбаебы,как же ему с такими дальше жить",долбаебы
бля..нет сука возможности володина выдернуть..напомнил бы ему о многом пидару.,"бля, сука, пидару"
"хуйня какая то, картинка с дебилами одна и та же, по 10 раз.","хуйня, дебилами"
за такие деньги нетолько закупить и страну можно из кризиса вытащить идиоты,идиоты
какого хуя он туда заперся долбоеб,"хуя, долбоеб"
"как интересно, может мне стоит посмотреть, а не тутурукать тут, блять. )",блять
"посмотрите независимое расследование васильевой, а потом всякую херню пишите.",херню
"ебать умный какой, не одна вышка наверное!!!!!",ебать
"козел это, а не папа!!!",козел
там человека убили а эти уроды на выставку машин приехали как буд-то,"убили, уроды"
я знаю на что способна ....я тоже не древний:-dв конце концов женщине скажут что она современная блядь:-d,блядь
"сама унитаз, только официальных 5 мужей, а сколько еще любовников! чтобы такое говорить самой надо быть кристально чистой! помойная яма!","унитаз, любовников, помойная яма"
"пидерасты,глумление над народом,тяжелее ручки в руках не держали,всё воздасто сполна,как не крути и это будет","пидерасты,глумление"
вот кому руки то отрубить то надо,отрубить
и в 3 подъезде бывает такое. поймать бы чухана!,чухана
таких пидорасок гнать в шею живут засчет пинсионеров,пидорасок
"если водила из драчующейся компании, идиот, на уголовку наездил, покушение на убийство впаяют.","драчующейся, идиот"
"придурок, тебя не заебало одно и то же скидывать и всех оскарблять?","придурок, заебало, оскарблять"
ублюдки их самих нужно расстрелять в упор. нужно было просто уплыть куда плыли.,"ублюдки, расстрелять"
вас жидов что-то не устраивает?,жидов
"Ну блдь, импеллер жеж, импеллер.",блдь
"смотри что творит твои президент уебок, сегодня.",уебок
а чем лучше предатель власов -такая же -------- как и бандера - так чо пидарья везде хватает,"предатель, пидарья"
"Бля, вот не будь у меня этого куска говна, может и поверил бы.","Бля, говна"
"это он, а не она , провокатор кастрюлеголовый","провокатор, кастрюлеголовый"
"да это же пидор,нормальный водитель так себя не станет вести,это обычный курганский пидорас или просто петух.","пидор, пидорас, петух"
"и чувствуется по школотному долбоебизму админов - и не увидим. ни ссылки, ни клипа. поколоение егэ-дебилов, мля.","долбоебизму, дебилов, мля"
"жмеринская шалава , не устала срать на форумах? откуда столько говна в тебе,простипутка?","шалава,срать,говна,простипутка"
а ведь сколько денег смогли бы отдать кубе африке ирак с ираном - а так пидарасы все растянули,пидарасы
кто до сих пор позволяет этой блядине отзыватся о нас ?,блядине
"тебя из авиации поперли за твой паршивый язык, и правильно сделали! чмо ты а не мужик!","поперли, паршивый, чмо"
"пидоры дырявые, продали будущее семьи на поколения вперёд,...и теперь они ещё и рекламу делают.","пидоры,дырявые"
водитель красава на хер таких пидоров,"на хер, пидоров"
этому пидору захар дал паспорт днр,пидору
я сам ржу как сука с них.,сука
"отвянь, пидорас прилипчивый. пристань к своей жене, и жди.","отвянь, пидорас прилипчивый"
сколько же ебанутых в россии в месте с тобой,ебанутых
правда? шавка ты неудовлетворенная. вот и пиздишь от зависти.,"шавка, неудовлетворенная, пиздишь"
конечно двое на подхвате можно и в течении беседы нанести удар лох ебаный и друшки такие же не спортивное поведение,"лох, ебаный"
уничтожают народ твари! народу не дают работать,"уничтожают, твари"
мужики выйдут мусорам хуево будет,"мусорам,хуево"
Кто это ваще? Че за бичара?,бичара
"кулибин хренов, на хонор это не прокатывает",хренов
и вот так мы живём среди долбоебов,долбоебов
"и правильно,пусть пиздует в родные пенаты!",пиздует
ты на зп посмотри че ты пишишь далбоеб,далбоеб
", если некоторое время деньги не вносищь_ хуярят",хуярят
"так получается,что батька за одно с киевом придумали эту хрень!?блядь,так ещё никто необделывался,как лукошенко....как жить будет с этим позором,идиот?!","хрень, блядь, необделывался, идиот"
а сам блядь в канаду с ебался упырь,"блядь,ебался,упырь"
дочь в нее пошла-такая же ебанутая,ебанутая
"В Бангладеше тоже население растёт, дебил.",дебил
"блядь, аж зла не хватает! песна написана предположительно 1920-21",блядь
пизда малолетняя себе нихуя для пропитания не сможет добыть,"пизда, нихуя"
вот редкая тварь один раз избрали а теперь хер выгониш,"тварь, хер"
неужели не понятно что задавая дибильные вопросы эти идиоты зарабатывают деньги а не пошли бы вы на хер дибилы тупорылые,"не понятно, дибильные, идиоты, на хер, дибилы, тупорылые"
вот такие долбоёбы и управляют страной,долбоёбы
"на том свете уже не отмажет никто, тварььь",тварььь
"не хуй тут выеживаться, ещё и хватает наглости выставлять на лайки....","хуй, выеживаться, наглости"
"Ща я все поясню погодь, до дома доберусь, вискаря въебу и расскажу тебе что почём",въебу
всем надоела эта проститутка длинноногая стерва,"проститутка, стерва"
Была же информацию что пиндосы собирают генетические материалы россиян..,пиндосы
"он ебать вообще от жыру охуел!, какой миллион? у народа и так денег нет нихера","ебать, охуел, нихера"
"панты карявые, очередной способ угнать лавэ, откройте глаза и заблокируйте останкинских пиздаболов.","карявые,угнать,пиздаболов"
Почему у папича такой даунский чат? Традиция.,даунский
встал народ от мало до внлика значит не так хорошо как об этом говорят сми те ещё пиздабо,пиздабо
"слушай, админ, ты блять реально еблан или прикидываешься? тебе тут кондитерская или чё блять?","блять, еблан"
"долбоеба кусок, слов нет одни эмоции.",долбоеба
спам!!! информацию этот еблан распространяет ложную,еблан
"его скоро повесит собственный народ,дай бог людям нормального президента после этой мрази!!!","повесит, мрази"
Чем меньше на эту парашу обращать внимания - тем лучше,парашу
"так вам сукам и надо надеюсь и последние кадры уедут в другие города, где нет такого ебанутого руководства.","сукам, ебанутого"
"Разве ты не понимаешь этого, придурок? Вот лол.",придурок
осатанели суки.правильно мужик сказал режиму скоро придёт пиз......ц.,"осатанели,суки,пиз......ц."
"Во-вторых, кукарекающее анонимно на других людей быдло че то попездывает за доносы, уморительно","быдло, попездывает"
"а дополнительно депутатом.а сейчас мы должны обеспечивать не только этих дармоедов, но их семьи и их блядей.","дармоедов, блядей"
впереди шла тоже девочка ребенок они вместе вошли в подъезд а заними уже этот ублюдок зашел,ублюдок
такую пиздеж в комментах почитал!,пиздеж
на кой черт этот упырь нужен??? хуета бесполезная!!!,"черт, упырь, хуета, бесполезная"
что она пиздоболка муж ию говорит денег нет у них а она маску заказывает дорогую несколько тыс,пиздоболка
"больным детям собираем всем миром на лечение, а жирные хари откармливаются бесплатно за счёт всей страны, когда уже твари нажрутся","жирные, хари, твари, нажрутся"
"Еще и Живчик возить перестали, суки, с эхинацеей, и Бiле, мое любимое.",суки
Идиоты проникают во все сферы жизни 5 дней снимает ролики с зумом на фурункул,Идиоты
И хуй ты что им докажешь - у них все деньги мира и все СМИ.,хуй
"правильно, ты же пиздабол, ни чего не смог толком пояснит за свои измышления, кто бы сомневался... покури сходи!",пиздабол
чурка адвокат трактует его по своему.лишить лицензии идиота навсегда.,"чурка,идиота"
"Да там русачков достаточно живёт и они временами совершают преступления, но чёт не слышно про митинги и погромы русни","русачков, русни"
"Ты дебил? Как тогда те самолеты, которые разбились, поднялись в воздух?",дебил
отпиздошить росгвардейцев у вас теперь появится возможность только через год,отпиздошить
"этого пидора в Химках видал недавно на гик-конвенте видал, жирный что твой кабан","пидора, жирный, кабан"
вотак и жевем а вы за ету блятскую партию голоса отдали.,блятскую
пидор гнойный лука сколько блядь изворачиваться будешь никто уже не верит твоей пиздежи гомон тебе мразь,"пидор, гнойный, блядь, пиздежи, мразь"
потом от пиздюлей и правда хромой станет,пиздюлей
Почему ты такой тупой ? я ж объяснил на что конкретно мне похуй и не раз,"тупой, похуй"
"дай бог, если очередному дебилу это будет уроком-не срать соседу.","дебилу,срать"
"эта дура,уже сказала,,с нитке,по миру......,,!господи,когда эти уроды,уедут на острова,подальше...","дура, уроды"
а кто тебя ущербного будет спрашивать на каком языке нам разговаривать ебанашка,"ущербного, ебанашка"
этот старый маразматик уже внес свою лепту в развал страны в свое время,"маразматик, развал"
как вы заебали показывать одно и тоже,заебали
нехуй выебываца дура тупая .пусть благодарит бога что ноги низажувала тупая ска,"нехуй,выебываца,дура,тупая,тупая,ска"
а с ним все возятся!!! если бы не было видео он давно бы опять вел себя аналогичным образом!!! мразь!!!,мразь
Какое отношение твой лахтодырский сайт имеет к этой теме? Иди нахуй.,"лахтодырский, нахуй"
так что господа оккупанты нихуя у вас не выйдет!!!!!,"оккупанты, нихуя"
потому что жизнь долбоёбов ничему не учит,долбоёбов
да оно и по россии эти упыри свободно гуляют...,упыри
папу поймать и кострировать!! и пусть ростит детей!!!,"поймать, кострировать"
"добрый, но хуй это сразу поймешь",хуй
"дура ебнутая, ты о чем клава?","дура,ебнутая"
молодец таких уродов надо наказывать если закон бессилин,"уродов, наказывать"
и где они хоть 8 нема вообще скоты обнаглели,"скоты,обнаглели"
ты чего это далбонутого долбонутым обзываеш.,"далбонутого,долбонутым"
"ты то блядь, ещё та)) иностранная))) японская- шлюха ты тупая)) тебе долбоёбу- вопрос задали: что плохого написано о мусульманах?","блядь, шлюха, тупая, долбоёбу"
"соболезнования родителям! а эту мразоту,выследить и прибить,как собаку","мразоту,выследить,прибить,собаку"
"по-ходу всю администрацию города выебали разом, что дороги стали строить.",выебали
заебали вы уже своими котами честно говоря.*-),заебали
собрать народную дружину и ловить пиздить свиней слухи быстро пойдут,"пиздить, свиней"
"ебанутые, подумайте лучше об этих людях и о стране, которую они превратили в собственную кормушку","ебанутые,кормушку"
Какое мерзкое у нее выражение лица.,мерзкое
"во твари, им похую все эти митинги, главное что бы жопа бизнес классом летала на мягком и уютном.","твари, похую, жопа"
короткова к стати.она нас учила 3 года блядь такая.,блядь
"нехуй врать, блядь, сидишь тут ублюдок, провоцируешь.","нехуй, блядь, ублюдок"
Австралийские твари доберутся до всех материков!,твари
"дура ты уёбищная,я ещё работаю и внукам помогаю,спасибо пидору путину,добавил ещё 2,5 года","дура, уёбищная, пидору"
"долбаебы! сочи не склоняется! не в сочах, а в сочи!",долбаебы
люди уже перестали ругаться так нет ты говно вылезла из унитаза,"говно,унитаза"
"не может быть, а все, пиздец, никуда не уйти",пиздец
"Его пидорнули и он ушел на ютаб, кадавр кстати на стриме вроде как разбирал его ролик, но я не смотрел",пидорнули
руки ноги оторвать гадам за такое.,"оторвать, гадам"
а щас эти пидары забрали то каторе строили нашы деды.и снашают этим нас,"пидары,снашают"
"Значит, ты тут подскочил, как петух на жердочке, вскукарекнул, когда попросили пруф - слился и даже не извинился","петух, вскукарекнул, слился"
"О, пришла весна, начались обострения у шизы.","обострения, шизы"
"пиздец ,мягко сказано,конца не виднои россии нет,всю почти продали,твари........","пиздец, твари"
"что ,дурак???х..ли ,мне суешь ,какого то китайского философа,иди мебель двигай по феншую!","дурак, х..ли"
дело даже не в iq - просто хуесосам там не место,хуесосам
пусть эти пидорасы тогда сами въёбывают!,"пидорасы, въёбывают"
"а что нам остаётся делать, нам пассивным пидорасам? принимать всё как есть",пидорасам
"емедленно извинись перед МНЕНИЕМ, шваль! Да, я в курсе, что Титан мысли его довничем считает",шваль
"это,что,живой собаке глаза прищепкой,ради прикола?а себе пробовали?это самое больное место ,веки.вот уроды.ужас!","уроды,ужас"
что ты можешь людям предложить кроме свой жопы и не помытова рта:-d :-d :-d,"жопы, не помытова рта"
а работать не хочешь да? хочешь за свои фотки деньги получать? хуй на нос тебе,хуй
"всё заебись,леса валом,черти 95% нелегально добытого и всем по..","заебись, черти, по.."
"ребята я уже на французском---это пиздец! одного человека нет,другой просто включил дурика....ну читать уже противно.","пиздец, дурика, противно"
этим странам долбоебам необходимо признать а то деньги не получат от российских налогоплательщиков,долбоебам
ну прям пиздец какой та:d,пиздец
"завидно,ну зделайте так а потом пиздите,слабо,олени колхозные","завидно,пиздите,слабо,олени,колхозные"
"хуйло! вернись,будь настоящим русским патриотом! попробуй забрать всё,что слева от днепра+одессу! тебе кто-то мешает?! пиздабол заокеанский!","хуйло, пиздабол"
и т д....нечего им там тварям делать прежде всего!,тварям
да блин отчаянный пидарас а мог бы и душу богу отдать на суд,"да блин, пидарас"
"сука! беззащитное животное избить, которое не может себя защитить","сука, избить"
"я тебе не приятель, туша боксёрская",туша
"Схуяли ты решил что это мне подарили, и мне надо завидовать?",Схуяли
"любого из нас если достать, то ебанем похлеще этого пса","ебанем, пса"
"ты чудо если ты думаешь что я от фото шопа,стану хуже то ты точно лох",лох
"а иногда бывают просто, промандоблядские гены блядской пробабушки !","промандоблядские, блядской"
"сам ты уебок! за него народ поднялся, а тебя люди даже и не знаю! фургал- порядочный человек!",уебок
"б***** я, сука , горжусь своей страной и презиком!!!:d","б*****, сука"
"ублюдки,ну рано или поздно всё закончиться,и мы придём за каждым бесом","ублюдки, бесом"
"а это урод , безбашеный ..","урод,безбашеный"
"твари родители, что детей не научили, все вернётся...",твари
"нормальные люди от юмора смеются, а ты тут разводишь неукротимую диарею! Может, тебе не здесь?",неукротимую диарею
как же я люблю свою родину!!! ибать её конём!!!,ибать
"как земля таких уродов носит,чтоб руки у него отсохли","уродов, отсохли"
что тварь..........испугался а свою вонючую шкуру? на нары тебя мразь!,"тварь, вонючую, шкуру, мразь"
жопу как раз ты свою рвешь,жопу
губы как у этой обезьяны жопа,"обезьяны, жопа"
"бедные дети ,а тех кто издеваетьсянад детьми сажать на кол !","издеваетьсянад, сажать на кол"
"старые все лезут к молодым, их не устраивает своя жена, пусть сука сидит теперь, мало ему","сука, лезут"
полностью солидарен. всё уважение к карелину как к великому спортсмену пропало после его высера...лизнул так лизнул.,"высера, лизнул"
такого на осиновый кол посадить надо!,"осиновый кол, посадить"
"браслетов нет в продаже,твари запретили",твари
"матери нипричем, что такой мудак вырос. а выебать его надо.","мудак, выебать"
"Фу, как тупо хейтить за внешность. Слова не мужа, а прыщавого сопливого подростка.","Фу, тупо, хейтить, прыщавого, сопливого"
"и так во всем, все 20лет, одно слово брехуйло!!! вся планеты!",брехуйло
"он и показал на руке, ебанутые бабы, все им не так","ебанутые, бабы"
Да бл..ь!!! Теперь я точно не стану досматривать этот сериал!,бл..ь
а на хуя в приколы эту картинку поставили дебилы чтоль,"хуй,дебилы"
"готовься к санкциям Не проецируй, пидораха. Разрыва контракта не будет, русня, платит - значит заебись.","пидораха, русня, заебись"
закройте уже этого старого гандона и алкаша,"гандона,алкаша"
вы бы ещё сделали узнайте актера по жопе! вы совсем еб.нулись,"жопе, еб.нулись"
"ах , ты ссука.. как передает общую атмосферу. Очень тонкий подтекст. И очень толсто передал все, что нужно.",ссука
"пидарасы,все деньги хотят загребсти.уроды ёбаные.а люди страдают.","пидарасы,уроды ёбаные"
твой ельцын алкаш гребанный всю страну развалил гореть ему в аду пидору,"алкаш, гребанный, гореть, аду, пидору"
эх и сука.как можно так.это же твой ребенок.маленький человечек.ужас просто.,"сука, ужас"
у пескова есть гражданство ты баран хуева знаешь,"баран, хуева"
не хрена себе честный разговор((((( фу!!!!! такой же бля жополиз (((,"не хрена, фу, бля, жополиз"
"Полно таких дебилов, незнающих тему.",дебилов
"Вообще нет, у меня татарское ебало, а это типикал латыш или бульбаш","ебало,типикал,латыш,бульбаш"
"пиздабол ты покажи митинг покажи всё, пиздеть не мешки с цементом таскать.","пиздабол, пиздеть"
"жидяры вторую волну начинают! чувствуют суки, что им приходит! мрази конченые!","жидяры, суки, мрази, конченые"
что за пидорасы в рваных штанах,пидорасы
"россия, да забей ты х.й на сраного фургала и хабаровск.","х.й,сраного"
"долбохозяйка чем народ кормить собирается. умные люди учатся на чужих ошибках, а долбоебы на своих....","долбохозяйка, долбоебы"
придурок. как он надоел уже. когда посадят за решетку. придурки все.,"придурок, надоел, придурки"
ну какие же сволочи жестокие!!!! пусть и вас также выкинут и предадут.....,"сволочи, жестокие, выкинут, предадут"
мало их в войсках чмырили и пиздили.,"чмырили, пиздили"
"так объясняла, ещё когда беременная была, толк есть? он опять привез дитё и съебал до ночи на работу.",съебал
"зачем делать добро и спрашивать хорошо или нет ,что за херня ,пишут дебилы блядь","херня, дебилы, блядь"
идиот сам. драпанул из страны за лучшим куском,"идиот,драпанул"
если мы сами этим пидорам не скажем нет то так ибудет.,пидорам
им ничего не платят... они просто ебанутые;),ебанутые
это фото заебло глаза .,заебло
"лёха из озинок,который под пидора косит",пидора
этой бабке каждый месяц исполняется 100 лет. смените фотку козлы!!!,"бабке, козлы"
"дебил конченный, не позориться бы своим видео","дебил конченный, позориться"
"говоришь ты верно, но пиздишь наверно..",пиздишь
"Этой забаве лет больше чем тебе, быдло",быдло
"да пошёл ты нахуй, идиот.","пошёл нахуй, идиот"
"вот тварь, надеюсь ей все вернётся...",тварь
админ ну ты и пидор гнойный кто тебя за порядкком то поставил следить уебище петушинное,"пидор,гнойный,уебище,петушинное"
значит у этого дяди есть что терять? наворовал со школы у детишек.....ублюдок,"наворовал, ублюдок"
"ну может тебя вместо лукашенко, пиз бол?!",пиз бол
"у меня вопрос,почему те кто этого придурка выбирал не отзовут его полномочия обратно? или он депутатское кресло купил?",придурка
и такая тварь меня будет учить культуре,тварь
а как ты их лайками будить будешь? пиздабол драный.,"пиздабол, драный"
"для дебилов, которые ходят в масках и перчатках. пускай тогда скафандры покупают, дебилы:d","дебилов, дебилы"
Потому что ускоглазые пидоры уже трубопровод туда планируют протянуть.,"ускоглазые,пидоры"
молодец мужик надо было морду набить этой твари,"морду набить, твари"
развалили суки такую часть помню как прибыл в неё в 2005 с начало шмс а потом 4 бат,суки
"знаете! порой думаешь, ну какие твари конченые среди нас живут!! а ведь сказано, зло изученное тобой, к тебе назад вернуться!!!","твари, конченые, зло"
вот пускай эта мразь себе её и колит,мразь
бабло надо отрабатывать..... а судь бы миллионов белорусов этих тварей-упырей не интересуют,"тварей, упырей"
откуда они такие берутся полуумные дебилы это же надо так на посмешище себя выставлять,"полуумные, дебилы, посмешище"
"твари ,вам бы жить на этот минимум и посмотреть на вас ,как будете жить вместе с нами",твари
Всей толпой в церковь и свечки за его здравие. Или успокоится или вам похер станет,похер
хуйила ты что игрушек нашёл чмо пидрила.,"хуйила, чмо, пидрила"
псов путинских больше чем вдвшников.как будто у них праздник.нагнали скотов как грязи,"псов, скотов, как грязи"
этому скатину не можно обяснить он как робот которому управлют с пулта,"скатину, робот"
когда ты сученок перестанешь изворачиваться пидор под шконку тебя мразь,"сученок, пидор, мразь"
благодаря ему ты пиздюк щас пишешь эти комментарии,пиздюк
"а ты, чмо лысое покажи свои накопления, наверняка не 10 тысяч рублей",чмо лысое
а нашим долбаебам на верху не объяснить такое.,долбаебам
С хуев ли ему легче? Бери телегу и кати до машины,хуев
"хорошо, блокируй, но что ты хочешь от меня, блядь",блядь
ужасссссс что за нелюди ? только вешать таких мразей,"ужасссссс, нелюди, мразей"
это чмо опять истину глаголет....,чмо
"это развод не видитесь, кидает, деньги ложишь а она блокирует животное ебучиеееее","развод, кидает, блокирует, животное, ебучиеееее"
урод. его бы так трясти. сволочь.,"урод, сволочь"
у нас есть путин пидорас,пидорас
Ну так из - за этого шизоида большинство постов не теме,шизоида
такие неучи как я берегут твою сраную жобу с автоматом,"неучи, сраную"
"вкалывать нужно,а не лайки ставить. ебанутые.",ебанутые
"я вас поддерживаю.на эту передачу такие моральные уроды приходят,что убить хочется,не только кричать.и гордон и барановская очень хорошие ведущие.","моральные уроды, убить хочется"
Хули ты тогда тут делаешь? Читай ресурсы соответствующие твоему интеллекту,хули
а работники магазинов твари им все аукнется!!!,твари
"придурки вы, придурки. желаю всем, кто так считает на своей шкуре испытать все прелести болезни со всеми последствиями.",придурки
а почему не кто не видит говно вотошоп,говно
пид#ары так пидры заграницу их отправить и что бы не возвращались сюда не когда больше...,"пид#ары, пидры"
"Ну, посмотрел я комментарии к твоим постам, процент говнокомментов ниже средней отметки.",говнокомментов
"спецназ мог так поступить, в одном случае-им не дали пиздить протестующих - отморозков как положено!!!","пиздить, отморозков"
Маленький вонючий коммунистический пидорас-хуесос всегда игнорирует такие неприятные треды.,"вонючий,пидорас-хуесос,неприятные"
просто не люди а пидоры,пидоры
Среди умных людей -безусловно. Но стреляют то в в основном идиоты.,идиоты
ГЫЫЫЫЫ ФИЛОСАФ ИНТЕЛЛЕКТУАЛ НЕ ЛЮБИТ КЕНО ПРО ЖОПЫ СМОТРЕТЬ ГЫЫЫЫЫ О вкусах не спорят же.,"ФИЛОСАФ, ИНТЕЛЛЕКТУАЛ, ЖОПЫ"
"откуда столько в 21 веке религиозных шизиков, ахуеть просто","шизиков, ахуеть"
