Sentence,Negative Connotations
Die Politiker und Merkels Vasallen die Lügenpresse und Medienlandschaft sprachen doch von Zehntausenden Teilnehmern? Bestimmt Navi kaputt 😂😂,"Lügenpresse, Vasallen"
Bis heute wusste ich garnicht das Jerusalem nicht die Hauptstadt von Israel ist...... Es ist eine Christen und Juden Angelegenheit...was geht es eigentlich die bärtigen Kinderschänder an..?,"bärtigen, Kinderschänder"
Ich scheisse auf die SPD !!!,scheisse
Wie blöd können die Niedersachsen doch sein ???,blöd
#Rosenmontag in Mainz und Nordafrikadüsseldorf abgesagt. Hat aber nichts mit #rapefugees zu tun.,rapefugees
"Es kotzt mich an und bringt mich selbst zum kotzen, wenn Özdemir, oder wie immer der geschrieben wird, von PATRIOTISMUS redet oder sich über DEMOKRATIE ausläßt!","kotzt, kotzen"
Die Dummheit und Deutschfeindlichkeit eines Maas ist nicht mehr akzeptabel!. Dieser Kriminologe Pfeifersollte wohl vorher auf Drogen getestet werden!,"Dummheit, Deutschfeindlichkeit, Kriminologe, Drogen"
"Mit Schulz kämen wir von der Pest (Merkel) zur Cholera (Schulz)! CDU uns SPD zusammen haben, unseren jetzigen Untergang zu verantworten!","Pest, Cholera, Untergang"
"Es wird Zeit,den Pfaffen zu zeigen,wer sie sind! Ein Verein der Gescheiterten und Weltfremden!","Pfaffen, Gescheiterten, Weltfremden"
Quatsch! Es gibt keine Fachktäfte aus dem Ausland! Außer in Kriminellen und Vergewaltiger-Bereich! Grüne Dummheit!,"Quatsch, Kriminellen, Vergewaltiger, Dummheit"
"Die Zersetzung,die Vernichtung der Kultur,der Abschaum,hat immer nur einen Ursprung!","Zersetzung, Vernichtung, Abschaum"
"Frage mich schon seit Jahren, wieviel Stoff jemand intus haben muß, um solche deutschfeindlichen Idioten zu wählen?!","Stoff, deutschfeindlichen, Idioten"
"Dummes Gelaber, Kern. Kurz stellt sich nicht gegen die Italiener. Er. will nur 200.000 Invasoren nicht nach Österreich einreisen lassen.","Dummes, Gelaber, Invasoren"
Was für eine ekelhafte Person....der alte..!!,ekelhafte
Was für ein Volltrottel ...der hat den Gürtel nicht lange und von wegen für Deutschland Boxen...😂😂,Volltrottel
Klar doch . Die Schlimmsten im Lande sind die Rechten.die Moslems aber die Bedaerungswürdigen denen um JEDEN Preis geholfen werden muß.💩💩💩💩,"Schlimmsten, Rechten, Moslems, Bedaerungswürdigen"
Haben wir bei der Schwuchtel auch schon vermutet....,Schwuchtel
Prost Heike (Wat hat der Kerl für`n geiles Höschen (vorne gelb und hinten braun 😂😂😂) ich fasse es nicht 😂😂😂,"Kerl, geiles Höschen"
"Die ganze Welt schüttelt den Kopf oder lacht uns aus und dieses dumme Weib, Merkel, macht fleißig weiter !","dumme, Weib"
"@USER_15 @USER_12 @USER_10 @USER_0 @USER_7 @USER_5 @USER_16 @USER_17 @USER_9 @USER_2 @USER_11 @USER_1 @USER_4 @USER_6 @USER_3 @USER_8 @USER_13 @USER_14 Es ist zum Kotzen, seit Tagen!",Kotzen
Da macht sich die Bildung aus der Bild mal wieder bemerkbar. So ein Sau dummer Kommentar,Sau dummer
Endlich wurde dem Linken Anarchisten-Pack eine auf die Fresse gehauen!🤛,"Pack, Fresse gehauen"
"Mimimi ,,, und was machen unsere politisch-korrekten #safespace-Krieger dann im Ernstfall? Sich in die Hosen sch...?","Mimimi, politisch-korrekt, #safespace-Krieger, in die Hosen sch..."
Ihr Mauermörder wisst überhaupt nicht was Demokratie bedeutet 🖕,Mauermörder
#rapefugees in der Siedlung? #hartzundherzlich,rapefugees
Frauen die sich nicht freiwillig von Flüchtlingen ficken lassen sind sind ein Verstoß gegen die Menschenwürde. #Hungerstreik #Rapefugees,"ficken, Verstoß, Rapefugees"
"Ein System der Zersetzung, ein System der Lemminge der USA,ein System von Sklaven!","Zersetzung, Lemminge, Sklaven"
"Streit um Flüchtlings-Obergrenze - So könnten CDU und CSU ihr Gesicht wahren 😜 Wenn eine hässliche Fratze gemeint ist, geht`s 😜","hässliche, Fratze"
#Myanmar #Islamisierung: Aber irgendwie muss das globale #Dreckspack wohl von seiner krachenden Niederlage in #Syrien ablenken,"Dreckspack, krachenden Niederlage"
Die Drecks-SPD mit ihren Aussenministern scheisst aufs Grundgesetz und ganz besonders auf Art. 6 GG,"Drecks, scheisst"
"... unfassbar!!!! Man muss es einfach einmal so sagen: Liebe Verantwortliche, das Zeug, welches ihr ständig raucht, das ist einfach Scheisse!","unfassbar, Scheisse"
"Der Weitertransport von 'Schiffbrüchigen' nach Europa ist ein. Verbrechen an den Italienern, die dann dafür zahlen müssen. Sauerei.","Verbrechen, Sauerei"
Es gäbe eine Lösung...wir sollten als Verstärkung die Maghreb-Polizei holen. Nichts fürchten die kleinen Schmarotzer mehr..!,Schmarotzer
"Facebook ist verkommen zu einem Medium, dass nur noch die Darmbewohner der abgefuckten Altparteien und die sogenannte Religion der Steinzeitzombies vertritt.","verkommen, Darmbewohner, abgefuckten, Altparteien, sogenannte, Steinzeitzombies"
warum muss ich mir in der @USER_0 einen deutschen Jammerlappen anhören #WDR,Jammerlappen
Sogar künstl. Intelligenz erkennt dem Dämon Merker!,Dämon
Sollen sie doch ihre sieben Sachen packen und Erdowahn direkt in der Türkei unterstützen! 🤑🖕👎,Erdowahn
von der Leyen sollte endlich entsorgt werden! #RausAusDemKabinett #illner,entsorgt
@USER_0de @USER_0 Mit dummen Türken diskutiere ich nicht! Basta!,dummen Türken
Deswegen unterstützen Sie auch Kinderehen?! Kotz!,Kotz
"Das ist mir scheiss-egal Hauptsache sie scheiden aus ,bin 60er Fan!!!!!!!!!",scheiss-egal
Das Publikum klatscht für jeden scheiss sind wohl gekauft,"scheiss, gekauft"
"Nix abgeschoben....13jahre sind zwar zu wenig, aber für die Gitterstäbe bezahlen wir gerne.. Danach die Ratte entsorgten..!!","Nix, zu wenig, Gitterstäbe, Ratte, entsorgten"
Werden die Namen überführter Museldiebe auch sofort veröffentlicht ??? Wann wird unser Land geheilt von RotGrünenMuselmist !,"Museldiebe, RotGrünenMuselmist"
Jetzt wird Deutschland überschwemmt werden aber die Idioten wollten es ja nicht anders.,Idioten
"Wenn Merkel Klitschko feiert,wird es gefährlich. Die Sklavin Obamas feiert einen neuen Sklaven.","Sklavin, gefährlich"
Die Merkel hat Charakter.. Leider ist der scheisse! 😜👍,scheisse
Also wenn die Türken bei euch so kacke sind kann ich auch nix machen 😂,kacke
"Mannheim, Multikulti versiffte Stadt. Klein Istambul und Rumänen/ Bulgaren ☠🖕","versiffte, Istambul, Rumänen, Bulgaren"
Georg Restle treibt immer noch sein Unwesen gespickt mit Hetze u Fake News gegen die AFD in d ARD dieser Schweinejournalist gehört entsorgt,"Unwesen, Hetze, Fake News, Schweinejournalist, entsorgt"
Hallo Freunde „Absurdistan“ hat mich wieder. Gerade mit `nem Geschenk für Murksel aus PL zurück. Ein Kopftuch für die Zweitfrau des Sultans😜,"Absurdistan, Murksel, Zweitfrau"
die Quotenmusel in der Sharia Partei D. für was das auch immer steht der Blonde ist aber auch nicht ganz hell auf der Platte,"Quotenmusel, Sharia Partei, nicht ganz hell auf der Platte"
Gesicht???? Was für ein Gesicht. Der hat nicht einmal einen Hals. Bei uns heißt so etwas Wutzekopp.,"nicht einmal, Wutzekopp"
hören Sie ihren Gören zu ? verkehrte Welt.,Gören
Das wird nie aufhören...die fucking Gutmenschen würden ihr eigenes opfern um diesen Völkerwahn aufrechtzuerhalten,"fucking, Gutmenschen, Völkerwahn"
"Ist doch wahr, denn dieses dicke Etwas bekommt kaum zwei zusammenhängenden Sätze heraus und von sinnvoll rede ich garnicht erst 😜","dicke, Etwas, kaum, garnicht"
Das darf man bei den Grünen Kinderfi....n nicht so eng sehen! 😎,Kinderfi....n
Quatsch! Das ist die deutschfeindliche Schuld von ihnen und ihrer Kanzlerin des Grauens!,"Quatsch, deutschfeindliche, Schuld, Grauen"
Jakarta nur Drecks Islamisten !!! sie wollen Christen verfolgen ....!!!,"Drecks, Islamisten, verfolgen"
"Frauen u Christen bekommen Extraunterkünfte, um sie vor den #Asylanten zu schützen.U wer schützt die Deutschen wenn die rausgekommen?",#Asylanten
"Da diese Meldung von den Vasallen Merkels kommt, würde ich sagen das diese Meldung der Tagesschau gelogen ist!! Lügenpresse und Lügen Medien","Vasallen, gelogen, Lügenpresse, Lügen Medien"
Wer so redet gehört sich Verdroschen,Verdroschen
"Ach ja stimmt, Eure bekloppte Religion...",bekloppte
"Obergrenze 😂😂😂 Hoffentlich haben es die Bayern endlich begriffen, dass man ihren 'Eierlosen' und seinen Haufen lieber nicht gewählt hätte 😜","Eierlosen, Haufen"
Welch ein Schwachsinn - überlegt die Wahlergebnisse obwohl sie äußerst selten eine Bühne bekommen ihr Träumer,"Schwachsinn, Träumer"
Du meinst zwitter und zwitter ist kein Geschlecht sondern eine Behinderung die man von geburt aus leider hat,"Behinderung, leider"
Das Video ist gesperrt - aus urheberrechtlichen Gründen - durch die Lügenpresse.,Lügenpresse
Bin 1947 geboren und habe mit diesem ganzen Scheiß nichts am Hut! Basta!,Scheiß
"Der ist nicht die hellste Kerze. Wer behaupte, daß die Türken Deutschland aufgebaut haben den kann ich nicht für voll nehmen.","nicht die hellste Kerze, Türken, für voll nehmen"
Jetzt warte ich nur noch darauf bis sich der Grüne Anal Ritter Volker Beck zu Wort meldet. Aber der Pudert sich gerade die Nase. :-),Anal Ritter
Todenhöfer ist ein verlogener linker Islamlobbyist. Leider sehr einflussreich,"verlogener, linker, Islamlobbyist"
"Habe einige Male für ihn dolmetschen müssen - frag` mich besser nicht. Und wenn er Merkel sieht, kriegt er `nen Stän*** 😜","besser nicht, Stän***"
Die deutsche Lügenpresse und Nazi Medien sind nur noch zum kotzen 🤢 schlimmer als Göbbels eben alle samt Vasallen Merkels!!,"Lügenpresse, Nazi, kotzen, schlimmer als Göbbels, Vasallen"
Der Wechsel auf neue Modelle lässt die alten Diesel nicht. verschwinden. Das ist ein saudummer Vorschlag. Die Schiffe. versauen die Luft mehr,"saudummer, versauen"
"Behörden WARTEN auf mehrere Morde, von diesem Abschaum!",Abschaum
Das haben wir dem kleinen Wicht zu verdanken...😃,Wicht
Martin Schulz ist 2x sitzen geblieben und hat keinen Schulabschluss.. Wie kann denn so ein Nulltipper als Kanzlerkandidat aufgestellt werden?,Nulltipper
Sry aber Preetz hat nicht viel beizutragen. Er MUSS der Politik in den Hintern kriechen damit sein Verein Zuschauer ins Stadion bekommt. Er ist abhängig von der Politik.,"nicht viel beizutragen, muss, Hintern kriechen, abhängig"
Es wäre sehr sinnvoll die Aktionen und Verflechtungen der Linken Antifantenbrut zu prüfen und zu Dokumentieren,Antifantenbrut
"Die Laien-Ministerin kann zwar nicht mehr ""werfen"", aber sie erzeugt bei. mir Geilheit: ""den Umschalter zu nutzen.""","Laien-Ministerin, Geilheit"
Wahrscheinlich...wenn ich alt und gebrechlich...an welchen sich Feiglinge gerne zu schaffen machen.... Aber noch bin ich nicht soweit....ist nicht der erste den ich verprügle...,"gebrechlich, Feiglinge, verprügle"
Die einzigen Nazis dir mir auffallen sind die öffentlich-rechtlichen mit ihrer Hetzpropaganda  gegen Trump und morgen sind es dann die Juden,"Nazis, Hetzpropaganda"
"Die Masse versteht das nicht, sie sind so dumm gehalten das annähernd jede Hilfe zu spät kommt",dumm gehalten
Oje Lindner....die gleiche Pfeife wie einst Westerwelle..!!,Pfeife
Die.linken können tun was sie wollen dieses pack,pack
Die einzige Frage ist: Lassen sich die #Österreicher wieder von der #Kern-#Kurz-affinen #MSM-#Lügenbande verarschen oder nicht?,"Lügenbande, verarschen"
"Eine zusätzliche Folge der islamischen Masseneinwanderung, gesteuert von Merkel und den Grünen Dummköpfen!","islamischen, Masseneinwanderung, Dummköpfen"
"Hahaha vllt gönn ich mir das ma. Aber diese asiaten sind einfach freaks, das is nich menschlich","asiaten, freaks, nich menschlich"
Ich lach mich kaputt Truppenuschi soll es richten.,Truppenuschi
"Ihr Grünen-Würstel, haltet Euch raus aus Dingen, von denen Ihr. nichts versteht. Geht Fahrräder putzen, anstatt über die Nato. zu reden.","Grünen-Würstel, nichts versteht, Fahrräder putzen"
"FDP..bisher immer unbedeutend, wirklichen Schaden konnten sie nie anrichten..bis jetzt.. Lindner?.noch eine größere Pfeife als Westerwelle..!","unbedeutend, Schaden, größere Pfeife"
"Seit wenigen Stunden zurück in Deutschland, was für eine lächerliche, manipulierte und verlogene Parteienlandschaft um Murksels Thron.","lächerliche, manipulierte, verlogene, Murksels"
"Lieber bezahlter Diener Putins, als Speichellecker einer korrumpierten deutschen Politik 😜","bezahlter Diener, Speichellecker, korrumpierten"
"Keine Unterhaltung, liebe Poetin, eher billige Wahlwerbung, weich klopfen der Wahlschafshirne 😜","billige, Wahlwerbung, Wahlschafshirne"
"Grüner Scheiss ,wer sitzt hat keine Rechte mehr!",Scheiss
Danke für die billigen Phrasen.Zum Kotzen!,"billigen, Kotzen"
"Sie können gelassen auf jeden Polit-Idioten warten, der auch einen Krieg nur in Erwägung zieht 😜",Polit-Idioten
"Diese Migrantenkrieg der Schmarotzer gegen Deutschland, ist schon in Vorbereitung!","Migrantenkrieg, Schmarotzer"
"Frau Kerestan hat frisch und gut argumentiert. Herr Weinberg ist ein Betonkopf, der nur rückwärtsgewandt zu blicken scheint.","Betonkopf, rückwärtsgewandt"
"Trump - sprich Tramp. Wenn die Laien-Ministerin über Trump labert,. bleibt mir nur : Lass den Trampel quaken. Zu mehr taugt sie nicht.","labert, Trampel, quaken, taugt sie nicht"
Der Auftritt der AfD ist richtig gut....absolut verständliche nachvollziehbare Politik..... Es wird Zeit die Sesselschnarcher abzuservieren ...!,"Sesselschnarcher, abzuservieren"
Von wegen übertriebener Polizeigewalt. Die Polizei muss in Zukunft viel härter vorgehen. Aus Maul hauen und dann verhaften.,"übertriebener, härter, Aus Maul hauen"
Die öffentlich-rechtlichen sind Merkels Vasallen und unterstehen der Zensur Merkels!! Die Lügenpresse ebenfalls so wie SAT1 und RTL,"Vasallen, Zensur, Lügenpresse"
So ein Mist....die Unfähigsten aller zusammen bekleiden egal welche Ministerien...blödes dummes Deutschland was hast du nur angestellt...😡😡,"Mist, Unfähigsten, blödes, dummes"
"JETZT REDET DER PFAFFE ,, Im LARVE''","PFAFFE, LARVE"
In einer nicht #PoliticalCorrectness-geistesgestörten Welt würden sie dem #Invasoren-#Abschaum die Scheiße aus dem Hirn prügeln,"geistesgestörten, Invasoren, Abschaum, Scheiße, prügeln"
"Das Pflaster müsste über sein dummes Maul reichen,😷",dummes Maul
Und wieder wird mit einem #falseflag (giftgaseinsatz) ein Terrorakt gegen Syrien durch USA gestartet.. Bei dem Wahnsinnigen Trump droht WW3,"Terrorakt, Wahnsinnigen, droht"
#HETZERIN 💩@USER_0💩 ⛔ #GEBLOCKT ! ⛔ WEG ist diese KRANKE deutschen - feindliche Person ! ⚠,"HETZERIN, KRANKE, deutschen-feindliche"
Was erwarten Sie von Rothschild Sklaven die ihre Seele dem Satan verkauf haben!,"Sklaven, Satan"
viel gefährlicher ist Oberdummzicke Sheitan Chebli,Oberdummzicke
Was bist Du denn für ne Göre?,Göre
"Jeder der mit Gabriel und Steinmeier paktiert hat bei mir verschissen. SPD - SCHMAROTZER, PÄDOPHILE UND DENUNZIANTEN !!!","verschissen, SCHMAROTZER, PÄDOPHILE, DENUNZIANTEN"
"Mit ihr euch meine ich diese ganzen intoleranten voll mit hasserfüllten versagern .. ich will mich nicht nach euren wünschen und Vorstellungen integrieren , punkt aus !","intoleranten, hasserfüllten, versagern"
"Schon mal Gesehen. Asiaten sind brutal, gewissenlos, gottlos.","brutal, gewissenlos, gottlos"
"Juhu, der Bayer ohne Eier will wieder einmal alles nach der Wahl richten 😂😂😂 ich pinkel mir vor Lachen gleich ein 😂😂😂",ohne Eier
"Oder man ist so blöde und dumm wie du und nutzt keine Infos und jetzt such den Grammatikfehle,such,fein machst du das,such,feiner Linker","blöde, dumm"
Dieser Hank ist wirklich ein Honk.,Honk
haha sucht man schon Ausreden für die völlig Dumme Berichterstattung der letzten Wochen...?,Dumme
"Huuuuuuuuuu, geht doch, Murksel entglitten in Washington sämtliche Gesichtszüge. Sogar ihre 'Mäulchenfalten' verschwanden 😂😂😂","Murksel, entglitten, Mäulchenfalten"
"Trump ist nicht eingeknickt und schon gar nicht vor diesen dummen Politikern, Lügenpresse und Nazimedien in Deutschland!!","dummen, Lügenpresse, Nazimedien"
Dummes Geschwätz. Er sitzt alle Dumnscheätzer aus. Zu Recht,"Dummes, Geschwätz, Dumnscheätzer"
Wo werden diese Clowns nur gezüchtet und wie entsteht solch eine Gesinnung ...?,"Clowns, gezüchtet"
@USER_0de @USER_0 Bald seid ihr alle hier Entsorgt!,Entsorgt
"Ja @USER_0? Pst, auch für dich nochmals, die Grenzen waren seit dem Schengen Abkommen offen, also was willst du bezwecken mit Staatsgrenzen schützen Gebrabbel?","Pst, Gebrabbel"
100% der AfD scheißt auf die Menschenrechte,scheißt
Heiko Maas ist furchtbar. Sein gelabber sollte unter Strafe stehen. #berichtAUSberlin,"furchtbar, gelabber"
Ich kann diesen Bullshit nicht mehr hören...die dummen 🇩🇪haben sich entschieden.... Die sollen weiterhin in ihrer Scheißprovinz bleiben,"Bullshit, dummen, Scheißprovinz"
@USER_1: @USER_2 @USER_0 Was für ein dummer Tweet!. Von diesen Typen kritisiert werden ist eine Ehre!. Die Rotfaschisten zittern!,"dummer, Rotfaschisten"
"Naja,zu Lauterbach,ich kenne viele Leute die es besser machen würden und zum Dummerchen Thomalla , Merkel ist der Skandal, Watt für IRRE!","Dummerchen, Skandal, IRRE"
@USER_0_Hoffenheim @USER_0 Mit besseren Kommentatoren Pinkeln gehen aber das Urinal nicht treffen,"Pinkeln, das Urinal nicht treffen"
Düsseldorf ist nicht die einzige dumme Stadt...und mit dem Messerstecher habe ich mehr Mitleid als mit dem Möchtegernbürgermeister...!!,"dumme, Messerstecher, Möchtegernbürgermeister"
Das ist die Folge wenn Schwachmaten wie Laschet und Konsorten Politik machen! 😨 👎,"Schwachmaten, Konsorten"
"Diese ganze #metoo Kampagne einfach zum kotzen. Wie viele Männer werden von Frauen unterdrückt, misshandelt und missbraucht. Darüber spricht Mann nicht, aus Scham.","kotzen, unterdrückt, misshandelt, missbraucht, Scham"
Öffentlich-rechtlichen Nazi Medien und Merkel Vasallen setzten ihre Hetzkampagne gegen den Präsidenten der Vereinigten Staaten fort!!,"Nazi, Vasallen, Hetzkampagne"
Irgendwie beruhigend das es woanders noch schwachsinnigere Politik gibt als bei den deutschen...,schwachsinnigere
"In Polen sagte man mir heute, da erhielt doch ein Arschloch einen Preis dafür, weil er sein Heimatland Polen in Brüssel verklagen wollte 💩🤢",Arschloch
"Es ist unglaublich dieses Politische Pack posaunt in die Welt hinaus es können 220.000 plus die, d zusätzlich kommen in unser Land strömen","unglaublich, Pack"
#Kinderfickerpartei hat im Bundestag nichts verloren,Kinderfickerpartei
"Die Anzahl der dreckigen Bastarde in diese Politverblödungsshows wäre bei 100%, wenn nicht hin und wieder jemand von der AFD dazu käme.","dreckigen, Bastarde, Politverblödungsshows"
Weil er eine linke Bazille ist....😃,"linke, Bazille"
So sind sie halt unsere Politschmarotzer....Lindner allerdings eine noch größere Pfeife als Westerwelle..,"Politschmarotzer, Pfeife"
"Prostituierte kann sich nicht mal ein Hartz IV leisten, Asylanten sucht euch Wichsvorlagen in Pornos!","Prostituierte, Hartz IV, Asylanten, Wichsvorlagen, Pornos"
"So tief sind wir gesunken! Ein Merkel-Speichellecker mit dem IQ einer gewissen Fatima Roth, eine Null (außer im Tonnengewicht) als Finanzminister!","gesunken, Speichellecker, Null, Tonnengewicht"
schlimmer sind jene Fanatiker die Islamisten hofieren. Jung als Nazi zu bezeichnen ist unendlich dumm!!,"schlimmer, Fanatiker, Nazi, unendlich dumm"
Der Papst würde auch den Arsch des Teufels küssen wenn es ihm nützt,"Arsch, Teufels"
"Alternative: Frauen bekommen von alleine ihren Hintern hoch und geben nicht immerzu Männern die Schuld, wenn ihnen irgendetwas nicht passt.","Hintern, Schuld, immerzu"
So dumm wie Gutmenschen halt sind!,"dumm, Gutmenschen"
"Ich kann diese Hackfresse Lanz nicht mehr sehen, noch weniger hören.",Hackfresse
Die Welt von #Maas und #Merkel. Im Internet gibt’s Sperrung wenn nicht Staatsmeinung vertreten wird. In Hamburg gibts Schläge auf den Kopf,"Sperrung, Schläge auf den Kopf"
Auf die Bewährung schei.......ss ich!,schei.......ss
Ich finde er ist einfach ein unlustiger Spasst,"unlustiger, Spasst"
"Zum Mitschreiben für die roten Ignoranten: Eine doppelte Staats-. bürgerschaft liegt vor, wenn - ja, jetzt wird es spannend. Was ist doppelt?",Ignoranten
Laßt doch verdammt noch mal das NS Regime aus dem Spiel. Es war damals viel besser für das Volk als ihr euch vorstelle,"verdammt, NS Regime"
"Dieses 'Propaganda-TV' ist nicht mehr mit anzusehen 🤢 Hoffentlich tritt Trump den politisch Verantwortlichen gehörig in den Arsch, Murksel!","Propaganda-TV, nicht mehr mit anzusehen, tritt in den Arsch, Murksel"
da ist sie ja wieder die Moderatorin der @USER_0 mit der alten schwarzen Schmodder Hose und den fettigen Haaren #WDR,"alte, schwarzen, Schmodder, fettigen"
Ich schäme mich in solchem Verbrecherstaat mit deutschfeindlichen Ganoven-Richtern und korrupten Politikern zu leben!,"schäme, Verbrecherstaat, deutschfeindlichen, Ganoven-Richtern, korrupten Politikern"
"Netanjahu wirft Gabriel Instinktlosigkeit vor. Tatsächlich ist Gabriel. ein völliger Versager, der einen Abgeschobenenposten bekleidet.","Instinktlosigkeit, völliger Versager, Abgeschobenenposten"
Ja die schauen auch abgemagert aus...speziell das fette Altmaier-Etwas....,"abgemagert, fette, Etwas"
"Die Zeit ist überreif für dass große Ausmisten in Politik, Justiz u Medien dieses ganze Rot Grün versiffte Parteibuch Pack zum Teufel jagen","überreif, Ausmisten, versiffte, Pack, zum Teufel jagen"
Frau #Böttinger meine Meinung dazu ist sie sollten uns mit ihrem Pferdegebiss nicht weiter belästigen #WDR,"Pferdegebiss, belästigen"
Kein Land möchte diese Schmarotzer haben. In Deutschland leben sie wie im Paradies und beschweren sich noch. Haut endlich ab und belastet nicht länger unser Sozialsystem.,"Schmarotzer, beschweren sich, ab, belastet"
"Das sind doch überwiegend junge Männer, die uns überrennen wollen.. Die illegalen Invasoren brauchen Arbeit - in Arbeitslagern - fair.","überrennen, illegalen, Invasoren, Arbeitslagern"
"Stattdessen sollte man das gesamte Führungspack der SPD wegsperren. SPD - Schmarotzer, Pädophile und Drnunzianten","wegesperren, Schmarotzer, Pädophile, Drnunzianten"
"An Merkel, Gauck, Flintenuschi &amp; Co: 'Wer Krieg predigt, ist des Teufels Feldprediger' (altes Deutsches Sprichwort) 😜","Teufel, Teufels Feldprediger"
"Du weißt, dass du #geistesgestört bist, wenn deine größte Sorge ist von #linken Clowns '#Rassist' od. '#islamophob' genannt zu werden","geistesgestört, linken Clowns, Rassist, islamophob"
ist eine Körperverletzung! Sorry diese Frau ist einfach Dumm!,"Körperverletzung, Dumm"
für derart strunzdumme Menschen die ihre Gesundheit bei Wetten Dass ruinieren sollte die Öffentlichkeit keinesfalls aufkommen #hartaberfair,"strunzdumme, ruinieren"
"Genderisten mit ihren eigenen Waffen zu schlagen ist einfach und spaßig. Sagt einfach, Ihr identifiziert Euch als schwarze lesbischer Transe","Genderisten, schwarze lesbischer Transe"
sehr gefährlich wenn Regenbogenhirne intoleranten Kriminellen die Grenzen öffnen!! Die schlimmste Gewaltwelle erleben aus dieser Richtung.,"sehr gefährlich, intoleranten, Kriminellen, schlimmste, Gewaltwelle"
Politiker von CDU CSU SPD sind eine große Gefahr für unser Land sie Posaunen in die Welt das DE 220.000 Invasoren aufnimmt + Familiennachzug,"Gefahr, Invasoren"
Eben ein Beisp. mehr für die kranken Hirne von Politikern. Dieser geistige Schwachsinn auch unserer Politiker wird sich leider bitter rächen,"kranken, Hirne, geistige, Schwachsinn, bitter, rächen"
jedes Tier erlöst man ungefragt von seinem Leid. Mündige Menschen lässt man elendig verrecken.,"ungefragt, Leid, elendig, verrecken"
"Kern, pinkle dem Herrn Kurz nicht ans Bein. Du bist. abgewählt und unerwünscht. Also, halt´s Maul.","pinkle, abgewählt, unerwünscht, halt´s Maul"
Was ist dieser tarek leitner nur für ein fehlgeleiteter hurensohn? #orf #konfrontationen,"fehlgeleiteter, hurensohn"
"Widerlich, dieser Schmidt. Ohne Rücksicht auf die Bienen. Dieses. Stück Gewissenlosigkeit muss abgewählt und davongejagt werden.","Widerlich, Stück Gewissenlosigkeit, abgewählt, davongejagt"
Währen es Türken die Flughäfen und Parteizentralen besetzen währe die Empörung groß! Ihr Heuchler,Heuchler
ES WIRD SICH NIEMALS WAS ÄNDERN ;AUF DIESER wELT ;WENN NICHT DIE ELITÄREN AUSGELÖSCHT WERDEN !!! Die uns nur versklaven !!!,"niemals, ausgerlöscht, versklaven"
"Insgesamt sitzen da nur dumme Leute. angefangen beim Moderator, der ist noch dümmer. Der muss stehen","dumme, dümmer"
Merkels Vasallen melden sich zu Wort!. Herr Gersemann ist ein Vasall Merkels und seine Kommentare werden von Merkel vorgegeben!!!,"Vasallen, Vasall"
"Und da ich kein kleines Mädchen bin, so wie Du offenbar, kann ich eine solche Meinung ab.","kleines Mädchen, Du offenbar"
Ralle du alter Mülleimer lebst ja immer noch...dachte das zeitliche hat dich gesegnet.... Bist halt eine zähe Unkrautwurzel,"alter, Mülleimer, gesegnet, zähe, Unkrautwurzel"
"Mir reicht, dass ich diesen Feigling aus Rostock 1989/90 kenne. Er wurde ins 'Licht' geschoben, dieser Gauckler 😜","Feigling, Gauckler"
Ich möchte ihn mal..für ne kurze Zeit....aber dieser Bayer ist wirklich ein Waschlappen,Waschlappen
In Kindergärten neben den Kindern? wäre ja noch schöner. Zittern soll dieses Asylantenpack in Zelten abseits der Zivilisation,"Asylantenpack, Zittern, abseits der Zivilisation"
"Solange bei Politikern der Dünnschiss aus der Fresse kommt, wird sich nichts ändern. Es stinkt weiter !!!","Dünnschiss, Fresse, stinkt"
Ich kann diese scheisse mit diesen drecksmigranten einfach nicht mehr ertragen....wenn ich nur schon kanacken sehen wird gruselig....verfluchte Scheisser ..!,"scheisse, drecksmigranten, kanacken, verfluchte Scheisser"
Merkels Dumm -Deutschen kann man alles erzählen!!,Dumm -Deutschen
Nazi Lügenpresse und Merkel Vasallen hetzen weiter gegen Trump!!,"Nazi, Lügenpresse, Vasallen, hetzen"
Verhaftungen von Vergewaltigern als Erfolg zu verkaufen ist das Aufmerksamkeitswinseln einer armseligen Behörde. #Polizei #Köln #Rapefugees,"Vergewaltigern, Aufmerksamkeitswinseln, armseligen, Rapefugees"
"Abgefuckte Hühnerscheisse. Aber klar, dass jemand aus der Scheinheiligsten Partei Deutschlands so denkt. SPD - SCHMAROTZER, PÄDOPHILE und DENUNZIANTEN.. Wer hat uns verraten....","Abgefuckte, Hühnerscheisse, Scheinheiligsten, SCHMAROTZER, PÄDOPHILE, DENUNZIANTEN"
Der Ablauf in der von Merkels Vasallen geführten Sendung wurde von Merkel vorgegeben und die Fragen auch! Wessen Brot ich esse dessen Lied.,Merkels Vasallen
Hat dem Depperten Heiko Maas eigentlich schon mal jemand gesagt das er und sein Schranzenverein keinerlei Legitimation hat !?!?,"Depperten, Schranzenverein"
Was für ein beschissenes Jahr. KANNSTE LAUT SAGEN!,beschissenes
"Lieber von einem Scheinheiligen Heuchler als Nazi oder Pack tituliert werden, als diese SCHMAROTZER der abgefuckten SPD zu wählen.","Scheinheiligen, Heuchler, Nazi, Pack, SCHMAROTZER, abgefuckten"
