Sentence,Negative Connotations
هو كدا عرف يربي فعلا شراميط اخر زمن,شراميط
تبغى تعيش في إسرائيل روح انقلع الله يلعن أمك,"انقلع, يلعن"
هيا شوف بنفس الوقت اللي كهرمان قال لسنجار مابغا القصر الهطف ناره سلمت القصر لابوها الا لعنة الله عليكم,"الهطف, لعنة الله"
احذفيه لا ادعس على وجهك,ادعس
تركتني عشاني قلتلها انتي دبه بمزح!!,دبه
الي متي سيظل العالم صامت على إجرام قردوغان في ليبيا,"إجرام, قردوغان"
ع أساس هؤلاء ولدوا كفار!! هؤلاء صار لهم مسلمين منذ مئات السنين يا بطبوط,"كفار,بطبوط"
ليفا ممكن بس ايمبابي؟؟😂😂 عشان سجل هاتريك في برشلونة وكم هدف في هبايل فرنسا!,هبايل
اجل النجار يسجل علينا الله يلعن امك فريق,يلعن امك
يا بقرة واحنا فين رحنا؟,بقرة
أجل، لكن هذا الضراط جون أذكى منك بكثير,الضراط
ومع ذلك، أعتقد أن هذا هو هوية غبية .,غبية
ازاي دي مش فاولل يلعن ابوك حكم بقى دي عالخط,يلعن ابوك
شفت كيف انك متخلف وقاعد تبرر لمغتصب؟,"متخلف,مغتصب"
حبيبي ،،، الله حسيبك ... اذا باعوا ارضهم كان هم اغنى اغنياء العالم يا متخلف ... ايش يج…,متخلف
ههههههه كول هوا وزحط من هون,"كول هوا,زحط"
ههههه ٧٠سنه والاموال والتسليح يرسل لحكومة فلس وياسر عرفات يرفض اي صلح لحتى ماقال له حسني مبارك وقع يا…,"يرسل لحكومة فلس, يرفض اي صلح"
انتبهي ل كلامك حبيبي لا اجي ادعسك انا,ادعسك
بعض الأغبياء لم يعودوا يؤمنون بالسيادة الوطنية,الأغبياء
ترامب هو كومة قمامة.,كومة قمامة
احمد ربك انا اصحى من النوم المطر يخلص الله يلعنك 💔,يلعنك
جالس انتظر بلوبي لي ٤ دقايق احتري الناس يدخلون عشان يبدا الماتش ، اخر واحد دخل كان هاك ومعطيه بلوك :) ، يلعن امك من…,يلعن
مع الاسف حتى كتلنا السياسيه مسترخصه دماء العراقيين حتى مع الارهابيين مساومات لعنة الله عليكم,"الاسف, مسترخصه, دماء, الارهابيين, لعنة"
اقول لا تحتك بالاصفر الكبير الاتحاد لوحدة كبير والبقية جنبه اقزام,اقزام
حسنا، تبا، إقضي عليهم إذا.,"تبا, إقضي"
شهالروج اللي داهنه فيه براطمها استغفرالله بس زيديه ماعليها شرهه,"استغفرالله, ماعليها شرهه"
كلكم شراميط بس على مستويات,شراميط
فقط الكنائس تعطي حماقة على ما يبدو.,حماقة
ياعم كس أمك هو إنت ما تعرفش اننا بعتنا زيارات و عاملين جسر جوى و فى مستشفى ميدانى اتعمل يلعن ميتين أمك إبن شرموطة,"كس أمك, يلعن ميتين أمك, إبن شرموطة"
تقتلوا القتيل وتمشوا بجنازته عليكم لعنة الله,"تقتلوا, لعنة"
وماذا قدم في مشوار البطولة يا عبقرينوا سوي مباراة واحده كانت هزيمة وحيدة يا جحش ؟ ولكني ساحترمك,جحش
هذا أطول مني ب ٤٦ سنتمتر وأنا أشوف اللي أقصر مني ب ١٠ سنتمتر قزم أجل هذا وش يشوفني🙄,قزم
ليس هجومًا شخصيًا، أنت معتوه حساس.,معتوه
قزم وانتهى النقااش معك الى الأبد,قزم
خلصوا الناس مالقيت الا فلسطيزي تتناقش معه 🤔,فلسطيزي
قطر سحبت مليارين غصب عن خشم بلحه,"غصب, خشم بلحه"
جاء رجل الى حكيم ساله كيف اصبح غنيا؟ فكان رد الحكيم ان رماه بجزمة سكتشر وقال الله يلعن ابوك انا لو اعرف كان ماصرت,"رماه, الله يلعن ابوك"
فصلوا الكهرباء عن باقي البلد و جيبوا لبيروت كهرباء هل فترة يا عرصات يا منايك يا شراميط يا عاهات,"عرصات,منايك,شراميط,عاهات"
انا اقدر اقول انك لحجية,لحجية
إذا جاء أي من الأطفال الذين لا يحترمون الديمقراطية، فسيكون ذلك هجرة غبية,غبية
إنا نواجه في الدنيا موجة من سائقين عدوانيين جاهلين جاهلين.,"عدوانيين,جاهلين"
كان هاربر عظيم مقارنة مع هذا المهرج.,المهرج
عد إلى هنا يا كسول ياشيوعي!,"كسول,شيوعي"
هو الاسماعيلى ده فريق متخلف يعنى ولا ايه يعنى ماهو عادى لو المصرى راح الماتش وعداكم كلكم ما تولعوا يعنى ماهو خايف ع…,"متخلف, ما تولعوا"
اعوذ بالله من قناه العربيه والقائمون عليها يريدون ان يظهروا الناس كلهم كفار كماهو حالهم,كفار
لا يهمني قواعدك اللعينة .,اللعينة
وهو قطعة قمامة عديمة القيمة ينبغي أن يزال من منصبه في أقرب وقت ممكن.,"قطعة قمامة,عديمة القيمة"
تدخل تبغي تشوف كلام الناس وكيف بكو من الفرحه والمواقف تشوف فواتير وشحاذه ونصب الا لعنة الله عليكم,"شحاذه, نصب, لعنة"
ببساطة، الأشخاص مثلك يعتبرون من الحيوانات .,الحيوانات
الناخبون الأغبياء حقا هنا كيف يمكن تفسير جاستن ترودو على أنه رئيس وزراء ؟,الأغبياء
اسمه إرهابي الكره المصريه يا شراميط,"إرهابي,شراميط"
هذا السلام اللي تتكلمون عنه ؟ لعنة الله عليكم يا خونة,"لعنة,خونة"
لست بحاجة إلى إيذاء عائلاتهم أكثر من ذلك من خلال نشر تعليقات حكمية جاهلة.,"إيذاء,جاهلة"
سويت لاختي بطاقت تخرج وتعبت عليها وبالاخير قالت لحجيه م ابيها وراحت تسوي لنفسها اوكي حبي الله ياخدك😢😢💓💓,الله ياخدك
مش ملاحظة انك صايره دبه مره,دبه
هذا واحد قليل بحقه الحذاء,"قليل,الحذاء"
مدرب غبي وسط سيئ ودفاع شوارع,"غبي, سيئ, شوارع"
انها وعاء من الروث، وأنت تعرف ذلك .,الروث
ليه انت ما عندك حمام؟ او بعدك بتعملها تحت الشجرة وبتمسح بالحجرة؟! لما قلت عنك غبي عنجد ما غل…,غبي
انا ليش احب الاتحاد قد كذا يلعن ابوك فريق,يلعن
بس مش كل البنات شراميط زيها كدا,شراميط
ستيفن كوك لة بصيرة ورؤية ثاقبة في الشرق الأوسط علشانة لايطيق قردوغان 😂,"لايطيق,قردوغان"
أنت تعلم جيداً أنني لم أفعل عمل جاك اللعين .,اللعين
روح كس اختك لا ترجع مرة تانية,كس
قبل أن يتحدث أي منكم مخانيث معارضي حقوق السلاح.,مخانيث
السيسى خطط البحر المتوسط بالكامل علشان يوقف قردوغان على حدوده,يقف
بس ملزم بكل اتفاقيات قردوغان,قردوغان
شوفي لا تخليني ادعسك الحين,ادعسك
لورين، عملية تفكيرك سخيفة.,سخيفة
ما ترجع لو كنت مارق من صوب البور مش كان احسن,"مارق, البور"
نحن نلحق الضرر بجميع طبقات مياهنا الجوفية، يا حمقى.,"ضرر,حمقى"
ان الثورة تولد من رحم الأحزان يا منايك,منايك
استمتع بكونك جبانا على ما أظن,جبانا
تدعمون الحوثي في الخفاء وتدينون في العلن لعنة الله عليكم أين ذهبت مضادت الصواريخ الخاصة بكم إن كنتم…,"لعنة, مضادت الصواريخ"
إنه يعمل مع روسيا للقضاء على أمريكا والمهرجين مثلك جاهلين جدا ليلاحظوا ذلك,"القضاء, المهرجين, جاهلين"
انون حدك على لين انكتمي لا اقتلك,"انكتمي, اقتلك"
والواحد بعترض ليه وهو مبسوط من شراميط عيلته,شراميط
انا حرفيا بكيت لمن قالت لي رفيف سالفتها طيب دموعي راحت على الفاضي يلعن ابوك مايضحك انك تاخذين,يلعن
جزاك الله خير ي اخونجي بريده,اخونجي
انت احول فريقك داج ..بلاش مجامله وتطبيل على الحكم,"احول, داج, مجامله, تطبيل"
دوري هبايل ثالث هدافين الابطال التاريخي وش يتميز عنه لوكاكو,هبايل
لعنة الله عليكم، تعتبروننا محتلين، و ترذدوننا ان نحارب من اجل حريتكم؟ ازيدك من البيت شعرا يا غدار,"لعنة, محتلين, ترذدوننا, غدار"
الفقراء هم أغبياء مقرفين لا يستحقون الرعاية الصحية أبداً، أليس كذلك؟,"أغبياء, مقرفين, لا يستحقون"
ياخوك نمزح بس انت لحجي,لحجي
ابتلشنه كل ساقط ولاقط قام يفتي ويتكلم عن المجتمع وعن الناس اذا بيئتك وصخه لاتعمم على الناس,"ساقط,لاقط,وصخه"
ولماذا بحق الجحيم أي شخص يريد أن يستمع إلى هذا الهذيان ؟,"بحق الجحيم, الهذيان"
عالا فكرا خوش كيدا عالا ماوقيع الوزاره ، ، فيه حاقا تهيماك صاخصيا ايا وزارا ؟ ال خارقيا يا حمار,حمار
أنا أمريكي قوقازي، وهؤلاء الأغبياء ذوي الرؤوس المدببة الذين يواجهون تحديات معرفية لا يمثلونني بأي حال من الأحوال.,"الأغبياء, ذوي الرؤوس المدببة, تحديات معرفية"
يلعن امك انت وشعرك يارب حضور,يلعن
ياربي دخلك ؟ كس اختك واخت هيك ثورة,"كس اختك, هيك"
في كثير من الأحيان يريدون فقط أن يثبتوا أفعالهم الغبية,الغبية
ربما تحتاج مؤخرتك المفتوحة الى أن تهدأ بعض الوقت,مؤخرتك المفتوحة
هذا ما يحدث عندما يرسل الحمقى صبيا ليقوم بعمل الرجال,الحمقى
كلهم اولاد قحبه تكالبو على فلسطين والاسلام بشكل خاص,اولاد قحبه
ما شاء الله كل دول شراميط,شراميط
فقط الناس الأغبياء سيعتقدون ذلك,الأغبياء
أريدكم جميعاً لنفسي، أيتها العاهرة.,العاهرة
حان الوقت لهؤلاء المهرجين للتقاعد.,مهرجين
يبدو أن قرار زوبيل لا يهم هذا الجاهل.,الجاهل
لا تعتب عليه هيدا اسمه ابو صرماي,أبو صرماي
مدرب غبي مو عارف يوظف اللاعبين,غبي
عنجد هيدا شارون هيدا جماعة شارون لعنة الله عليك يا مجرم يا ابن الحرام لعنة الله يارب تخسر أولادك,"لعنة, مجرم, ابن الحرام, تخسر أولادك"
وهل الشريف يسمع لكلام شراميط من هي اليسا,شراميط
هي كانت سليطة جدا على المنصة!,سليطة
أنت واحد مليء بالكراهية ياصديقي!,الكراهية
حوثيه و الاستايل بعد لحجي 🤢🤢,"حوثيه,لحجي"
أحقر جريدة شفتها بهذا الوجود,أحقر
والله يا استاذ صلاح انك تستنقص من مكانتك لما ترد على أمثال هذا الواضح من حسابه انه تكفيري ومشبوه,"تستنقص, تكفيري, مشبوه"
اللي يسب القصيم كمنطقه عشان هالبزارين ابن زنوه,"يسب, بزارين, ابن زنوه"
مش باقي خسارة، مش باقي حداد بقا، غضب الناس رح يفترسكم يا شراميط,"خسارة,حداد,غضب,يفترسكم,شراميط"
جونز هو مهرج متبجح يعتقد انه يمكن شراء أي شيء يريد، بما في ذلك الشعبية.,"مهرج,متبجح"
يحمار انت والحبتور كنتو مجتمعين في باريس قبل سنه في فندق الريتس ممكن تحكيلي كم دفعلك؟؟,يحمار
كسم يوفينتوس ياخي فريق كله شراميط,"كسم,شراميط"
كل صحباتي شراميط وما ينطاقون ابد مع ذلك احبهم,"شراميط,ينطاقون"
الله يلعن ابوك حكم اقسم بالله واضح الفاول جعلك تتمنى الموت ولا تشوفه,"يلعن, الموت"
يرجع نسبة للنبي محمد صلئ الله عليه وسلم من وين من اي اتجاه بلاش كذب يا اولاد الكلب,"كذب, اولاد الكلب"
السبب الوحيد لهذا الغباء هو أنها على أرضها الفيدرالية,الغباء
أوقفوا التغطية واجعلهم يتعفنون .,يتعفنون
عن جد عم تحكي يا وئام يا جحش صاير كمان خبير بالمتفجرات انت عن جد ضايع حقك حتا يلي متحالف معن ما عامليلك…,"جحش, ضايع"
إن أكثر الناس لا يكترثون بما يظن هؤلاء الأغبياء النرجسيون .,"الأغبياء,النرجسيون"
هذا الرجل غبي جداً.,غبي
مستحيه تقول انها دبه وتفطر بروست,دبه
أنا لله وإنا إليه راجعون ولا حولا ولا قوة الا بالله. زهرة شبابنا تقتل بدم بارد وبايدى اقزام كنا نحسبهم وطنيين!,"تقتل, بدم بارد, اقزام"
كيفيك يا زنجي — انت عارف كم الساعه هسا؟,زنجي
اللهم إنا نعوذ بك من الخبث و الخبائث ما بقى غير هالاشكال تملي علينا اوامرها لعنة الله عليكم,"الخبث,الخبائث,لعنة"
تعبت من أكاذيبك الخسيسة,"أكاذيبك, الخسيسة"
أنت غبيا بما فيه الكفاية لفهم الدعابة.,غبيا
لعنة الله عليكم دامك تنشرون الاخبار الكاذبه والرعب بين الناس,"لعنة, الكاذبه, الرعب"
بعيدا عن التنمر والتشمت لاكن شفت البيتموجي حق افنان وكانت دبة !! شلون تجي تتكلم ع الرشيقة هذاي😅,"التنمر,التشمت,دبة"
حقيقة انتي وامثالك قحاب لان مافيه احد يدافع عنها,قحاب
هو السلام بتاعكم خاص بالصهاينة فقط لعنة الله عليكم وعلى سلامكم,"لعنة,الصهاينة"
أنا متأكد من أن بعضهم متحيز سياسيًا، وبعضها يغطي مؤخرته ويتظاهر بأنه لا يوجد شيء خاطئ.,"متحيز,يغطي مؤخرته,لا يوجد شيء خاطئ"
ما استغربت لمن عرفت ان الي مسوي المقطع فلسطيزي لأن واضح فيه الحقد والحسد والدلاخة وبعده عن الدين وم…,"الحقد,الحسد,الدلاخة,بعده عن الدين"
الله يسعدك شوفي الواتس لا ادعسك,ادعسك
إنهم يحاولون أن يجعلوك تتغوط في بنطالك كل مرة تسمع أسمهم,تتغوط
اصلا غبي اذا يبقى بعد هاي الكارثة .,غبي
اقسم بالله الهلال ما عمره بيتعلم تطقطق عند المرمى يا قحاب,قحاب
هناك ثلاثة أنواع من الأكاذيب: الأكاذيب، الأكاذيب الملعونة، والإحصائيات.,"الأكاذيب, الملعونة"
وحده دبه .. تقول؛❗ شايله هم إذا تزوجت كيف أقول له أربعه شاورما؟ ههههههههههه ماشالت هم كيف تنحف 😂😂 صامله الدبه..,"دبه, شاورما, تنحف"
نحن لسنا أغبياء تماما، نحن نعلم أنها تعمل لدى سي إن إن.,أغبياء
اليوم شفت واحد حاط نفس قطوتي قلت له غيرها لا ادعسك سلامات انا مميزه لحد يحط نفس اسمي تعبت وانا ادور شي مميز,"ادعسك, تعبت"
لديك أيدي ميتة وباردة.,"ميتة,باردة"
#قردوغان شايف الخط اللي هناك ده ده الخط الاحمر اللي السيسى عملهولك قوم بص ماتخافش هو قال لو عديت مش لو بصيت 😂 😂😂…,قردوغان
يا إلهي، ناخبونا يصوتون لبعض الأغبياء,الأغبياء
شكرا أصدقاء تويتر جعلني ما انحرم منكم هديت نفسي اير بودس 😘,
لقم برشلونه فريق متخلف والله,متخلف
استمر بالبكاء أيها الوغد,الوغد
مبروك يلا والله عاش نيك ⁦ ❤ ️⁩,نيك
اقسم بالله م قلنا بسم الله يلعن امك نادي,"يلعن,امك"
لن أصرف دولارا واحدا في تلك بؤرة الجحيم العنصرية,"بؤرة,الجحيم,العنصرية"
نعم، ألعاب ليغو هي حروب النجوم .,
ابي وحده نتخيل احلى جو نييك نعيش قصه قريبه للواقع الحقيقي ابي وحده خبيره سيناريو بنعيش جو,نييك
ثورة شراميط وفاجرين وبنات بارات,"شراميط,فاجرين,بنات بارات"
قد تكون كارما مع هذا الحثالة.,حثالة
إنها تبدو في حالة خرائية,خرائية
لكن ليس بعض الناس، مثل هذا الأحمق الغني.,الأحمق
لو فعلت ما كنت لتنشر مثل هذه القمامة,القمامة
يسطا قول الحمدلله معاك دوري انا معايا شراميط و معيش 😂,شراميط
لحجي مين يلبس اخضر غير مدرس البدنية,لحجي
فقط أحمق، ويبدو أن العالم كله، سيأخذ استطلاع نيك نانوس على وجه القيمة.,أحمق
أنت متخلف في السياسية و لاتفقه شئ عنها .. السعودية والإمارات تحالفهم سياسيا وعسكريا ودبلوماسيا لاي…,"متخلف,لاتفقه"
سوا فحول او مخانيث الكل اذا شاف استانس 🔥,"فحول,مخانيث"
ولا عمرنا لعبنا معهم بدون المهازل هذه لعنة الله عليكم بس,"المهازل, لعنة, عليكم, بس"
حطيت نعى ليها ع الواتس دخلوا كل صحابى يقولولى انتى ازاى زعلانه عليها دى كافرة ملحدة و بتشتم فى ال…,"كافرة,ملحدة,بتشتم"
إقرأ كتاباً أيها المعادي للسامية !,المعادي للسامية
وانتم شو دخل أهلكم في الموضوع لعنة الله عليكم بتحشرو حالك في كل اشي,"لعنة الله عليكم, بتحشرو حالك في كل اشي"
ربما يجب على هؤلاء النساء أن يقمن بمسيراتهن في السعودية أو إيران حيث توجد مشكلات حقيقية لعينة ضد المرأة.,"مشكلات, لعينة"
بناته يرتدين ملابس سيئة، وتقييمات برنامجه التلفزيوني السابق سيئة، إلخ.,"سيئة, سيئة"
لعنة الله عليكم يامفبركين يعني الفرش مايحطوه الا للمساجد دون غيرها طيب ياخرنق وملحقات المساجد واذا قد...,"لعنة, مفبركين, ياخرنق"
الله يرد كيدهم في نححورهم أحفاد المجوس ويشغلهم بأنفسهم عن بلاد المسلمين…,أحفاد المجوس
انا لا أرى الخير هذه الايام، أرى حربا ضروس، لعنة الله عليكم يا صهاينة، يا أعداء الإنسانية.,"حربا,لعنة,صهاينة,أعداء"
كل قرار جديد ترفضونه و يصير غصب عنكم مو برضاكم ورفضكم اللي ما أحد درى عنه .. مجتمع متخلف,"غصب, متخلف"
خلعتك ضربة ع وترك الحساس تا فعت هالفوعة؟؟؟ ههههه الله يشفيك يا حمار يا زبالة,"حمار,زبالة"
خير ان شاءالله زوجك ريح يتزوج عليك وحده دبه 🤣🤣,دبه
شو بدي قول كس اختك,كس
ههههههه والليرة طاحت بسبب سياسات قردوغان,سياسات قردوغان
عواش اتخيل شكلك كذا دبه وحلوه😂,دبه
كمية مرض موجوده هنا لعنة الله عليكم تحطين ايات وتدعمين الفواحش ي بنت الكلب سرطان يفتق بأدمغتكم ا,"لعنة الله, الفواحش, بنت الكلب, سرطان, يفتق"
يا اخي البايرن يضغط عليك بكل لاعبينه حتى الأظهرة وواقفين عند منطقة جزائك. وانت يا غبي مصر تبدأ الهجمة بتمريرات قص…,غبي
اجل قحاب يكنسلون رحلتهم يقولون مطفر 🤣,"قحاب, مطفر"
بلد يسمح للمجوس الأيراني أن يقيم على ارضه هوى على خطر عظيم لأن هذه الفئة الضالة من المجوس اعداء الأسلام والمسلمين والعرب عمومًا,"المجوس,الفئة الضالة,اعداء"
القرف يخرج من المؤخرة.,القرف
يلعن ابوك كيف كذاب الكويت قدمت لهم دعم عن طريق الهلال الاحمر الكويتي,"يلعن,كذاب"
الكثير منهم حثالة ويجب أن يتم طردهم من المجتمع.,"حثالة,طرد"
سؤال بسيط كيف تقوله يلعن امك رغم انكم من نفس ام ؟,يلعن
كانت احتفلت معهم يا حكم الله يلعن امك,يلعن
شهالحكومه الى منطنشه الشعب عيزوا وهم يصرخون ما نبي مصاروه في بلدنا شهالقصه الى مالها نهايه,"منطنشه,يصرخون,ما نبي,مصاروه,مالها نهايه"
أتدرك أن هذا غبي، أليس كذلك؟,غبي
هذا المهرج غير قادر على التحكم ويجب أن يرحل.,"مهرج, غير قادر"
طلع كمان طارق المجذوب سارق البلد يا جماعة هودي بالشارع شراميط ولاد شراميط,"سارق, شراميط"
إنهم من نفس كومة الروث,روث
ياخي بدل عالأقل عشان تضيع وقت يلعن ابوك مدرب سباك,يلعن
مدامها سكتت عن الوزن معنتها دبه,دبه
يبدو أن هذه الفكرة جاهلة وسخيفة .,"جاهلة,سخيفة"
انشالله عن قريب لازم بقى ينشد هالفار وينرمى بشي زريبة,"فار,ينرمى,زريبة"
ضيعت عمري علي صحوبيتكوا يا شوية شراميط,"ضيعت,شراميط"
هذا حرفيا أغبى شيء سمعته في حياتي,"حرفيا, أغبى"
خلاص ما تعيطش يا جحش مصر حلوه وزي الفل,"تعيطش, جحش"
أنتم تعلمون أن هذا الحديث الجاهل لا ينفع بشيء .,الجاهل
للأسف، ستكون هاواي التي ستدفع، وليس هذا الأحمق.,"للأسف,الأحمق"
يا لكم من فسدة اهذا ملعب يلعب عليه لاعبيين بمبالغ مالية وتكاليف اقامة وسفر لعنة الله عليكم وهناك ملع,"فسدة, لعنة الله"
خلال الشوط الثاني محتاج تسجل هدفين .. واخرتها ما تصنع ولا فرصه للهجوم !!!!!!!!!!!!!!!!!!!!!!!!!!!!! الله يلعن امك فريق عكاك,"تلعن, عكاك"
هذا الي قدرتو عليه عليكم لعنة الله المنظمات هي أكثر من تنتهك حقوق الإنسان وانت في مواقع ال,"لعنة, تنتهك"
ويفعلون المثل مع المهرج.,المهرج
هذا الدوري مب هبايل انجلترا 😂,هبايل
لذا أفترض أن استخدامهم لضرائبنا يبلغ أكثر من مليون دولار يا أحمق!,أحمق
لنحافظ على الدفاع و المحاكم ونلقي البقية في القمامة .,قمامة
ما الي جلادة ارسم شجرة العيلة 😂 بزرة شراميط,شراميط
اذهب واتركه يموت,يموت
هذي من الاسئلة التي تصنف تحت بند (حط بينك و بين النار اخونجي) لا أعلم ماذا يتوقع المستفت…,"النار,اخونجي"
يريد أن يفتح لنفسه طريق في البحر ...عبثا رجال مصر رجال أشداء ولا مجال أن تملي عليهم شروطك يا قردوغان,"عبثا, أشداء, قردوغان"
لدي دخل متاح مثل هؤلاء الأغبياء الآخرين,الأغبياء
وانا عبالي انك وايت كراكر بياض الثلج اشقر معظل تاليه طلعت زنجي,"كراكر,زنجي"
أنت حقا أحمق إذا كنت تعتقد أنه سيرى نور النهار كرجل حر مرة أخرى,أحمق
كل ما هو زنجي جميل🖤,زنجي
بالمستشفى الأميري واحد قال حق الشايب سلامات حجي رد عليه الله يسلمك و يلعن أمك و أبوك هذا من الشياب الطيبيين 😃 😜 😜,"يلعن, أمك, أبوك"
إنه مجرد متحدث اسود كبير.,"مجرد,اسود"
أنت شخص فاحش ويجب أن يتم حظرك.,"فاحش,حظرك"
كيف عاشت سوريا الاسد؟ قتلتو السوريين و دمرتو البلد و عم تسرقو من الشعب ، لعنة الله عليكم,"قتلتو,دمرتو,تسرقو,لعنة"
من الجيد أنهم ليسوا في جي 7 أيها الأحمق.,الأحمق
اللي ما حسمها بالشوط الأول يستاهل اللي يجيه لعنة الله عليكم,"يستاهل, لعنة"
أو تكذب كالكلب المسعور .,"تكذب,الكلب المسعور"
يلعن امك يا الاسطوره الافضضل في التاريخ 💙 💙,"يلعن, امك"
يله قول لعمك قردوغان يحررها,قردوغان
دامك دبة ماتصلح لك العسكريه.... 😂,دبة
صراحه جامده متخلف مش مقدر حجم النعمه ال معاه,متخلف
المهم نستغل الاخطاء الدفاعية المدرب غبي المهم ينزل غريزمان,غبي
و لما العسكري دا يتسحل و يدبح في الشوارع، يطلع شوية منايك يقولوا حرام، حق اللبنانيين هيرجع بالقوة.…,"يتسحل, يدبح, منايك"
ي بعض الناس ودك تحط بحلقه تبن وحتى التبن مايكفي مشكله والله لعنة الله عليكم,"مشكله, لعنة الله"
حقيقة أننا جميعا سندفع ثمن هذا الحزب الليبرالي الفاشل يجعلني أشعر بالغثيان,"فاشل,الغثيان"
هيلاري كلينتون شخص فظيع.,فظيع
ردا على الفقرة الأخيرة الخاصة بك يا قمامة,قمامة
منارة الجهل المضيئة .,الجهل
في ريديت قد تجد الكثير من الناس الذين اللعينين الجاهلين,"اللعينين,الجاهلين"
هوا في بنات شراميط للدرجادي؟ ، االنوع اللي زي ده يسط متعملوش بلوك دي تحط اسمها كده واحنا اللي هنخش نخليها تسيب تويتر خالص,شراميط
سيكون من الغباء عدم فعل ذلك,الغباء
قتلت المباراة من اول ربع ساعة يلعن امك يا فاران 🙂,يلعن امك
قايل لك حشرونا مدرب غبي لا يصلح لبرشلونه,"غبي, لا يصلح"
م راح اناقشك لانك لحجيه,لحجيه
بس نهى للحين ماتغيرت لحجية,لحجية
قد يكون أحمقا ثملا يحمل مسدسا,"أحمقا,ثملا"
رهف يومي حلو لا تخليني اقتلك,اقتلك
هذا فلسطيزي ومايمثل اللبنانيين ولا غيرهم,فلسطيزي
تقبريني خلي جوزك حدك، في كتير شراميط بالمظاهرة,"تقبريني,شراميط"
اول مرة اعرف ان الجزيرة دي بنت شرموطة كدة,شرموطة
كيف يمكن للطلاب الملونين أن يتوقعوا الدراسة في بيئة مليئة بالتمييز المقزز ؟,"مليئة, التمييز, المقزز"
يعني ماتدري وش يبي ياصله المدرب ؟؟؟. تلعب بثلاث محاور وهي ذهاب بس. ليش غريزمان دكه وتحط فيدال صانع لعب. الله يلعنك…,يلعنك
نحن بحاجة إلى الذهاب وركل مؤخراتهم.,"ركل,مؤخراتهم"
ما هوي لو بياكل سرماية بعيد عنا بقول يعدمني يا فكروا اذا بصرخوا صوتهن بيوصل,"سرماية,يعدمني,بصرخوا"
مش ناقصة الا منايك بجد,منايك
يا بلا مخ يا حيوان في الاف بقطر عم يسترزقو مش كرمال يجي واحد متلك صرماية يعمل خلاف روح نقبر ضب زعرانك,"بلا مخ,حيوان,صرماية,نقبر,زعرانك"
قزم ...ازاي ده دخل الكليه الحربيه 🤔,قزم
راكيتيتش بيكيه أقرب دار عجزة، الله يلعن أم اللي جابكم ويمدحكم يا شراميط,"دار عجزة, يلعن, شراميط"
لعنة الله عليكم رجعتونا كي يهود ارتقى,"لعنة, يهود"
هي الناس مالها قلبت شراميط كده ليه؟,شراميط
ما هذه المزحة البيروقراطية السخيفة والقاسية!,"سخيفة,قاسية"
طيب شرايك بيدها؟ مشكلة اليدين كل شيء بالجسم ينحف الا هم يعني كانت دبه,"مشكلة, دبه"
انا بعتذر على المسبة وبقلو كس اختك لا اختو,"المسبة, كس اختك"
لهؤلاء البدينين البلهاء والأغبياء ما لهم من سبيل إلى الحياة .,"البدينين,البلهاء,الأغبياء"
صاحب الدراسه سمين ومايبي ينحف دراسه كذبيه لايلعب عليكم,"سمين,كذبيه,لايلعب"
بدنا حدا يقدر يرجعلنا الشهدا اذا بيقدر غير هيك كلن شراميط,شراميط
اذا كل هيدا ما بدّو يولّد حقد وشتائم شو بدّكن يولّد يا شراميط؟ أوبريت الأرز؟,"حقد,شتائم,شراميط"
جاستن وجماعته الجرذان لديهم جدول أعمال,الجرذان
الحريبي زنجي يدعي انه عريباني,زنجي
وصوت له الأغبياء.,الأغبياء
اقسم بالله ان دوريكم دوري هبايل اجل اتلتيكو متصدر فرق ١١ و باقي له ٣ مباريات اخر شي ينقلب وضعه كذا,هبايل
تعب منهم قام يبني هجمات لنفسه يلعن ابوك فريق,"تعب, يلعن"
فقط انظر إلى عائلة براون وبقية عائلتهم الفاسدة .,الفاسدة
مو قادرين على دوري كله هبايل خخخخخ,هبايل
مادام الدعوه سهلة يالزيدي ورى معزبك جايب سرسرية شراميط تقسيم لحمايته مادام غيركم ساذج؟ لا تتحدثون عن ال,"سرسرية, شراميط, ساذج"
وانتـي حكيتيها اخيكـ مو بقره مثلكـ ههههههههههههههههههه,بقره
تعليقك هو الغبي.,غبي
وليد جنبلاط كاتب الحكمة يا قذر,قذر
كم كان هذا الرجل غبيًا ليقرر إنشاء متجر قبل أن يصبح بيع الحشيش قانونيًا؟,غبيًا
"مافي اهبل غيرك, هو يتكلم عن انجازات و انت تضحك بسخرية و كان شعبك لم يموتوا اليوم بسبب انعدام الاكسجيين","اهبل, بسخرية"
هل ترى كم أصبحت هذه القضايا سخيفة؟,سخيفة
زوما لم يفعل كل هذا بمفرده، كان لديه دعم من هؤلاء المهرجين .,مهرجين
دوري زبايل زيك كعادتك دايما,زبايل
يا متخلف هذا مغتصب ومحتل وقاتل لا تضل تتمحن عندهم وارفع قدرك,"متخلف,مغتصب,محتل,قاتل,تتمحن"
🤣 الطالب دب من الكسل ! يستاهل,"دب, الكسل"
أنت لا شيء بالنسبة لي، يا عاهر.,"لا شيء,عاهر"
يع ترا بكره تضحكين ع مقاطعك وتشوفين نفسك لحجيه😭😭😭😭,لحجيه
ترا والله العظيم في افضل منك كثير تلعب زين والا اطلع يا دب,دب
