Sentence,Negative Connotations
这种太恶心了，弄不好国内的接盘侠感染艾滋病了，所以对那些来路不明的女的，一定要搞清楚来历啊。,恶心 接盘侠 艾滋病 来路不明
可见国际鬼子虫类及其它们后代虫混就是墙头草，两面倒当人说人话，当鬼说鬼话从这我们也能窥见国际鬼子虫类及其它们后代虫混的所谓精英就是蛇鼠两端货色。,"鬼子虫类, 虫混, 墙头草, 两面倒, 鬼话, 窥见, 蛇鼠两端货色"
谦虚点，我们蝈腩??,蝈腩
喜欢黑女的很少很少，你说得绝对是极极个例。,极极个例
所以你和杨笠先分清楚自信和自负的区别再来瞎扯淡吧，一个褒义词硬生生被你们这些文盲玩成贬义词,"瞎扯淡, 文盲, 贬义词"
你们这些从心理到生理都变态点玩意儿有资格说患者，真是恶心呀，你们自己搞搞就算了，还要骚扰身边的人甚至未成年，你们这些变态不灭何来太平,"变态, 恶心, 骚扰"
四年级的时候我就问过我妈为啥男女平等还会有女士优先这句话出现表情四年级的幼年拳皇差点被班主任扼杀在摇篮表情不过我挺住了现在依旧站在打拳第一线！,"扼杀, 打拳"
现环境下这个阵营没有团结就是扯谈，没有团结就算再扯一万句大道理也是狗的屁，团结始终应该放到第一位，我们需要求同存异。,"扯谈, 狗的屁"
人人平等，为什么你眼中你黑爹就高人一等？,黑爹
女权背后打拳替美国佬办事的狗东西可不少，把黑人娶进来的咋不说呢,"狗东西, 黑人"
你评论区不就有一个吗，经典装理客中装不下去了就开始破口大骂了，或许这就是当代小仙女吧??,破口大骂
女性就是爱比男性双标，我觉得这句话确实没问题,双标
跟你们基佬学的??,基佬
说明一下，我只关爱自己身边的女性，比如老婆女儿等，别的女人关我鸟事。v,鸟事
其实全球所有国际鬼子虫类及其它们后代虫混精英其实也好不到哪里去它们在全球监狱都有不同案底档案,"鬼子虫, 它们后代虫混, 监狱, 案底"
黑鬼基因太强，此鬼虽然是黑杂，但看上去跟纯种黑鬼并无太大区别。中国女人的子宫，一旦被黑精灌入，所生的崽几代都是黑杂。,"黑鬼, 黑杂, 黑精, 崽"
出狱了记得带着你的小二嗨一起滚回飞舟,滚
看我直接化身贴吧暴躁老哥，直接喷死双标男,"暴躁, 喷死"
基佬大多数只会骂一两句就不回，这就是纯种懦夫的表现，赞成？赞成,"基佬, 懦夫"
看了几个小品，天天喊着结婚生娃，能不能关注一下别的，默不要出现在春晚行不,不要
1.造谣2.举报3立牌坊4演圣母5当圣女6.复读机7.撕b,造谣 立牌坊 演圣母 当圣女 复读机 撕b
没有批判跟跟人睡，一直睡都可以，但是睡完不要回来恶心中国男人就好。对了补充一句，跟黑人结婚生的子女，绝不可以跟我的后代结婚！,恶心 黑人 绝不
普信女真恐怖。兄弟们去网曝她。,"普信女真恐怖, 去网曝"
把中华城市吧的所有重庆吧友全部说成是我的小号，这个也只有基佬才能达到的级别,基佬
通讯录也不是什么好东西,不是什么好东西
我特烦一张嘴就这事不关你事的人，管天管地管的着别人怎么看？照你的理论，批判这些人也不关你事啊？你废什么话？,"特烦, 管天管地, 批判, 废话"
"我现在生活很不错，但也歧视黑人和对它们有好感的easygirl,离开中国的除外。",歧视 黑人 easygirl
霓虹也就80年代初对默有强力管制，现在也不行了，你看奥运会旗手都有默了,强力管制
要是以后我女儿这样我还真会，并且会反思自己为什么教出伞兵,伞兵
它不是个骗婚gay佬吗不是直男,"骗婚, gay佬"
但是我们要“理解”基佬，因为它们在现实生活中活得太憋屈了，它们之所以把别人先禁言了又去麻人，就很好的证明了这一点，它们需要发泄，但是又害怕看到那些回击它们的内容，所以只能如此,"基佬, 它们, 憋屈, 禁言, 麻人, 回击"
你们的武士道精神呢？一刀劈S这个嘿蛆,"劈S, 嘿蛆"
哈哈哈 你是揣着明白装糊涂吗 有不少媚黑女嘲笑国男几把小呢,糊涂 媚黑 嘲笑 几把小
仙女们以看不上的感性理由非常好的掩饰了自己拜金的终极目的，论物化女性还得看仙女自己,"看不上, 拜金, 物化"
是的，现实里，男生遇到渣男排挤有限，女生是真的排挤渣女。网络上，男人对渣男渣女都骂，部分女性为渣女洗涤。很多男性眼里的女性就是那些女拳。,"渣男, 排挤, 渣女, 骂, 洗涤, 女拳"
txl鼠惹,鼠惹
那要知道这些女人男人塑造的，不过是男人怕其他男人变成舔狗罢了,舔狗
妥了，这下小仙女要买爆了。。人手一箱舍得酒,
反同方会思考，撑同方不会思考，看看只有撑同方相信p图造谣我有艾，这只会让人觉得基佬都是脑子有毛病,"不会思考, 造谣, 基佬, 脑子有毛病"
不会真的有人喜欢娘炮男明星吧，喜欢这些男明星的不都是女孩子吗,娘炮
这是要把你变成绿毛龟,绿毛龟
有些穆斯林特恶心吃猪肉的，不爱带面纱的女人也滚......他们的三观出问题了吗？,恶心 滚 出问题
上小网站看看视频。黑男黄女一大堆，铺天盖地。但是黄男黑女你能找到吗！你喜欢玩人猿泰山是你的事！别扯那么远好吗！,"黑男黄女, 黄男黑女, 玩人猿泰山"
是这个dd第二代引起孙吧反同？,反同
学校和黑狗都不是好东西,不是好东西
半年没来之前反默老哥都不在了，只看到wwewwecao刷屏，说他默吧他又好像钓鱼，说他钓鱼吧又好像媚默,"cao, 默, 钓鱼, 媚"
舔狗不得**舔狗不得**,舔狗
这么说的一般都是现实中被打傻了吧，跑到网络上口嗨，普通人谁会往性别上去想，互联网实名制就治这种又蠢又坏的,"被打傻了, 口嗨, 又蠢又坏"
大家看到没有本吧吧宠真是能够带给我们无限乐趣原来跪虫族都是这种水平我真是太放心了,跪虫族
军阀割据占领华夏，分别是：北方人（一般北方人、辽宁、黑龙江），南方人（被地狱狗蔑称为南大人）。北方分裂，南方人赢一局。,"地狱狗, 蔑称"
一眼真，也就母畜能干得出来这种事,母畜
之前懒得一般见识的想法都不该有，直接说学校你家开的？座位你私人的？然后她骂你，你直接跟老师反应，说她乱吠影响你听课了。老师不处理等下课你亲自掀它东西，干就完了,"懒得, 你家开的, 你私人的, 骂, 乱吠, 掀它东西, 干"
以前发过什么东西自己忘了是不。删帖倒是删的蛮快和你主子好像耶,主子
哎，奈何默数量越来越多好多。,哎，奈何
希望他们嫁给默以后都去非洲吧，不要待在国内，看着觉得蛮恶心的，跑爹默竟然也有人中国女人愿意嫁也不配当中国人,"恶心, 不配, 跑爹"
收钱说话的走狗罢了,走狗
全国黑上海，上海黑白完，所以被黑的最惨的还是白完。,"黑, 被黑的最惨"
为啥总有虾爬子一样的二极管？正常化就正常化呗，非要跳出来表示同性恋就是高贵就是先进就是现代化吗？扯犊子,"虾爬子一样的二极管,扯犊子"
我们对黑人（功成名就的不算）的看法，不就和以前欧美对亚裔的看法一样吗？都当对方低人一等，有各种各样的毛病。大体感觉就是较落后的地方来的乡巴佬，能配上自己？,"低人一等, 各种各样的毛病, 较落后, 乡巴佬"
笑到肚子痛了！真想问谁教养他做基佬，真丢人,"基佬, 丢人"
右边的小老头就是婊们口中的所谓“高端白人脸”，和我们的胡兵一比，被秒成渣渣，何况是胡兵比这个小老头还大好几岁！！！！还比他皮肤白,婊们 秒成 渣渣
衡水就是贱啊，就是没人性,"贱, 没人性"
你这个南满，大凉山欢迎你,南满
这母猪看面相就不是个好人,母猪
如果不驱除这黑虫到时候全是这样的小黑虫说自己是汉人是华夏子孙,"黑虫, 小黑虫"
失足妇女：呸，老娘没那么脏,"失足妇女, 呸, 脏"
你几把谁啊，代表全国？,几把
黑河南和北方 最严重的是西南地区及东北地区 都是一群南蛮搞的鬼 他们没什么本事 只会在网络上破坏民族团结 搞国家分裂 因为他们有着不为人知的优越感！,黑 河南 北方 南蛮 搞的鬼 没什么本事 破坏民族团结 搞国家分裂 优越感
我媳妇也会打拳！节假日忘记买礼物她生气了，我说我生日你怎么不买给我？结果她更气了，叫我去外面问问是不是所有男的都应该给女的买！??WTF？！,"生气, 更气, WTF"
做什么大冤种哦，人家小仙女领情吗,大冤种
嗯嗯嗯，是不是支持同性恋就不狭隘了？是不是不觉得同性恋恶心就不狭隘了？,"狭隘, 恶心"
也就是有钱的闲蛋才需要。,闲蛋
这种货色宁可当敌人也不能当朋友，背后捅刀往往致命,"这种货色, 宁可当敌人, 背后捅刀, 致命"
为什么舔狗如此之多可结婚率却这么低？因为舔狗，不得好死！,"舔狗, 不得好死"
此种人不得house啊,不得
其他男人我不知道，反正我是接受不了，我宁愿娶个三婚带二孩也接受不了黑女。,接受不了黑女
讨厌洋垃圾，可是作者情况里的女孩确实可叹可怜，你这直接上升到基因、父母、祖宗，你太极端了。,"讨厌洋垃圾, 极端"
楼主说的那种东西真是不言而喻当然指的就是虫族,虫族
这个鸡佬，喜欢精神胜利，是一个辣鸡，真是笑死人,"鸡佬, 精神胜利, 辣鸡, 笑死人"
楼中楼的基佬你就继续装可怜洗地吧,"基佬, 装可怜, 洗地"
挺你，默只要不来中国，就是好默,不来中国
第二个是豆瓣母拳,
外娶多好，不打扰小仙女了。,不打扰
男权：我们反女拳不是反女性。女权：所有的男人都没一个好东西。,没一个好东西
你们艾兹佬都快死了还敢来发癫,"艾兹佬, 快死了, 发癫"
哟呵结果又放鸽子了？不要脸的杂皮重大教务处有空理你这种瘪三？？？可能吗？！,"不要脸, 杂皮, 瘪三"
我一路人又不跟她上床，她又怎么知道我的尺寸然后跟她前任比。就是单纯歧视eg,"上床, 尺寸, 歧视"
友爱也是爱，但不过以txl为荣是变态,变态
舔狗妄想感动别人，可惜只能感动自己。还沦为别人的笑话,"舔狗, 妄想, 笑话"
中国14亿人出几个nt也正常,nt
应对的办法是走出去外娶。对于郭女，绝大多数郭女卸妆和恐怖片差不多。我是没有做推土机的欲望,郭女 恐怖片 推土机
又是个黒杂,黒杂
不然幕刃是怎么诞生的？,None
同别当我面恶心我就没问题，我也不会伤害他们,恶心
普通女性占女性总人口的比例还是太少了，女拳、媚外的的占了绝大多数??,"女拳, 媚外"
跑国外去了不就很好嘛，要是去非洲服务默那更是物尽其用，怕就怕吴母沟出去整个容改个名，然后再回来祸害国男,祸害
女同我真的少见，刷男同梗的贼Tm多。有时候真的搞不懂评论区满脑子是不是全是男同Hhh,"贼Tm多, 搞不懂, 满脑子"
这人真是有毛病,有毛病
认为“同性恋＝娘”真的蠢。你但凡了解下真男同性恋的普遍审美都不敢这么说,蠢
一位优秀的接盘侠????,接盘侠
哈哈，到时候嫁不出去了还不是得装乖乖女，真恶心,恶心
幕刃真的该死,该死
口气别这么大，你们别倒贴默就行了,"口气别这么大, 倒贴"
我媳妇也会打拳！??,
"去了解一下,教会藏污纳垢恶心死你.","藏污纳垢, 恶心死你"
最恶心的就是生个小黑孩，然后拿中国国籍，还尼玛汉族。我是头皮都麻了。,"最恶心, 小黑孩, 尼玛"
喜欢嘻哈文化所以走到一起，想想一个国家的强盛，是靠发展这些垃圾文化吗？唱唱跳跳只会毁掉一个民族，所以黑人那种文化根本不值一提,"垃圾文化, 毁掉, 根本不值一提"
不正常的意思就不是说是少数吗…所以对啊…觉得恶心异性恋的肯定有，但是也绝对是少数，毕竟世界之大什么人都有啊…??,"不正常, 恶心"
真寄吧恶心,寄吧恶心
我得提醒你一下gay一般即使看上直男也是想被上，不要操那么大的心??,不要操那么大的心
女司机逆行，小癣女评论怪男副驾,小癣女
嫁给他，就跟他回非洲啊。黑人敢打我们的抗疫英雄，洗不白了。举报三非，收入不菲,黑人敢打我们的抗疫英雄，洗不白了
充满了抠脚汉油腻荷尔蒙气息的匿名小仙女????,"抠脚汉, 油腻"
国男的包容大度一直都是这么无私，eg使劲浪，反正有老实巴交的国男兜底囧,"使劲浪, 囧"
是真的怕艾滋。一个女人私生活很乱，但是睡的全是中国人或者白人，我还能玩玩。反正不会娶。要是知道是睡过黑人，算了吧。那都有草吃。没必要这么蠢,"怕艾滋, 私生活很乱, 反正不会娶, 睡过黑人, 都有草吃, 蠢"
主要你说的是结婚，给黑人白嫖拿爸爸的钱养黑人男友的eg不要太多,白嫖
因为很少人会在职场中出柜吧??如果基佬都没工作没社会贡献咋活呢,"基佬, 没工作, 没社会贡献"
这不是典型的普信男么，真下头,"普信男, 下头"
你是自卑没有自信还是有艾不能见人吗？看看某基佬也不会蒙面穿衣服发照了,自卑，没有自信，艾，基佬，蒙面
这个吧幕刃浓度怎么这么高,
这就是个大筛子，筛掉那些傻子,傻子
钓鱼的，不要理他，纯nt,nt
以及一切为他洗白的狗腿子,狗腿子
对，这洽洽是对所有中国人的歧视，所以排他们，他们活该。,"歧视, 活该"
古代的“鬼”没有原型，自从有了昆仑奴之后，就定义形态了。,昆仑奴
能发这评论的，应该也只有尼葛吧,尼葛
我还见过很多炫耀自己掰歪直男的基佬，简直口区,"炫耀, 简直口区, 掰歪, 基佬"
外嫁出去和外娶进来，老传统了，一来某些帮助歪果男友做些违法犯罪的事，,违法犯罪
生而为蝻，我很抱歉这种牧人代表十成是觉得仙女们要彩礼要车要房不愿生孩子还动不动生孩子警告跟你争冠性权的行为很合理吧？？？？？？？？？劳资改个屁的择偶观,"蝻, 抱歉, 彩礼, 车, 房, 不愿生孩子, 生孩子警告, 争冠性权, 合理, 劳资, 改个屁, 择偶观"
这男的也是啥pei给女的当狗活该,"活该, 狗"
人你不找，非得玩人与兽，不恶心吗,恶心
我儿子要是说要从良j，我一定打断他的腿,打断
你这老僵尸要被举报了，男男违法献血,"老僵尸, 举报, 违法"
这位不错了，在b站展示化妆和美颜的效果，也承认自己，可怕的是那些化妆开美颜就真的以为自己长那样的锅钕,可怕 鍋钕
我特么直接立地成佛,特么
田园女拳真烦人，干点活，轻的懒得拿，重的拿不动，老子真想邦邦两锤砸她,"烦人, 懒得, 拿不动, 砸她"
很快就能解封的，性取向变态患者搞得鬼,性取向变态患者
反正他们普信男总有理由去声张他们所谓的正义，却不知大家都当他们是小丑,"普信男, 小丑"
确实，这点得学着人家小棒子,小棒子
舔狗龟男，渣男和牧人都该人道毁灭,"舔狗龟男, 渣男, 牧人, 人道毁灭"
太多辣鸡媒体宣传默默卖蠢和苦难来博取国人尤其是女性共情～,辣鸡卖蠢苦难
基佬罪证合集,罪证
黑浑身都是臭的,臭
小黑屋警告啊，你思想不正确，说谁都行，说默和魄就不行，知乎的祖宗主要来自这两个人种，你说他先人，就封你，就删你，就让你进小黑屋。,"思想不正确, 封你, 删你, 进小黑屋"
太惨了，别在意，那些人都是个der,惨，der
如果我没记错的话这个楼猪可是大名鼎鼎跪虫圣父标到今天发了一个虫类及其它们后代虫混增长录事实没有任何问题但是经过著名大名鼎鼎跪虫圣父标发出来就有点居心叵测毕竟古人言：事出反常必有妖！,"楼猪, 跪虫, 居心叵测, 虫类, 虫混, 妖"
如果真能彻底вымирание全球所有虫类及其它们后代虫混能实行成功那米国这也算对人类大功一件,彻底 вымирание
好 不和牛马一般见识??,牛马
艹，b站女拳集中营啊，评论区,"艹, 女拳"
让他去死lkd,去死
张华考上了北京大学，李萍进了中等技术学校，猩猩被引进了国内高端大学，他们都有光明的未来[拥抱]??,猩猩
这种就是典型的废物龟♂了兄弟们，大家引以为戒,废物龟♂
大部分是腐女,腐女
反击他妈。她就是想赚男人的钱。你还真信,"反击他妈, 她就是想赚男人的钱"
毕竟不是人人都正常。他的狗腿子例外,"正常, 狗腿子"
就是尼玛的瞎好，一群gay不挑人,"尼玛, 瞎, gay, 不挑人"
一眼lkd现实中没人要的柜物罢了,没人要
黑人的舔狗其实比黑人更可恨,"舔狗, 可恨"
肯定是国楠自己造成的呀，国楠不配娶她们,不配
这事说开了吧，实际老华裔觉得黑黑白白花钱没数，不可靠，基本看不上白白黑黑。更不会以找黑白为荣，看不起黄男,"不可靠, 看不上, 看不起"
通讯录就是素质感人捏?复读和被害妄想症已经算轻的啦,"复读, 被害妄想症"
有些贵物就是这样的,
我是个直女。我觉得同性恋是正常的，不是变态，只是性取向里的一种选择而已，应该尊重。但是我一想到女女我生理上非常排斥，觉得有点恶心。我这是不尊重女同吗??,"排斥, 恶心"
以偏概全，就是你的思维方式？希望你早日脱离这种落后的思维方式，八婆其实也是一种落后的思维方式导致的行为方式。@百舸争流,"落后的, 八婆"
垃圾小仙女，不配活着,垃圾 不配活着
真是无语，不看地区经济和女方的？拳师去刚果贫民区要求200万彩礼得了。,"无语, 拳师去刚果贫民区, 200万彩礼"
舔狗被揭穿现场,舔狗
没见过基佬工程师,基佬
就算是编的，我也相信，臭母狗,臭母狗
基佬还说之前视频里的不是它，它都说照片是它爆出来的了。,基佬
你一个烧鸡在这挑拨男女对立？？？***眼,"烧鸡, 挑拨男女对立, ***眼"
丑肥成这样还要拍视频来恶心人真是好笑,"丑, 肥, 恶心"
不是怕失去，怕被骗了接盘毁了一生，怕杂种留下隐患！,"怕, 骗, 杂种, 隐患, 毁了一生"
仙女的盘谁敢接,
还有什么奔现的，基本都是男的舔狗才能找到那的女的，说的自己不是网恋游戏，去区服情缘贴看看，那是多少搞网恋找情缘的,舔狗
每个种族活下来都不容易，嘿贵也有嘿贵的特长，父母的苦口婆心都没用，别说咱们旁观者了。,苦口婆心
要是这些人不再祸害别人，那我倒是觉得挺好的，基因选择嘛，聪明人活下来，傻得慢慢就消失了,"祸害, 傻"
这是个明白人，中国社会撕裂的现状有自身的原因，但更重要的是美国在中国的狗腿子有意带的节奏！,狗腿子
双标??，第一幅图当代男女半斤八两，睁大你的??眼去好好看看,"双标, 半斤八两, 睁大你的??眼"
微博不是垃圾桶吗？你为什么要去垃圾桶逛？看到垃圾还和我们分享,垃圾桶 垃圾
黑就是垃圾,垃圾
南方吹特别蠢??话说南方其实也不是铁板一块，南方内部的文化分歧比北方大多了,蠢
废物才需要联合,废物
你没事找别人骂，活该,活该
但是默我真的很讨厌,讨厌
黑河南、黑北方的都是南满,黑河南、黑北方
这人老挠弹了，之前就被人举报封过，大过年又出来发病了,"老挠弹了, 举报封过, 发病了"
说的对，普信男都是这样低下,普信男 低下
开始打男拳了，理中客就出来了,打男拳
感谢女拳组织的出现，解放了男性，男性开始逐渐躺平，不结婚，咱们看看不结婚到底谁着急，谁过得更好,女拳组织 躺平 不结婚
打拳的都是底层的蛆罢了，被上面的人当猪宰，还主动替主子说话，但凡有点脑子的根本不会去打拳,"底层的蛆, 被当猪宰, 主子"
想反女权还得看女权，舔狗龟男理中客们不是男人能打醒的,舔狗 龟男 理中客 不是男人
兄弟们我上条冲错了，牛头怪是自己人，其他三个是真默??，冲另外三个默孝子,默孝子
"因为智商低，容易被女的pua,价值观都偏了","智商低,pua,价值观偏了"
女拳冲你可能只因为你是男的，同为穆斯林咱们什么时候能吉哈德了他们,女拳 吉哈德
这个真没看清楚，只见到两人撕打，女的一边打一边骂，让嘿贵“选我还是选她”，口音很像我喜欢的一个博主（北京人）。,"撕打, 骂"
看到“我是男的”，100%是女拳，毕竟有句话说自己没什么就喜欢强调什么,"女拳, 没什么"
幕刃罢了，你不娶，我不娶，连20块钱都不值,不值
兄弟我们完全可以放心这货必定会是下一个陈怡说不定这货早就被虫类身边几大母虫左右互博说白这些女早已是СПИД携带者而且从她来看再她眼里虫类及其它们后代必定是比它们亲生父母还要亲,"这货, 虫类, 几大母虫, СПИД携带者"
你把她拿下了，CR拿什么挣钱？鼠鼠我啊，最喜欢_________了,拿下了
错误，黑河南、黑北方的都是南满,黑河南、黑北方的
不想看见一个小黑皮说他是炎黑子孙，想起来就觉得恶心，就这么简单。,"小黑皮, 恶心"
这个鸡佬，喜欢精神胜利，是一个辣鸡,"鸡佬, 辣鸡"
坑傻子的，这有人信了也好，淘汰劣等基因，毕竟这种龟男不给他戴绿帽都对不起他的智商,"坑傻子的, 淘汰劣等基因, 龟男, 戴绿帽, 对不起他的智商"
虽然我对这个答案也挺迷惑但是基佬就没工作就不能有工程师了？,基佬
可能这样还比拳师好看点吧,拳师
审美是高级智慧生物特有的能力，源于视觉疲劳，追寻完美比例。而黑蛆面相相似（物种越低等个体相似度越高），审美标准与人类不同，脱猩化越重越完美。,黑蛆
他是个什么垃圾？,垃圾
或许可以接受一个同性恋在自己周围，但是接受一对同性恋在自己周围搂搂抱抱和亲嘴的话，我觉得还是头皮发麻像看见老鼠一样害怕的,"头皮发麻, 老鼠, 害怕"
男同也会喜欢熊类，男人的身体魅力好不好只有正常的女人才知道,只有正常的女人才知道
楼主啊！我记得这是某位普信女写的关于男性的条件吧，改的好，还有，您的帖子里面有条目??，赶紧置顶羞辱,"普信女, 羞辱"
国女都是一群情绪化的**，觉得全世界都得让着她不能惹她,情绪化的**
舔狗的自我修养，女拳越是猖獗他们越觉得应该抓紧舔，自己卷自己了属于是,"舔狗, 女拳, 猖獗"
字太多不想看我只想说一句女人垃圾,女人垃圾
你说的应该是那个货极其跪舔虫类那货看过它所谓言论完全就是典型断章取义,"货, 跪舔, 虫类, 断章取义"
我同事女朋友和黑人搞了，??，他吓一跳，立马去医院，爱就一个滋??,黑人搞了
基佬恶心人所共知，基蛆所做人神共愤,"恶心人, 基佬, 基蛆, 人神共愤"
昆仑奴翻身逆袭咯？,昆仑奴
日本这次为了sb政治正确，所谓修正别人排外的观点。，才搞了一堆混血运动员，这简直是nt。不过日本本身混血比例很低。,"sb, 排外, nt"
我这个失败者都能让黑小子和他们的黑爹如临大敌坐立不安，仅仅是我一个而已，可见所谓的“成功人士”是多么的心虚。,"失败者, 黑小子, 黑爹, 心虚"
异性恋里不也一大堆普信男??????,普信男
人家反同不对嘛？你在苟叫什么？,"反同, 苟"
直佬日常迫害正常人,迫害
那些小仙女最喜欢非洲酋长的公子哥们了，还喜欢主动献身倒贴??,献身倒贴
不对 都故国了外国人就别来趟浑水了?????? 去搂好你的黑北鼻别来国内打拳??,"别来趟浑水, 黑北鼻, 打拳"
美国的忠实走狗，中国砸再多钱也喂不熟,"忠实走狗, 喂不熟"
我女的想法和你一样我也厌女,厌女
死肥猪去死啊,"死肥猪, 去死"
彩礼？屁礼！大清亡了，还搁这儿彩礼呢，结婚，爱情不是交易，不是买卖，也就明码标价的买卖，还不是真买到手。,"屁礼, 亡, 交易, 买卖, 明码标价"
真不知道那个弱智会看上这种人,弱智
我还看到基层女性工作人员对村里的二代小黑猴也是格外关照的??，那姨母般的笑容可不是因工作原因演给别人看的,小黑猴
看见杨笠这司马脸就觉得恶心,"司马脸, 恶心"
看了好多遍，我居然没看懂？算了，反正二次元和微博都是沙軟,沙軟
我本来对同性恋没什么反感的想法，直到看到她们在地铁上不正常的表现，我立马想吐，恶心到我的人我也会反击,不正常 想吐 恶心 反击
咱们没人家团结，我经常去剑网3吧看攻略，结果，现在哈哈哈哈哈哈哈哈哈哈哈哈哈哈全都是籹全尸在打拳。,"没人家团结, 籹全尸"
普信男：都怪老师太漂亮穿的裙子太短！,普信男 都怪
想想北师大的拳师是什么货色，你就知道下一代已经没有免遭女权规训的希望了。,货色，免遭，规训
小红书绝逼是狗汉奸带的，★★在这就是工具,"绝逼, 狗汉奸, 工具"
二土黑虫好像吸过毒,吸过毒
拉黑nt是正确的心理异常变泰的人总想和正常人搭话来证明自己也是正常的,心理异常 变泰
万一它们是体重两百的坦克呢？当然不输普通男性。一般100斤左右的力气是比不过一般男性的。,"它们, 坦克, 比不过"
其实我对男同怎么的还真没什么看法，我歧视的是在到处瞎叫唤男男的女生，她们没觉得自己很恶心吗？还好意思指责别人鄙视同性恋，都是她们整臭的??????,"歧视, 瞎叫唤, 恶心, 鄙视, 整臭"
畒??乱叫而已，不用搭理牠，毕竟听不懂人话，jb口球就行了[表情],乱叫 毕竟听不懂人话 jb口球
才10年，粿籹就该直接枪毙,枪毙
所以我为啥要在乎白皮的歧视呢？我生活在中国呀,白皮、歧视
托什不是黑人吗？怎么帮狗的主人还会被狗咬,狗咬
你们活该罢了，雪崩之时没有一片雪花是无辜的,"活该, 无辜"
看头像还是个ltp基佬，真不嫌磕碜，恶心。,"基佬, 磕碜, 恶心"
以后拳师让舔狗买车给她们开就行了，货拉拉顺风车什么的一概不接女乘客,舔狗
这样的黑渣子严惩不贷,"黑渣子, 严惩不贷"
你这个广东满子，黑河南、黑北方的总部是广州，核心地带是从上海到广州的整个东南沿海，范围是整个南方,黑河南、黑北方
幕刃是这样的,
寒国割裂的今天、我们最需要团结和理解。没人想成为西八那样（笑）,西八
一堆普信美女还能有老公啊,普信
田園女拳和正常女權的區別就在於前者只會在網上噴垃圾話，後者付諸實踐並證明男性能夠做到的事情女性也可以,垃圾話
成功把直男/被gay掰弯是种怎样的体验？这里的就很恶心了,恶心
必须对黑蛆实施种族灭绝！！！,"黑蛆, 种族灭绝"
正什么歪成什么样子了都是群满嘴道德仁义的狗在搞笑,狗
男生是正常人反应，女生是巨婴,巨婴
女人说：“换了本仙女就不可能找到更好的了”。男人说：“这是编出来给??男心理安慰，好让??男去舔去接盘的”。,"舔, 接盘"
加速是好事，而且别人本来就没打算征求你的意见。把女的捧得越高越好，特权群体越是会被讨厌，舔狗那么多还没清醒过来呢。,"没打算征求你的意见, 特权群体, 被讨厌, 舔狗, 没清醒过来"
舔狗让他死就行了，杀鸡儆猴么，一个舔狗不死，其他舔狗怎么觉醒？,舔狗 让他死 杀鸡儆猴 觉醒
学校把这些洋垃圾招进来，所以也要承担相应的后果！,洋垃圾
正三观，先要保命要紧，黑女一般都是乱性的。艾滋病能治好？,"乱性, 黑女"
MB关键是有的gay他还骚扰你，他妈的刚刚差点让一个gay亲了，再有下次老子打掉他满嘴牙，我这不是恶心，是唾弃,"骚扰, 他妈的, 打掉, 恶心, 唾弃"
在easy girl眼里，这也比国男好得多,"easy girl, 国男"
直佬的瓜真是太香了哦，吃不完了,直佬
所以我劝如果男人脑子不太聪明分不清sao货和良女的话，那就自律一点，不要婚前性行为，也不要婚后嫖娼 这样百分百没有病,脑子不太聪明 sao货 嫖娼
我觉得大部分人都是图个新鲜感，甚至有些人网络上说自己支持同性恋，在大街上看到两个大叔搂搂抱抱甩出一句好恶心。,好恶心
深柜竟在反同身边,深柜
是的，通常只求这样的男女跟黑人出国，不乱生垃圾丢在国内污染环境，其他一点不在乎，毕竟是自然选择，智力水平也般配,"跟黑人, 乱生垃圾, 污染环境, 自然选择, 智力水平"
先解决孩子安全问题再说吧，基佬炼铜是人尽皆知的,"基佬, 炼铜"
还有人说默是人？,人
阿哲，好像陈浩民张卫健吴彦祖古天乐尹正他们的帅我挺欣赏的，至于现在的娘炮，对不起那些女拳拿这些娘炮当例子还说人家嫉妒，真是笑大牙了,"娘炮, 女拳, 嫉妒, 笑大牙了"
你们同性恋为什么不收敛一点，我们看着觉得恶心,"收敛, 恶心"
楼主别理会亩刃,亩刃
活该，谁叫你们接盘的,活该
女权怼了女拳？这事儿女拳知道吗？??,怼
你也是基佬，为什么要伤害自己人呢，不怕因果报应吗？,"基佬, 伤害, 因果报应"
看不出来吗，作者就是专业打拳的啊，不是说是男是女，这是一个组织，专门挑拨男女对立，不该死吗，别让我遇见你，我进去坐牢也得把你弄死,"该死, 弄死"
我靠，楼主你不要在镇楼图扔黑粪啊！！！！,黑粪
哈哈估计自身条件非常烂只能靠出卖同性获得幕刃的关注了,"自身条件非常烂, 出卖同性"
这些南满估计连河南人都没见过就开始变着法的黑河南、黑北方了,黑河南、黑北方
缴尼玛，打！,"尼玛, 打"
这关普信男什么事呢？,普信男
如果真的是男的，则废物测试没通过,废物
在中国，你这种烂鲍鱼一般被人叫做普信女?,"烂鲍鱼, 普信女"
上海河南广东，春晚三大被黑惨烈的地方，春晚一向这么搞很恶心的,黑惨烈 恶心
那些嫁给默的国女能自愿放弃中国国籍，绝对值得立牌坊。,立牌坊
是这群人没有良好的审美，我们反同人士都喜欢秃头油腻大叔，这才叫帅，有男人味。,"没有良好的审美, 反同, 秃头油腻大叔"
总而言之，现在就是女人最好的年代，不作妖，处女，整容的能好看，找一个中产阶级以上轻轻松松。也不知道女拳哪里不满>_<，或许整容也整不出来？,"作妖, 女拳, 整不出来"
