Sentence,Toxicity Level,Tone,Language,Implied Sentiment
"Щас роздінусь і піду голою, і похуй.",Medium,Casual,Informal,Indifferent
"Таке враження, шо в росії не вміють норм трахатись.",High,Derogatory,Negative and Offensive,Disrespectful
"Подзвонили всі возможні родичі, сусіди стукаюсь блять, шось таскають там я єбу, брат 100500 раз зайшов в комнату ну блеееет",High,Aggressive,Vulgar and Agitated,Frustrated
"Заходжу я в твітор, а тут Лєщєнко пиздить.",High,Aggressive,Insulting,Hostile
Антикорупціонєр – це коли в жопу за $ дає.,High,Cynical,Vulgar and Offensive,Derogatory
кексложно вам на мене просто завжди похуй було,Low,Casual,Informal,Indifferent
в сраку ті дужки засунь)))))),High,Dismissive,Crude and Insulting,Hostile
"Які, ссука вибори в умовах окупації?",High,Aggressive,Insulting and Provocative,Angry
"блядський твіттер, чим більше оновлень, тим більше тупить",Low,Negative,Casual,Frustration
Як добре що така хуйня властива лише монархіям,High,Contemptuous,Vulgar and Disparaging,Negative
"-Ну как обичьно, нахуй))))Кежуал конверсейшнс віз  )))))",High,Dismissive,Casual and offensive,Aggressive
"Пише: Я думала хуйня в мене в житті через відсутність сексу, порішала з сексом, а хуйня лишилася.",High,Negative,Vulgar and Dismissive,Frustration and Discontent
"Блять, я ненавиджу своє їбуче тіло, сам факт свого існування.",High,Aggressive,Vulgar and Self-deprecating,Self-loathing
Він вміє срати мимо лотка і гарантовано не допускати олігархічного беззаконня.,Low,Informative,Formal,Neutral
"  ніколи...чуєте, ніколи! не плутайте такі речі. це ж як хуй з пальцем порівнювати))",High,Aggressive,Vulgar and disrespectful,Offensive
"Нахуй ти палиш, ну бля",High,Aggressive,Vulgar and Insulting,Hostile
Коли наїбала самого Бога Долею.,High,Derogatory,Vulgar,Rude
"Найбільший злочин проти українського народу - влада, яка складний час впевнено і безбожно продовжує пиздити",High,Accusatory,Vulgar and Aggressive,Angry
"тому, кстатє, спайк лі получив каннську гілочку, а кокотюха получив хуй на патичку, і так йому і нада.",High,Derogatory,Vulgar and Offensive,Aggressive
"Боже блять, нарешті хтось про CCR сказав.",Medium,Excited,Informal,Positive
"зайди на фб, молю! кончений вк не дає нічого зробити! це все хуйло всране",High,Commanding,Vulgar and Negative,Angry and Frustrated
"Я: блять, в мене якась депресія вже протягом тижня...",Low,Casual,Informal and Self-deprecating,Negative
тобто блядь? тобі більше 25?!,High,Confrontational,Vulgar,Disrespectful
Надіюсь вся ця хуйня котра весь тиждень вставала між нами і одесою не була ужасающим попередженням мірозданія,High,Disdainful,Vulgar and Disrespectful,Angry
"На вулиці теплинь, пташечки літають, спідметал хуярить в навушниках.",Medium,Neutral,Casual,Neutral
"Нічого осбливого, просто новий пляж в Тернополі*АХУЄТЬ БЛЯТЬ*",High,Aggressive,Vulgar and Offensive,Negative
Сука як же мене всі бісять блять нахуй,High,Aggressive,Vulgar and Offensive,Angry
Бути тупим уїбаном саме по собі не є поганою рисою.,Medium,Casual,Informal with profanity,Neutral
"Бо пити його разом з алко дуже хуйова ідея, перевірено",Medium,Negative,Vulgar and Critical,Disapproval
"А то сука навіть не мої слова, і не мої думки.",High,Confrontational,Vulgar and Dismissive,Negative
Батюшка сказав шо митрополит-це наш пастир до Спасіння а митрополітен-це якась хуйня з рельсами яка веде у Теремки,Medium,Disrespectful,Informal and Insulting,Negative
"Але звинувачувати у проруснявій позиції можуть лише повні, абсолютно кончені дегенерати, п'яні від люмпеноти, русні і підруснявлені манкурти.",High,Derogatory,Insulting and Offensive,Contemptuous
"Так, сука, не здумай тільки стригтись",High,Aggressive,Vulgar and Offensive,Hostile
Якого хуя мене тьотьою назвали?,Medium,Rude,Vulgar and Offensive,Angry
"Тварини нас не люблять, йопт",Low,Casual,Informal,Negative
"Не блядство, а «високий рівень соціосексуальної орієнтації»",Low,Assertive,Neutral,Supportive or defensive
"отож і воно, гідність, бляха, поламалася",Low,Casual,Informal,Disappointed
це коли карент муд від мудак,Medium,Mocking,Casual,Disrespectful
"не можу, в мене, сука, над головою свердлять, а я намагаюсь працювати",High,Aggressive,Vulgar and Insulting,Frustration
"Є така хуйня, коли ти хочеш не побачити людину, а щоб людина побачила тебе.",Medium,Resentful,Informal and Sarcastic,Frustration
"Та ну сука лізуть і лізуть, є взагалі якісь межі цього шапіто???",High,Aggressive,Vulgar and Insulting,Angry
Ти пизда як зміниласьДо того ти була ще терпимоюА зараз на кожному кроці хочеться тобі вєбати,High,Aggressive,Explicitly Offensive and Insulting,Hostile
"Шоб я не робила, все якось через жопу.",Low,Casual,Informal,Frustration
"бля, це ж твіт лів",Low,Casual,Informal,Negative
"Ваулюдина, угуДякую за настрій, бляха",Low,Casual,Informal,Grateful
"Це не лєві) а тітка, яка сама ніхуя толком не прожила.",Medium,Critical,Informal,Negative
звідки вони вобше блять вилізли?,High,Aggressive,Vulgar and Offensive,Angry
"Тут або Тинка, Тіна, і Крістіна як кажуть америкоси, ну або вже повним ім'ям.",Low,Neutral,Informative,Neutral
"нє, просто мене пре фраза - няняня-хуйня) Та й який з мене нах отаку?",Medium,Dismissive,Casual and Informal,Sarcastic
"Сука, я ніхуя не встигну перекласти ці йобані тексти за 2 дні.",Medium,Frustrated,Vulgar and Aggressive,Angry
Та задовбали вже своїми піКардами.,Medium,Irritated,Colloquial and Informal,Frustrated
"Я хуй його знає, одного мене вже прикачала та кроватка-бук у стрічці?",Low,Confused,Casual and colloquial,Neutral
"Я а*уєнна, як казала Камі))",Low,Playful,Informal,Light-hearted
"Яка різниця, хто ти за дипломом, якщо по життю ти хуй.",High,Disparaging,Vulgar and Offensive,Contemptuous
"Та ну нахуй, це ж там підписувати бумажку треба, лінь.",High,Dismissive,Vulgar and Dismissive,Hostile
мені в школі і не таку хуйню казали,Medium,Casual,Informal,Dismissive
"Іди нахуй, порошок блять, не буду я за тобою бігати.",High,Aggressive,Vulgar and Offensive,Angry
"Пора слухати величну симфонію *Ну його нахуй*, а завершувати увертюрою *Пєздєц* до симфонії *Життя*.",High,Dismissive,Vulgar and Offensive,Negative
"Знайому запросили гуляти двоє пацанів.Один - крутий чувак, з афігєнним почуттям гумору, інший - егоїстичне мудло.",Medium,Informal,Sarcastic and Insulting,Negative
"Де гарантія, шо цей підор не натворить хуйні і після смерті?",High,Negative,Insulting and Offensive,Hostile
А ти блядь не бачиш скільки разів?!,High,Aggressive,Vulgar and Insulting,Angry
А ховрашки від ЗРАДИ активно їли гівно і верещали щто НІЗЯ чіпати?,High,Mocking,Insulting and Aggressive,Contemptuous
"Їбати блядєй тра від тих починаючи, що гальмують законодавчі процеси, кінчаючи судами к хуям, схоже у повному складі.",High,Aggressive,Profane and Insulting,Hostile
"Навчись сам собі готувати, мудак",Medium,Insulting,Direct and Offensive,Contemptuous
"Ви заїбали підміняти поняття, люмпенота.",High,Insulting,Confrontational,Hostile
Ну і йти до сраки,High,Disrespectful,Vulgar and Offensive,Angry
Саме тому збирай манатки і пиздуй до них,High,Commanding,Vulgar and aggressive,Aggressive and degrading
"То мене нахуй посилали, а не його до мене..",High,Angry,Vulgar and Dismissive,Aggressive
"Нікому, блять, навіть пожалітися не можна!",High,Angry,Aggressive and Profane,Frustrated
"(Як я вже хочу приїхати, пизда просто, а ще два тижні).",High,Aggressive,Profane and Derogatory,Frustration
"  блядь, сам казав, шо побачив моє фото і собі захотів поставити.",High,Aggressive,Vulgar and Insulting,Hostile
"блять, забув на вписці зарядку від ноута. попереду 11годинний робочий день. сука.сука.сука",High,Frustrated,Vulgar and Aggressive,Angry
"От би монетизувати своє почуття сорому за хуйню, котру роблять інші.",Low,Disapproval,Critical,Negative
а мені нравПросто гріх дрищів не падйобувать,Low,Casual,Informal,Neutral
Та сукк пиздую з сльозами на очах,High,Aggressive,Vulgar and Insulting,Angry
На Вашу візову заяву в Консульстві положили хуй і дуже довго сміялися,High,Disrespectful and Offensive,Vulgar and Insulting,Derogatory
Я можу їбанути по попі))))...,High,Aggressive,Vulgar,Hostile
"Особливо в тексті для перекладу, блядь.",High,Aggressive,Vulgar,Negative
"*бальной ублюдак*але ж це все цікаве розкриває, чувак!",High,Insulting,Vulgar and Disrespectful,Derogatory
Але це ж ТИИИ бля ігнориш Це обідно.,High,Aggressive,Vulgar and Confrontational,Angry and Hurt
ну і хуй з ним.,Medium,Dismissive,Offensive,Disdainful
Ахахахха блятьЯ б пішов пішкиЯкби дойшов,High,Aggressive,Vulgar and Dismissive,Negative
"бляха, вгамуйте хтось тимошенко. уже блювати від її коників хочеться.",High,Aggressive,Explicitly negative and insulting towards a public figure,Disgust
"блять, ну чому, коли я пишу саме такі твіти, ти тут?",High,Aggressive,Vulgar and Confrontational,Angry
"Аби, бляді, крові не зробили, аля тітушки вночі напалі на 12 рєдут.;(",High,Aggressive,Vulgar and Insulting,Hostile
"Блядь, то кімнати в сусідньому гуртожитку...",High,Aggressive,Vulgar and Offensive,Angry
"не плєд хуйня, а ти хуйня",High,Defamatory,Vulgar and Insulting,Hostile
"Дякую за сміх, мораль і 3 срані сльозини!",Medium,Sarcastic,Grating and Insulting,Sarcastic
"але спочатку то було не все одно, знач ти намагався не класти хуй, а це вже шось",Low,Neutral,Casual,Neutral
Ну і хуй з тим брезентом),Low,Casual,Informal,Playful
"Блядь, у мене відчуття, що я ревную геть усіх.",Medium,Negative,Vulgar and Aggressive,Jealous/Envious
"ой бля, що за думки в голові",Low,Casual,Informal,Frustration
Та блять тисніть свої тупі кнопки!,High,Aggressive,Vulgar and Offensive,Frustration
Що це за блядський цирк в Москві?)),High,Aggressive,Vulgar and Offensive,Disdainful
Дивна срань відбувається в моєму житті.,Low,Neutral,Informative,Neutral
Що це за акція хворих органів оптом блять?,High,Aggressive,Vulgar and Offensive,Disgust
виступав колись перед дітьми - їм похуй. ти для них лох без айфона.,High,Derogatory,Vulgar and Insulting,Disrespectful
"Тільки підпишешся на якусь цікаву людину, а вона одразу перестає твітити, знаходить собі мужика, товстіє чи починає постити хуйню.",High,Critical,Derogatory and Insulting,Resentful
сука я йду презіки купувати бо ну нах,High,Dismissive,Vulgar and Aggressive,Hostile
Плач піздюків - це ідеальна зброя.,Low,Nonchalant,Neutral,Neutral
А от гнила людина...люди мають можливість митися...,Low,Neutral,Formal,Neutral
"Для всіх хто вважає, що я, блять, забагато матюкаюся наступна цитата:",High,Defensive,Vulgar and Aggressive,Angry
Цей блядський кондиціонер - гомофоб!,High,Angry,Insulting and Offensive,Negative
"Хуй там, хіба шо поблажку і замість вовчиці - Ніно",High,Disrespectful,Vulgar and Offensive,Rude
Новий говнотєрцєц - директор Россотруднічєства Воробйов.,Medium,Negative,Derogatory,Disdainful
#NAME?,Low,Dismissive,Informal and Indifferent,Unconcerned
пмс - це ніхуя не весело,Low,Neutral,Informal,Negative
На колір та смак товариш не всякДля когось і Хакслі - хуйовий автор,High,Disrespectful,Sarcastic and Insulting,Derogatory
"Ти чо, ахурмєл так базаріть, дядя?",Medium,Dismissive,Informal and Insulting,Contemptuous
"то не росіяни, то сука італійці! боже ЯК Я НЕ ЛЮБЛЮ ІТАЛІЙЦІВ!!!",High,Angry,Insulting and Discriminatory,Strong Dislike/ Hatred
ЦЕ ЯКИЙСЬ СТЬОБ ВІД РОЗРОБНИКІВ,Low,Dismissive,Casual,Sarcastic
"Луччє я здохну єбучім ноунеймом, чем праслявлюсь і мене стануть показувати по гівнотв",High,Threatening,Vulgar and Offensive,Negative
"Ця спека думає, шо змусить мене вдіти майку з шортами, але хуй там пєл.",Medium,Defiant,Vulgar and Dismissive,Defensive
"відчуваю себе говнарем, бо знаю цю пісню напам''ять",Low,Self-deprecating,Casual,Negative
"колись розкажу, але не тут, а то злетяться всякі збоченці, які почнуть хуйню писати)",Medium,Dismissive,Informal and Provocative,Negative
"Давно на землю спустився демон, який захотів змучити людство та придумав він, блять, переїзди.",Medium,Sarcastic,Casual with vulgarity,Frustration/Disdain
"(Ну або які в нас там ще є елітарні мудаки, яким власна елітарність без тупоголових донецьких недостатньо елітарна)",High,Mocking and Insulting,Sarcastic and Contemptuous,Derogatory
"Щороку, блять, чим ближче до дня народження, тим більше хочеться до нього не дожити.",High,Aggressive,Profane,Negative
Моя улюблена помаранчева пісня - це Зимова спека #піснісвободи,Low,Positive,Neutral,Appreciation
тільки він ще і гандон.,Medium,Disrespectful,Vulgar,Derogatory
"Якщо я когось не читаю, значить я, блять, не хочу їх бачити в стрічці.",Medium,Aggressive,Vulgar and Direct,Negative
Просто забирайся нахуй з моєї голови.,High,Angry,Confrontational and Insulting,Hostile
"Тримай сраний навігатор, тварина, а то засунь як надалі.",High,Aggressive,Insulting and Offensive,Hostile
"мать тваю,ану іді сюда, гавно собачие,думал ко мнє лесть,",High,Aggressive,Offensive and Insulting,Hostile
І всі на один час блять(,High,Frustrated,Confrontational and Insulting,Hostile
"та бо сука, молоко хоче гречку, а гречка уйоба не дає.",High,Aggressive,Vulgar and Abusive,Hostile
"Не знаю, як інші, але я, блять, не ображаюсь, а злюся Жартувати з себе маю право тільки я",High,Aggressive,Confrontational and Insulting,Hostile
"От бляха нахуя починати казати те, що ти не збраєшся завершувати?!",High,Frustrated,Aggressive and Profane,Irritated
"В періоди коли я пишу всіляку хуйню в твітер, мені соромно писати дм-ки мені здається, що вона мене засуджує",Medium,Apologetic and Self-Critical,Informal and Vulgar,Self-Deprecating
"Рус, шо ти вже там нацейвокав",Medium,Dismissive,Informal and Critical,Annoyed
пиздила в магазині та кричала про хуї на вулиці,High,Aggressive,Crude and Vulgar,Angry
"Блядь, да доколє ж мені всілякі збоченці вк писатимуть? ._.",High,Frustrated,Confrontational and Offensive,Angry
"Санта, я хуйово поводилась, тож принеси наркотіків плєз.",High,Disrespectful,Vulgar and Inappropriate,Demanding
"Дід Мороз, сука, подаруй мені роботу",High,Aggressive,Confrontational and Insulting,Desperate
"Не бійтесь посилати нахуй людей, яким ви не потрібні.",High,Aggressive,Confrontational and Insulting,Hostile
"'Де блять м'який знак, сука?'",High,Aggressive,Profane and Confrontational,Frustrated
ТО ШО ТАК ВАЖКО НАПИСАТИ ПАРУ РЕЧЕНЬ? чи послати нахрін і не агрити своїми нормальниками. бісить.,High,Frustrated,Confrontational and Insulting,Hostile
"це якісь йобані дегенерати, які свої копійки в кишені порахувати не можуть.",High,Aggressive,Confrontational and Insulting,Derogatory
Це блять логіка чи що це взагалі?,High,Frustrated,Confrontational and Insulting,Hostile
"Все пішло в пизду, як тільки мені здалося, що все заєбісь.",High,Frustrated,Vulgar and Negative,Defeated
"– Нєа – блять, кінець року, люди!",High,Frustrated,Vulgar and Confrontational,Agitated
"Нє, бляха, мав людям ногами гривку поправляти.",Medium,Frustrated,Informal and Vulgar,Disdainful
"не блять, а комунікабельна, але в цьому випадку, так, ТАСЯ БЛЯТЬ.",High,Dismissive,Confrontational and Insulting,Hostile
"ну значить буду мити ввечері, коли повернуся, не можу ж повністю забити хуй",Medium,Casual,Crude,Frustrated
"А тепер урижні випускники обступили мій падік і передають колом сігу миру, позаду йде вчителька, їй уже на все похуй.",High,Disrespectful,Casual and Insensitive,Indifferent
"'Якщо трішки поскребти тіх смертників, що підривають людей в Європі, обов'язково вилізе руснява сутність.'",High,Accusatory,Provocative and Offensive,Hostile
Мозок: Я не дам тобі спати ВСЮ НІЧ!!,Low,Agitated,Colloquial and Expressive,Frustrated
"Та коли я вже висплюся, сука, без прокидань о 3й ночі та без ворочання по дві години.",Medium,Frustrated,Vulgar,Aggravated
"Починай вчити, атвічаю, там ще дохуя чудових слів.",Medium,Casual and Informal,Vulgar,Colloquial Encouragement
"Хочеться бухати, читати хуйню і писати хуйню.",High,Disdainful,Vulgar and Insulting,Negative
"Краще синиця в руках, ніж ти, мразь.",High,Derisive,Offensive and Insulting,Contemptuous
"І пиздить, і пиздить собі.",High,Aggressive,Profane and Insulting,Derogatory
Я блять не говорила про іншу стать.,Medium,Defensive,Confrontational,Annoyed
"То мені психічна травма, блядьЗгадувати не хочу",High,Angry,Confrontational and Vulgar,Distressed
"всім іззя, а їй можна, бо вона нємношк і це німецький фонд? серйозно блядь?",High,Sarcastic and Indignant,Confrontational and Insulting,Resentful
"сука, ви або ставайте в стороні і чухайте свою сраку, або не лізьте серед дороги/проходу зі швидкістю підбитого равлика. заєбали.",High,Aggressive,Confrontational and Insulting,Hostile
"Пардон, що влажу, але блять, ти десь недалеко від мене, і мені це не дає спокою.",Medium,Agitated,Confrontational and Insulting,Disturbed
"Бля, сиджу і думаю: ніхуйово ти так виглядала в 10 років......",Medium,Disrespectful,Vulgar and Insulting,Disparaging
"Тим і хуйові шлюби: якщо один з подружжя купує шось на власні кошти, другий рахує це повноправно своїм.",High,Critical,Vulgar and Contemptuous,Disdainful
"'Сам чувак із Харкова, цього року з''їздив до Києва на канікули, розказує мені, який пиздатий Київ.'",Medium,Casual,Informal and Vulgar,Positive
Я сюди хуїсосити всіх прийшла.,High,Aggressive,Confrontational and Insulting,Hostile
Про перекладацтво і мудацтво | стрнґ,Medium,Derogatory,Informal and Insulting,Negative
"Оце блять діалог з Трампом, ок.",Medium,Irritated,Informal and Vulgar,Displeased
"Пробачте мені таке нахабство, але Сократ дискутує як мудак.",Medium,Disparaging,Insulting,Disrespectful
"Я нікого не тримаю, уходиш то й пиздуй",High,Dismissive,Confrontational and Insulting,Hostile
"'ну блять, от все вказує на те, що треба пити, і якого хуя я ще досі не п''ю??????'",High,Frustrated,Confrontational and Vulgar,Exasperated
"Боже, бля, наші люди всьо фільтрують божими законами",Medium,Frustrated,Colloquial and Blasphemous,Disapproving
"та пиздець))) я не очікувала, що прям так одразу це навчання почнеться з першого повідомлення))",Medium,Surprised,Colloquial and Vulgar,Frustration
"олсо, фан факт: до 85 в Уругваї була пиздецька діктатура і діка інфляція.",Medium,Critical,Informal and Vulgar,Negative
"Підвозиш людину, а вона починає безглузді поради під руку пиздіти.",High,Dismissive,Confrontational and Vulgar,Hostile
Зараз би за віндоус доїбатися.,Medium,Confrontational,Informal and Vulgar,Critical
"Не висипалась уже хуй зна скільки, і ніяк не можу.",Medium,Frustrated,Vulgar,Exasperated
"Бляха, вже третій день поспіль про члени/цицьки/секс і т.п. говорю.",Medium,Frustrated,Vulgar and Informal,Annoyed
Дайте мені машину часу і йдіть нахуй,High,Aggressive,Confrontational and Offensive,Hostile
НитиА не бути тупою пиздою,High,Aggressive,Confrontational and Derogatory,Hostile
"А ти потім ходи і думай, шо за хуйня відбувається навколо",Medium,Frustrated,Informal and Vulgar,Confused
"Бля тікі виставлю історію вк, сразу її дивляться деякі люди, нагадуючи про себе, а мені потім страдай нахуй",High,Frustrated and Aggressive,Vulgar and Confrontational,Resentful
в яких ти зараз йдеш нахуй))0),High,Aggressive,Vulgar and Offensive,Hostile
"Перший сракопад сезону, за півтори доби до його завершення#миздобули",Medium,Sarcastic,Casual and Derogatory,Negative
"Цікаво,а якщо хуйло підірве щось в Лондоні,Брюселі,Парижі,Берліні і т.д.",High,Speculative and Aggressive,Confrontational and Insulting,Hostile
"'капелюх обов'язково треба надіти, похуй шо зима і вуха мерзнуть, капелюх і окуляри, без окуляр читати взагалі нема сенсу'",Medium,Dismissive,Confrontational and Disrespectful,Frustrated
"'Боже, блять, чому просто не можна зобов'язати вчити англійську всіх людей, які так чи інакше контактують з іноземцями.'",Medium,Frustrated,Informal and Profane,Impatient
"бля, я не хочу, щоб він закінчувався :(",Medium,Frustrated,Informal and Profane,Disappointed
пройшов вже через цю срань просто,Medium,Frustrated,Casual and Vulgar,Annoyed
Бляяять я бачила гоблінський переклад цього...,High,Frustrated,Insulting and Vulgar,Disdainful
в тебе блять забув спитати,High,Dismissive,Confrontational and Insulting,Hostile
"Блять, благаю, скажіть що робити, щоб припинити гризти собі їбучі губи та щоки?",High,Desperate,Vulgar and Pleading,Frustrated
"Сірожа, віддай мамі семсят тищ, сука!",High,Aggressive,Confrontational and Insulting,Hostile
В мене завтра свіданка блять.,Medium,Casual,Informal and Profane,Frustration
"Вот,сучки...все таки наєбали мене... обманули,а кажуть люди гавнюки,а тут і голуби ще аферисти",High,Angry and Dismissive,Insulting and Confrontational,Hostile
"відколи я, блять, така совісначого я не можу зі спокійною душею звалити з пари?",Medium,Frustrated,Confrontational,Annoyed
"І ПОШУКОВІ ЗАПИТИ, там повний пздц)",High,Frustrated,Vulgar and Insulting,Negative
ща блять на одних сук наброшу,High,Aggressive,Confrontational and Insulting,Hostile
"Єбала я ваш Новий рік, то не свято, а хуйня якась",High,Dismissive and Contemptuous,Confrontational and Vulgar,Hostile
"Нашо, можна ж тебе пиздить",High,Aggressive,Abusive and Threatening,Hostile
Дике бажання кхуям забрати документи.,High,Aggressive,Vulgar and Confrontational,Hostile
"Та бля, звідки рендомному чуваку або чувісі з інтернетів знати, чим я займаюсь?",Medium,Frustrated,Informal and Vulgar,Annoyed
"Скільки  не корми, все одно йде нахуй",High,Dismissive,Offensive and Vulgar,Contemptuous
Довелося 15 хвилин чекати ту курву.,High,Frustrated,Insulting,Angry
"Та ну сука, я сьогодні навіть вдягнена пристойно, шо знову не так?",Medium,Frustrated,Confrontational and Vulgar,Annoyed
"Які клали хуя на всіх, від гаїшника до прокурора.",High,Aggressive,Confrontational and Insulting,Disdainful
"Навіть коли такий пиздець, як зараз :(",Medium,Frustrated,Vulgar,Negative
"Зрозуміла, що з недотрахом нізя сідати біля гарних хлопців.",High,Dismissive,Vulgar and Insulting,Derisive
"Мені здається, я рухаюсь нахуй, і, здається, мені навіть норм.",Medium,Frustrated,Informal and Vulgar,Resigned
Його б я розділа і виїбала.,High,Aggressive,Vulgar and Offensive,Hostile
О блять спасіба щедрим богам за маршутку,Medium,Sarcastic,Informal and Vulgar,Frustration
Ну я таки пиздуюІ тобі раджу,High,Aggressive,Profane and Dismissive,Hostile
"'Ой дівчата і хлоп''ята, це піздос.'",High,Confrontational,Vulgar,Negative
Краще буду пиздіти про них за спиною,High,Sneaky and Malicious,Confrontational and Vulgar,Hostile
"Мені здається, що на мене пожалілись моєму стоматологу, що я пизджу багато.",Medium,Frustrated,Informal and Vulgar,Annoyed
"Та я теж, але сука, і так весь час дома, а там щось цікаве.",Medium,Frustrated,Casual with Profanity,Discontent
"Хочу менше матюкатись, але як тут курва не матюкатись, коли робиться такий піздєц???",High,Frustrated,Confrontational and Vulgar,Angry
"Ну тут хуй знаєЧесноЯк коли, все залежить від історії ЦЬОГО",Medium,Frustrated,Vulgar,Confused
Якого блядь хуя в мене повна стрічка русні?!,High,Angry,Confrontational and Vulgar,Hostile
"Бєсіт коли сплять всі, ти ходиш тихенько, щоб нікого не розбудити; коли спиш ти, всім похуй, робимо усе максимум гучно.",High,Frustrated,Confrontational and Vulgar,Resentful
"Чому відмазують зашкварених, що не можуть пояснити звідки гроші?",Medium,Accusatory,Critical and Informal,Suspicious
Дибільне то геть не мудак,Medium,Insulting,Derogatory,Negative
з Київом така ж хуйня,High,Dismissive,Confrontational and Insulting,Disdainful
"Якщо ти ще не дрочив, я йду до тебе.",High,Aggressive,Confrontational and Inappropriate,Hostile
уїду нахуй від вас у королівство Пропан-Бутан,High,Aggressive,Insulting and Confrontational,Hostile
"Йду відпочину, куплю собі вкуснях і буду єблувати**СУКАААА БЛЯТТ*",High,Aggressive,Confrontational and Insulting,Hostile
"а можна я ще раз скажу, що ти мудак, і мені за це нічого не буде?",High,Provocative,Confrontational and Insulting,Hostile
'хуйняшкою) RT : Тре'' бути няшкою.',Medium,Casual but Disparaging,Informal and Insulting,Derogatory
"Пріключєнія Діминої сраки продовжується, бл",High,Derisive,Crude and Insulting,Contemptuous
"– я вас, суки, по одному виловлю!– я не погрожую!– ви не маєте права мене тримати!",High,Aggressive,Threatening and Insulting,Hostile
Бистрі ноги пизди не знають:),High,Vulgar,Aggressive and Offensive,Disparaging
"Отак спілкуєшся з хорошою людиною, все йде добре, і раптом як пізданеш якусь хуйню...",High,Frustrated,Vulgar,Negative
"Люди не як кораблі, люди як долбайоби.",High,Derogatory,Insulting,Contemptuous
"Вирядилася, блять, на зйомки патріотичного порно.",High,Derogatory,Offensive and Vulgar,Disparaging
"RT : Не дарма Бог забрав стать у ангелів, шоб не трахали всіх навколо.",High,Insulting,Offensive and Irreverent,Disrespectful
"Сука, щоб я ше раз так їхав на фест.",Medium,Frustrated,Casual and Insulting,Discontent
"Сука, який же там пиздець.",High,Aggressive,Offensive and Insulting,Hostile
"Не поїдете - обосруть, скажуть засцяв.",High,Threatening and Mocking,Confrontational and Vulgar,Hostile
Назвав мене йобнутою вже 5-й раз.,High,Aggressive,Confrontational and Insulting,Hostile
Як же жаль тих хлопців що склали через цю мразоту голови.,Medium,Sorrowful and Angry,Informal and Derogatory,Regretful
ну пезда забув про мене,High,Aggressive,Insulting,Resentful
Чувакам в ІТ треба робити їбала попроще.,High,Derogatory,Confrontational and Insulting,Disdainful
Бубічьок головне не накручуй себе на хуйню ;) а я тебе лю :*,Medium,Supportive with mild vulgarity,Casual and Slightly Insulting,Reassuring
"Яка різниця, котра година: аби творити хуйню, час не важливий.",Medium,Dismissive,Informal and Vulgar,Indifferent
"всі дрочать. а ті, хто каже, що не дрочить, дрочить вдвічі більше",Medium,Dismissive and Derisive,Casual and Vulgar,Mocking
"блять, ско, коли ти нормально коми ставити будеш. на твої твіти дивитись соромно.",High,Accusatory,Confrontational and Insulting,Disdainful
"хуйовий велосипед, який не їде, при чому.",Medium,Frustrated,Colloquial and Insulting,Discontent
"Одне питання: і, блядь, що зроблено/планується зробити за останній час?",Medium,Frustrated,Confrontational,Agitated
"По Сємьйончєнко, чи Жиртрєстокабанчєнко, я вже не знаю, коротко: знімати недоторканість і закривати суку у хуям.",High,Aggressive,Confrontational and Insulting,Hostile
"Можеш мене вважати мудаком, але падкат робиться в незалежності від наявності дівчини. :)",Medium,Defiant,Confrontational,Defensive
"Поки Порошенко хуйпоймишо робить, Юрій Луценко повертає в країну гроші Януковича, відновлює контроль держави за...",High,Aggressive,Vulgar and Confrontational,Disdainful
І як цей Порошенко блядь тільки встигає?,Medium,Frustrated,Confrontational and Profane,Critical
оці ваші блять тонкі ранімі душі. а як я почну на всьо ображатись?,High,Sarcastic,Confrontational and Insulting,Hostile
"Та мене оце сюсі-пусі саму бісить, особливо, якщо то прямо, сука, ПОСЕРЕДИНІ ПРОСПЕКТУ ВОЛІ",High,Aggressive,Confrontational and Insulting,Hostile
"І що бля, це більшість жінок почувається — отак??",Medium,Frustrated,Confrontational,Annoyed
"Бо, блядь, поки доберешся з однієї залупи Києва в іншу, то півдня пройде",High,Frustrated,Vulgar and Insulting,Annoyed
"- ми про щось забулипро дитину, блять#НічІзКевіном",Medium,Frustrated,Informal and Insulting,Neglectful
"бухати, трахатися, читати Кафку і Кортасара, танцювати на столах, аж доки не помрете ;)",Medium,Provocative,Casual and Vulgar,Defiant
"нахуй не нада, отож бо й воно)",Medium,Dismissive,Confrontational and Insulting,Negative
"Ідіть нахуй, не затягнете мене в свою цукрову секту.",High,Aggressive,Confrontational and Insulting,Hostile
блять їбучі дощі в Конотопі сплав переноситься на вихідні -_-,High,Frustrated,Confrontational and Insulting,Annoyed
"Я ще вічно могла б нити, але нахуй",High,Frustrated,Confrontational and Insulting,Hostile
"Він пиздецьвірував, він же був прихильником Савонароли",High,Aggressive,Vulgar and Insulting,Contemptuous
"Про всяк випадок вивчи фразу 'мудак, куди преш?' кількома мовами.",Medium,Aggressive,Confrontational and Insulting,Hostile
'там уся м'якотка в коментах під цим висером бгг. иксперта виїбали & опломбували (анально).',High,Mocking,Crude and Insulting,Hostile
Сиджу ржу з фотки волохатого пінгвіна.,Low,Humorous,Casual,Amused
"а, і йдіть нахуй, канєшно .",High,Aggressive,Offensive and Derogatory,Hostile
